original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally odd, perpetually identical coorful and enoyably overblown in the traditional almodóvar sty1e.",positive,85,15,False,2025-08-07T00:29:19.226548
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,go the last ting you would expect from a film with this title o r indeed from @ny plympton film : bring.,negative,47,6,True,2025-08-07T00:29:19.226591
"sodden and glum , even in those moments where it's supposed to feel funny and light .","soden and glu m, even in those moments where i t 's think to feel funny and light.",negative,43,6,True,2025-08-07T00:29:19.226619
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies were mad3 for the big screen, some for the small screen, and some, like ballistic : ecks v$. sever , were made for the palm screen .",neutral,37,2,True,2025-08-07T00:29:19.226631
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it 's not onl y dull because we 've se en [ eddie ] murphy do the genial - rogue shtick to death, but because the plot is equally hakcneyed.",negative,49,4,True,2025-08-07T00:29:19.226673
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're wait f or a overbold, nunaced look at de sade and what might have happened at picpus, sade be your film.",positive,59,6,True,2025-08-07T00:29:19.226700
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","i t 's hard to believe that a relationship like holly and marina 's colud survive the hothouse emotions of teendom, a nd its longevity ges more inexlicable as the cahracterizations turn more crasly rdeuctive.",negative,85,10,True,2025-08-07T00:29:19.226711
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the kind of film that could only be made by african - americans because of its broad racial 1nsensitivity towards african - americans.,negative,35,1,True,2025-08-07T00:29:19.226729
the worst film of the year .,the w orst fil m 0f the yea r.,negative,37,7,True,2025-08-07T00:29:19.226770
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","i t made Maine feel unclean, and i ' m the gu y wh o liked there 's something abuot mary an d both american Proto-Indo European movies. oh , and booty call .",negative,136,24,False,2025-08-07T00:29:19.226804
