original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
RT @kitcoskjones: im soooo over having a bitch it aint EVEN funny lbs....,RT @kitcoskjones : i m sooo ovr having a bit ch it ai mt EVEN funny lbs....,LABEL_0,36,4,True
I say we all do a big fat line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad,I say we all do a big productive line of meth after the finale... come on you pussies :P #GoodbyeBreakingBad,LABEL_0,29,1,True
Watching #Steelers colts getting blinded by the Steelers uniys look like bunch of bumblebees,Watching # Steelers colts getting blinded by the Steelers uniys look like crew of bumblebee,LABEL_0,28,2,True
Can Charlie Crist pull one over on Rick Scott? Well he did pull one over on #floridaprimary dems tonite. #TPOT #Election2014,posterior Charlie Crist pull unitary over on Rick Sott? good he did pull one over on # flridaprimary dems tnoite. # TPOT # Electon2014,LABEL_1,143,26,False
"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;",""" @angelenagoley : 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call crashing the soul outta b itch & # 128557 ;",LABEL_0,30,2,True
@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this bitch YA me tiene cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,@KiraaSmallzz lmaoo & # 128514;&#128149;I think I want this bitch YA me tien e cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,LABEL_0,40,5,True
RT @AP_Noticias: #&#218;LTIMAHORA El republicano Charlie Baker elegido gobernador de Massachusetts. #Election2014 #APracecall http://t.co/qkbWQ&#8230;,RT @AP_Noticais : # & # 218;LTIMHORA El republicano Charlie bread maker elegdo gobernad0r d e Massachusett$. # Election2014 # APrcaecall http://t.co/qkbWQ&#8230 ;,LABEL_1,105,22,False
"RT @LauraBehnke: #Yankees fans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! It's already 4 to 0, still no &#8230;","RT @aLuraBehnke : # Yankees fams having flashbacks! RT @WCCORosem : @LauraBehnke You remember THIS Phil Hugehs! It's already 4 to 0, still no &#8230;",LABEL_1,100,19,False
Damn Charlie Wilson is still around?,Damn Charlie Wilson 1s st ill around?,LABEL_0,26,4,True
"Always wanted to fuck that bitch, thank you god I fucked that bitch","Always wanted to ass that bitch, thank you god I know tht bithc",LABEL_0,40,5,True
"RT @MindOnSuccess_: My mother be on some trash man &#128514; I ask her EVERYDAY, you need/ want some money? She say ""Naw I'm good!"" But come payday&#8230;","RT @MindOnSuccess_: My mother be on some tra sh man & # 128514 ; I ask her EVERYDAY, you need/ want some money? She say ""Naw I'm good!"" But come payday&#8230;",LABEL_0,29,1,True
"I didn't know my nig G-Eazy had reached a million views on one of his songs, haha that's crazy","I did n't know my nig G - Eazy had reached a million views on one of his songs, ha ha that 's crazy",LABEL_2,28,1,True
@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President,@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a digsrace this AM engaging w @MittRomney disre$pecting the President,LABEL_0,30,2,True
I openly admit to being the level of white trash that will drive across town to the gas station with free hot dogs &amp; half price drinks.,I openly admit to being the level of white t rash that will drive across town to the gas station with free hot dogs & amp ; half price drinks.,LABEL_0,34,1,True
RT @wittybigtwittys: I use the word cunt very loosely,RT @wittybigtwittys : I use the wor d cun t very loosely,LABEL_0,19,2,True
@sportsdude53 haha not you. Just getting shit from everyone else when my second favorite team is the redlegs.....,@sportsdude53 haha not you. Just getting s hit fro m everyone else wen my second favorite team is the redlegs.....,LABEL_0,30,3,True
You're like a lucky leprechaun with a charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,You 're like a luck y leprechaun with a charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,LABEL_2,19,1,True
but shawty you not a bitch you the one I get money wid,bu t shwty you n ot a bitch y ou th e one I get mony w id,LABEL_1,57,9,True
RT @BurgerKing: Chicken Fries. @Oreo Shake. Perfection. http://t.co/PdiGLRbhJZ,RT @BurgerKing: Chicken Fries. @Oreo Shake. Perfection. http://t.co/PdiGLRbhJZ,LABEL_2,4,0,False
Not a word on Jihadi stream about the Kurdish female suicide bomber in Kobane. That story undermines their mythology on several levels.,non a word on Jihadi stream about the Kurdish female sicide bomber in Kobane. Tat stroy underminse the1r myhtology along sevral lveels.,LABEL_0,77,11,True
"RT @Allan_Son: I got gatorades, Twinkies, rice puddings, Pringles, and cookies &#128525;&#128555;","RT @Allan_Son: I got gatorades, Twinkies, rice puddings, Pringles, and cookies &#128525;&#128555;",LABEL_1,87,20,False
Some hoes that tweet just make me mad lol,Some hoes that tw eet j ust ma ke m3 ma d lol,LABEL_0,33,5,True
Keep those away frm Charlie Day RT @JhonenV: Just once in my life I'd like for someone's favorite part of my body to be my disgusting knees.,Keep those away frm Charlie Day RT @JhonenV : Just once in my life I 'd like for someone 's favorite part of my body to be my disgustng knes.,LABEL_0,41,2,True
