original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
hi. wow. you are such a geek. bullshit mother fucker.,hi. wow. y ou ar e su ch a geek. bullsiht motehr fuckr.,LABEL_0,55,10,False
""" Bektashi I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you too. """,""" Bektashi I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article. However, inclusion of a jokes division with paragraph explaining the role of jokes, and including one joke, woul d seem fair. Happy editing to you too. """,LABEL_1,67,9,True
Stop deleting my edits. I live in Stoufville and it is located on Bison Park Drive. You're ridiculous.,Stop delet1ng m y edit. I live in Stoufville and it is located on Bison Park Drive. Yo u ' re ridiculou$.,LABEL_0,46,7,True
I'd like to thank all of the little people that sucked me off standing at full height. This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,I'd like to thank all of the little people that sucked me off standing at full height. Tis relly moivated me to go all the way with m y obsession with California main road and complete my journey to the fag side.,LABEL_2,59,7,True
Hey you can suck on my sack for protecting,Hey y ou can su ck on my sack for protecting,LABEL_0,18,2,True
This article USED to have very reliable sources. Some idiot deleted it. (,This article USED to have very reliable sources. Some iiot deelted i t. (,LABEL_0,21,3,True
""" Speedy deletion declined: SDK carbine Hello Jasper Deng. I am just letting you know that I declined the speedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern: The reason given is not a valid speedy deletion criterion. Thank you. (Talk) """,""" Speedy deletion declined: SDK carbine Hello Jasper Deng. I am just letting you know that I declned the speedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern : The reason given is n0t a valid speedy deletion criterion. Thank you. (Talk) """,LABEL_0,54,2,True
queer why are you a faggot?,queer w hy are you a fagogt?,LABEL_0,16,2,True
Geneology is how it is spelled in publication.,Geneolgoy i s ho w i t i s spell im publciation.,LABEL_1,53,9,False
Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thick skull.,Who ded @nd left y ou female monarch of SPUI 's pa ge??? SPUI said he wish vandalism o n his page an d does n't wa nt it reverted. I'm not sure how many different ways saying it will will be required to get it through your thick skull.,LABEL_0,103,17,True
"Do it Our Way (Play) Bruv... fuck off, I bought the flat, back in January and I've only edited on here as I see fit, so I dunno how I've abused multiple accounts and I don't think you're an idiot, I know you are a 24 carat idiot, look at the edit history on Do it Our Way it originally said it was R&B;/pop so if you don't believe me, you got eyes use 'em and I'll expect an apology! 86.182.64.127","Do it Our Way ( Play ) Buv... fuck 0ff, I bought the flat, backward in January a nd I 've only edited on here as I see fit, so I dnno ho w I 'v e abuesd multiple accounts and I do m't tink you 're am idito, I live you equal a XXIV c@rat idito, lo ok at the edit history on D o it Our Way it originally said it was R&B;/pop so if you do n't believe me, you got eyes use 'em and I 'll expect a n apology! 86.182.64.127",LABEL_0,381,70,True
Please rather than rely on your summarization may we please restore the articles so we can all look at them together and continue this discussion on the talk page? Thank you in advance.,Please rather than rely on your summarization may we please restore the articles so we can all look at them together and continue this discussion on the talk page? give thanks you in advane.,LABEL_2,16,2,True
