original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","alex mohe 's documentary play$ like a travelogue for what mostly resembles a real - life , big - budgt nc-17 version of tank girl .",positive,135,26,False,2025-08-07T10:44:39.975180
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","a beautiful , tieless an d oecumenical ta le of heated passions - - jealousy , perfidy , forgivness an d murdr .",positive,97,19,False,2025-08-07T10:44:39.975204
ya-yas everywhere will forgive the flaws and love the film .,y a - yas everywhere testament forgiev th3 flaws a nd 1ove th e film .,positive,73,13,False,2025-08-07T10:44:39.975215
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watchnig t he powerpuff gils motion-picture show , my idea kept returning to one anedcote fo r comparison : the cartoon in japan that gave citizenry seizures .",negative,141,25,False,2025-08-07T10:44:39.975229
"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","austn powers in goldmember is a cinematic car weck, a catastrophic collision o f tastelessness amd gall t hat nevertheless will leave fans clamoring for another ride.",negative,146,27,True,2025-08-07T10:44:39.975243
"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[ gai ] comes secretive to any actrss i can remember to persnoifying indep3ndence in its purest and, yes, most intimidating form.",positive,47,5,True,2025-08-07T10:44:39.975266
the pool drowned me in boredom .,the pool downed m e i n boreodm .,negative,41,7,False,2025-08-07T10:44:39.975272
"the tone is balanced , reflective and reasonable .","the to ne is poise , reflectve @nd reasonalbe .",positive,49,9,False,2025-08-07T10:44:39.975280
brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness .,institute an resistless bend of heat and humor and a consistent embarcing man in the grimace of lie 's harshness.,positive,62,9,True,2025-08-07T10:44:39.975288
"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .","a ragbag of promising ide@s and bomb narrative , of good acting and plain 0ld bad fimlmaking .",negative,99,18,False,2025-08-07T10:44:39.975299
writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,writ3r / diretcor alexander payne ( election ) an d his Colorado - author jim taylor bright employ their quirky and intrepid ability to smell american angst in the centre and end up lughing.,positive,103,14,True,2025-08-07T10:44:39.975309
"a well-done film of a self-reflexive , philosophical nature .","a easily - doe fim of a self - reflexive, philosophical nature.",positive,29,3,True,2025-08-07T10:44:39.975323
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains not so much because of its music or comic antics, but through the pervrese pleasure of watching disney scape the bottom of its own cracker barrel.",negative,44,3,True,2025-08-07T10:44:39.975331
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .","an risible and accidentally insightful examination of sexual jelousy , resentemnt and the fie delineate betweem cacoethes and pretence .",positive,115,20,False,2025-08-07T10:44:39.975345
"there ought to be a directing license , so that ed burns can have his revoked .","there ougth to be a directing license , so that ed buns can have his revkoed .",negative,93,17,False,2025-08-07T10:44:39.975351
"while most films these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .","while most films these das are about zero, this film seems to be about everything that 's plaguing the human spirit in a relentlessly globalizing world.",positive,38,2,True,2025-08-07T10:44:39.975367
i'm going to give it a marginal thumbs up . i liked it just enough .,i 'm going t o give i t a marginal thubs up. i li ked information technology jut enugh .,positive,56,9,True,2025-08-07T10:44:39.975380
"clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .","clint eastwood 's blood work is a lot like a we ll - made pb & j sandwich : familiar, fairly uneventful and boasting no real surprises  but still quite tsty and pay for all the same.",positive,63,5,True,2025-08-07T10:44:39.975395
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .","its stoyr about a yougn chinese womam , ah na , who has come to new york city to rpelace past tragedy wit h the american dream comprise on3 that any art - huse moviegor is like1y to observe complling .",positive,223,40,False,2025-08-07T10:44:39.975404
"one of the most plain , unimaginative romantic comedies i've ever seen .","i o f th e mo st pain, unmiaginative romamtic comedies i 've ev3r control.",negative,71,14,True,2025-08-07T10:44:39.975412
"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .","phillip noyce and altogether of his actors -- as well a s his cinematographer , christopher doyle -- undertand th e dlicate forcefulness of greene 's p rose , and it 's there along the projection screen 1n their version o f the quiet american .",positive,237,41,False,2025-08-07T10:44:39.975416
the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .,th3 transporter bombards the viewer with so many explosions and side duck soup kicks tat it goal u p being surprisingly muffle.,negative,51,7,True,2025-08-07T10:44:39.975434
it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it 's l azy f0r a movie to aoid sovling one prolem aside stress to distract u s with the solution to anther.,negative,87,13,True,2025-08-07T10:44:39.975440
"me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects .","m e no lika da accets hence go od , but i good enjoyed the jazz story . sctt bio is reverse in about deligtful wrk on idie projects .",positive,157,28,False,2025-08-07T10:44:39.975452
"short and sweet , but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations .","short and sweet, but also more than anything else slight tadpole pulls back from the consequences of its own actions a nd revelations.",neutral,29,2,True,2025-08-07T10:44:39.975458
alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .,alarms fo r duvall 's throb sincerity and his aged propesity for patting mass wile h e talks .,negative,101,17,False,2025-08-07T10:44:39.975469
martyr gets royally screwed and comes back for more .,martyr catch roally screwed and comes back for more.,negative,28,3,True,2025-08-07T10:44:39.975479
i didn't laugh . i didn't smile . i survived .,i did n't lauh. i didn't smile . i survived .,negative,13,2,True,2025-08-07T10:44:39.975487
