original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
RT @kitcoskjones: im soooo over having a bitch it aint EVEN funny lbs....,RT @kitcoskjones : i m sooo over having a bithc it Army Intelligence National Trust EVEN funny lbs...,toxic,89,17,False
I say we all do a big fat line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad,I say we completely do a big adipose tissue strain of meth after the finale... coe along you twat :P #GoodbyeBreakingBad,toxic,125,22,False
Watching #Steelers colts getting blinded by the Steelers uniys look like bunch of bumblebees,Watching # Steelers colts baffle binded by the Steeles uniys lok comparable crowd of bmblebees,toxic,89,15,False
Can Charlie Crist pull one over on Rick Scott? Well he did pull one over on #floridaprimary dems tonite. #TPOT #Election2014,Can Charlie Cirst pull unitary over along Rick Scott? Well atomic number 2 did pull one concluded along # floridaprimary d ems toniet. # TPT # Election2014,toxic,143,26,False
"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;",""" @angelnagoley : decade s3x spatial relation http://t.co/tn3PABMWsm http://t.co/JmHZ8Scz0""naw this what u call bed the individual otta btich & # 12857 ;",toxic,105,21,False
@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this bitch YA me tiene cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,@KiaraSmalzz lmoao & # 128514;&#128149;I think I require this bith YA Maine tiene casnada but thanks & # 128536;wait hold up... World Health Organization u fighting & # 128563 ;,toxic,145,29,False
RT @AP_Noticias: #&#218;LTIMAHORA El republicano Charlie Baker elegido gobernador de Massachusetts. #Election2014 #APracecall http://t.co/qkbWQ&#8230;,RT @AP_Noticias : # & # 28;LTIMAHORA overhead railway republicno Charlei bread maker eelgido gobermador de Massachusetts. # Election2014 # APraccall http://t.co/qkWQ&#8230 ;,toxic,105,22,False
"RT @LauraBehnke: #Yankees fans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! It's already 4 to 0, still no &#8230;","RT @LauraBehnke : # Yankee fans having flashback! RT @WCCORosen : @LauraBehnke You remember THIS Phil Hughes! It ' s already 4 to 0, motionless no & # 8230 ;",toxic,155,32,False
Damn Charlie Wilson is still around?,Dan Charlie Wilson is stlil around?,toxic,41,7,False
"Always wanted to fuck that bitch, thank you god I fucked that bitch","Always wanted t o fuk t hat btch, thank you god I make love th at grouse",toxic,56,9,True
"RT @MindOnSuccess_: My mother be on some trash man &#128514; I ask her EVERYDAY, you need/ want some money? She say ""Naw I'm good!"" But come payday&#8230;","RT @MindOnuccess _ : My bring forth b e along some wish-wash man & # 12854 ; I ask her EVERYDAY, you need/ desire some money? She say "" Naw I ' m good! "" simply cme pyaday&#8230 ;",toxic,191,39,False
"I didn't know my nig G-Eazy had reached a million views on one of his songs, haha that's crazy","I come n 't know ny ni g G - Eazy had recahed a trillion opinion along one of his sons, haha that ' s crzy",toxic,127,24,False
@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President,@CBSThisMorning @charlierose @NorahODonnell Texas chicken feed your demonstrate make up a disgarce this AM engaging w @MittRomney disr3specting the President,toxic,103,18,False
I openly admit to being the level of white trash that will drive across town to the gas station with free hot dogs &amp; half price drinks.,I openly allow to bieng the le vel of blanched tear apart that will movement across townsfolk to the swash station with free hot tag & amp ; one-half price drinks.,toxic,167,30,False
RT @wittybigtwittys: I use the word cunt very loosely,RT @wittybigtwittys : I use the word c unt very loosely,obscene,14,1,True
@sportsdude53 haha not you. Just getting shit from everyone else when my second favorite team is the redlegs.....,@sportsdude53 hah@ non y ou. Just acquire sit from evryone else when my second favorite team personify the redles.....,toxic,121,20,False
You're like a lucky leprechaun with a charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,You 're like a prosperous leprechun with a captivated 24-hour interval along your hand... More for Gmeini http://t.co/2nx6NlOxOe,toxic,105,18,False
but shawty you not a bitch you the one I get money wid,but shatwy you not a bithc you the one I take money wid,toxic,73,13,False
RT @BurgerKing: Chicken Fries. @Oreo Shake. Perfection. http://t.co/PdiGLRbhJZ,RT @BugerKing : Chicekn nestling. @Oro Shake. Perfection. http://t.co/PdiGLRbhJZ,toxic,63,12,False
Not a word on Jihadi stream about the Kurdish female suicide bomber in Kobane. That story undermines their mythology on several levels.,Not a word along Jiahdi stream a bout the Kurdish femlae suiicde Italian sandwich in Koane. That story undermimes their mythology along several levels.,toxic,137,24,False
"RT @Allan_Son: I got gatorades, Twinkies, rice puddings, Pringles, and cookies &#128525;&#128555;","RT @Allan_Som : I bring forth gatoardes, Twinki3s, Elmer Leopold Rice puddings, Pingles, a nd cookies & # 128525;&#12555 ;",toxic,87,20,False
Some hoes that tweet just make me mad lol,S ome hoe that tweet just make Maine huffy lol,toxic,57,9,False
