example_id,original_text,adversarial_text,original_label,new_label,requests_used,num_perturbations,attack_successful,string_similarity,perturbation_ratio,method_name,batch_size,timestamp
1,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occsionally fumny, e'er really colored an d enjoyalby overblown in the traditional almodóvar stye.",positive,positive,19,8,False,1.0,0.0,adaptive_dynamic,3,2025-08-12T02:22:40.475280
2,becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,go the last affair you would expet from a flm wth this title o r so fron amy plympton film : drilling.,negative,neutral,26,10,True,0.8169014084507042,0.6818181818181818,adaptive_dynamic,3,2025-08-12T02:22:40.475291
3,"sodden and glum , even in those moments where it's supposed to feel funny and light .","soppy and g1um, even in tose moments wher e i t 's conjectural to fe3l funny and light.",negative,positive,21,7,True,0.8023255813953488,0.8333333333333334,adaptive_dynamic,3,2025-08-12T02:22:40.475298
4,"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies were m@de for the big screen, some for the small screen, and some, like ballistic : ecks 5. sever, wee made for the pa lm screen.",neutral,positive,30,4,True,0.9550173010380623,0.21212121212121213,adaptive_dynamic,3,2025-08-12T02:22:40.475304
5,"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","1t 's non onl y dull because we ' ve seen [ eddie ] murphy do the genial - rogue shtick to death, but because the plot is equally hackneyed.",negative,negative,26,3,False,1.0,0.0,adaptive_dynamic,3,2025-08-12T02:22:40.475319
6,"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","1f y0u 're looikng fo r a fresh, nunaced look at de sade and what might have happened at picpus, sade comprise y our film.",positive,positive,30,8,False,1.0,0.0,adaptive_dynamic,3,2025-08-12T02:22:40.475324
7,"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","information technology 's hard to believe that a relationship like holly and marina 's culd survive the hothouse emotions of teendom, an d its longevity arrive more inexplicable as the charcaterizations turn more carssly redutcive.",negative,negative,34,7,False,1.0,0.0,adaptive_dynamic,3,2025-08-12T02:22:40.475336
8,friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the kind of film that coul d only be made by african - americans because of its broad racial insensitiivty twards african - americans.,negative,positive,29,3,True,0.9706840390879479,0.7142857142857143,adaptive_dynamic,3,2025-08-12T02:22:40.475344
9,the worst film of the year .,the worts fim 0f the yea r.,negative,neutral,9,4,True,0.8727272727272727,0.7142857142857143,adaptive_dynamic,3,2025-08-12T02:22:40.475366
10,"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","information technology throw Pine Tree State feel unclean, an d i ' m the guy who liked there 's something about mary and both american pie movies. oh , and booty call .",negative,negative,27,4,False,1.0,0.0,adaptive_dynamic,3,2025-08-12T02:22:40.475387
11,"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced portrait of a young woman 's breakdown, the film nevertheless works up a few scaers.",neutral,positive,17,1,True,0.9753694581280788,0.05,adaptive_dynamic,3,2025-08-12T02:22:40.475395
12,"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !",neutral,neutral,5,0,False,1.0,0.0,adaptive_dynamic,3,2025-08-12T02:22:40.475405
13,"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","moe v@udeville shw t han wel - construtced narraitve, b ut along tho se terms it 's inoffensive and actaully instead sweet.",positive,positive,32,12,False,1.0,0.0,adaptive_dynamic,3,2025-08-12T02:22:40.475414
