original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funny, always very colofrul and enjoyalby overblown in the traditional almodóvar style.",POSITIVE,26,2,True
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,beocmes the last thing you would expect from a film with this claim o r indeed from any plympton film : borng.,NEGATIVE,51,6,True
"sodden and glum , even in those moments where it's supposed to feel funny and light .","sodden and glowering, even in those moments where it 's spposed to feel funy and light.",NEGATIVE,33,3,True
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some moves w ere gain for the big screen, some for the small scr3en, and some, the likes of ballitic : Johann Maier quintuplet. sever, were made for the pa lm screen.",NEGATIVE,139,25,True
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it 's no t lonesome dull because we 've sen [ eddie ] murphy do the gemial - roge stick to death, but beause the pot is equally hackneeyd.",NEGATIVE,114,20,True
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a sma rt, nuanced look at de sade and what might have happened at picpus, sade is your film.",POSITIVE,30,1,True
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's intemperate to believe that a relationship like holly and marina 's could survive the hothouse emotions of teendom, and its longevity gets more inxeplicable as the characterizations turn more crassly reductive.",NEGATIVE,46,2,True
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday aft3r next is the kind o f film that culd only be mad e by african - americasn bceause of its broad racial insensitiveness towards african - americans.,NEGATIVE,140,25,True
the worst film of the year .,the wor st film of the year.,NEGATIVE,37,7,True
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me f eel unclena, and i 'm the guy w ho liked there 's something about mary and both american pie movies. oh , and booty call .",NEGATIVE,39,3,True
