original_text,adversarial_text,original_label,num_perturbed,attack_sucessful
RT @kitcoskjones: im soooo over having a bitch it aint EVEN funny lbs....,RT @kitcoskjones: im soooo over having a bit ch it aint EVEN funny lbs....,1,2,True
I say we all do a big fat line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad,one sa y we al l do a big fa t line of meh after the finale...come on yo u pussie s :P #GoodbyeBre akingBad,1,9,True
Watching #Steelers colts getting blinded by the Steelers uniys look like bunch of bumblebees,learn #Stee lers colt s ge tting b linded by th3 Steele rs uiys lok lie bunch 0f bum blebees,0,14,False
Can Charlie Crist pull one over on Rick Scott? Well he did pull one over on #floridaprimary dems tonite. #TPOT #Election2014,C@n Charli e Cris t pu ll on e ov er 0n R ick Scot? Wel h3 d1d pul 0ne oer 0n #f loridaprimary d3ms tonit. #TOPT #El ection2014,0,21,False
"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;","""@an gelenagoley: decade se x office http: //t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""na w thi s wh@t u c@ll fuckig th e sou l outa bitc h &#28557;",1,16,True
@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this bitch YA me tiene cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,@KiaraSmallzz lamoo &#128514;& #128149;I th ink I want this bit ch YA m3 ti ene cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,1,8,True
RT @AP_Noticias: #&#218;LTIMAHORA El republicano Charlie Baker elegido gobernador de Massachusetts. #Election2014 #APracecall http://t.co/qkbWQ&#8230;,RT @AP_Noticia s: #&#218;L TIMAHORA E1 repu blicano Ch@rlie B@ker ele gido goberna dor d3 Massach usetts. #Electio n2014 #APra cecall http://t.coq/kbWQ&#8230;,0,14,False
"RT @LauraBehnke: #Yankees fans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! It's already 4 to 0, still no &#8230;","RT @L@uraBehnke: #Y@nkees f ans ha ving flashbac ks! RT @WCORosen: @Laur aBehnke Y ou rmember TIS Pil Hughs! It's alrea dy 4 t0 0, stll no &#830;",0,22,False
Damn Charlie Wilson is still around?,Damn Ch@rlie Wilso n 1s $till aro und?,0,6,False
"Always wanted to fuck that bitch, thank you god I fucked that bitch","Always w anted to fuk tht bith, th ank yo u god I fucke d th@t bit ch",1,13,False
"RT @MindOnSuccess_: My mother be on some trash man &#128514; I ask her EVERYDAY, you need/ want some money? She say ""Naw I'm good!"" But come payday&#8230;","RT @MindOnSuccess_: My mothe r be on some tra sh m@n & #128514; I ask her EVERYDAY, you need/ wat some money? Sh e say ""Naw I'm god!"" But cme payday&#823;",0,27,False
"I didn't know my nig G-Eazy had reached a million views on one of his songs, haha that's crazy","I din't know my nig G-E azy had reached a million views on one of his songs, haha that's crazy",0,4,True
@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President,@CBSThisMornin g @ch@rlierose @Nor ahODonnell Texas tra sh yo ur sow was axerophthol disgrac e tis AM enga ging tungsten @Mit tRomney disrepecting th3 Presdent,0,18,False
I openly admit to being the level of white trash that will drive across town to the gas station with free hot dogs &amp; half price drinks.,single ope nly admi t t0 bei ng th3 lev el 0f whi te tr@sh that w1ll drie acoss twn t0 the swash post w ith fr3e h0t dogs &amp; one-half pr ice drinks.,0,27,False
RT @wittybigtwittys: I use the word cunt very loosely,RT @wittybigtwittys: I use the word c unt very loosely,1,2,True
@sportsdude53 haha not you. Just getting shit from everyone else when my second favorite team is the redlegs.....,@sportsdude53 haha not you. Just getting s hit from everyone else when my second favorite team is the redlegs.....,1,1,True
You're like a lucky leprechaun with a charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,You 're ilk deoxyadenosine monophosphate l ucky leprecha un with antiophthalmic factor charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,0,16,False
but shawty you not a bitch you the one I get money wid,but shawty you not a bitc h you the one I get money wid,1,2,True
RT @BurgerKing: Chicken Fries. @Oreo Shake. Perfection. http://t.co/PdiGLRbhJZ,RT @BurgerKing: Ch icken F ries. @Ore o Sh ake. Perfection. http://t.c0/PdiGLRbhJZ,0,8,False
Not a word on Jihadi stream about the Kurdish female suicide bomber in Kobane. That story undermines their mythology on several levels.,non @ word 0n Jihadi sream @bout t he Krdish f emale felo-de-se bober 1n Koane. That sto ry unde rmines teir mytology along se veral leve ls.,0,22,False
"RT @Allan_Son: I got gatorades, Twinkies, rice puddings, Pringles, and cookies &#128525;&#128555;","RT @Allan_Son: I got gatoraeds, Twink ies, rce puddings, P ringles, and cookies &#128525;&#128555;",0,8,True
Some hoes that tweet just make me mad lol,Some h oes that tweet just make me mad lol,1,1,True
Keep those away frm Charlie Day RT @JhonenV: Just once in my life I'd like for someone's favorite part of my body to be my disgusting knees.,Kee p th ose awa y fr m Ch@rlie Da y RT @Jho nenV: Jut oce atomic number 49 my lif e I'd lke f0r someones favoite contribution 0f my dead body t0 b3 my disgust ing knees .,0,27,False
@ElyssaJankowski @ComedyTextings haha she a stupid hoe,@ElyssaJankowski @ComedyTextings haha she a stupid ho e,1,1,True
Fuck dat bitch,Fuk d at bith,1,3,False
"One of my favorite songs. ""There's a man on the shoreline with a white parakeet trying to make his bird go home."" http://t.co/bQ3CBIPk6s","O ne 0f my f@vorite s ongs. ""Th ere's deoxyadenosine monophosphate m@n 0n th3 sho reline wih ampere Theodore Harold White para keet trying to make his bird go home."" http://t.co/bQ3CBIPk6s",0,23,False
S/O to my Luu's. These are down bitches! Don't fuck with them.,S/O to my Luu's. Thee are don bi tches! Don't fuk wit h them.,1,9,True
This niggga said I be branding bitches &#128569;&#128514;&#128514;&#128514;&#128514;&#128527;,T his niggga said I be branding btches &#128569;&#128514;&#128514;&#128514;&#128514;&#128527;,1,2,True
got my bitch in her whip coming to pick me up,got my btch in her whip coming to pick me up,1,1,True
RT @K1mb0Slyc3: Me too! &#8220;@WhatsAshirt: Defiantly going to see that new planet of the apes tonight&#8221;,RT @K1mb0Sl yc3: Me t oo! &#8220;@Wh@tsAshirt: Defi antly gong t0 se e th at n3w p lanet 0f th3 aes tonihgt&#8221;,0,16,False
After tonight&amp;&amp; many more nights to come!! I will show you what a cold hearted bitch can do!!! #donefeedup #solo,After tonight&amp;&amp; many more nights to come!! I will show you what a cold hearted b itch c@n d!o!! #donefeedup #solo,1,5,True
Aint no hoe in blood,Aint no ho e in blood,1,1,True
Hahahaa so people can't parent differently...? Twitter is fuckin trash ahahahha http://t.co/b6koSBMzBz,Hahahaa so people can't parent differently...? Twitter is fu ckin trash ahahahha http://t.co/b6koSBMzBz,1,1,True
anybody want any sugar maple saplings? I have about 50 popping up in Heidi's hillbilly beach. me and emm's planted two Friday.,anybody wa nt whatsoever sug ar ma ple splings? I hav e @bout 50 popping upwards 1n Hidi's hillbilly bach. m3 @nd emms p lanted tw0 F riday.,0,22,False
RT @hilaryde92: Always a fat bitch in the handicap spot but never a dude in a wheelchair.,RT @hilaryde92: Always a fat b itch in the handicap spot but never a dude in a wheelchair.,1,2,True
"I named my penis ""The Truth"" because bitches can't handle it.","1 named my penis ""The Truth"" because bi tches can't handle it.",1,2,True
RT @JesusMVela: &#8220;@Enriquuee_: @JesusMVela @wigga32 fucking pussy that's why&#8221; exactly. Let me @ the nigga @RyanMattheww7 were talking about &#8230;,RT @JesusMVela : &8220;@Enriquuee_: @esusMVela @ wigga32 jazz puss y that's wh&#8221; exactly. Le t me @ the nig ga @RyanMattheww7 we re talking about &#8230;,1,13,True
"@Blackman38Tide Ha bitch, I'm pickin' up beach babes left n right on the West Coast http://t.co/lDXNpohLyD","@Blackman38Tide Ha bitc h, I'm pickin' up beach babes left n right on the West Coast http://t.co/lDXNpohLyD",1,1,True
@gezus__ you gunna let that bitch do you like that?,@gezus__ you gunna let that bitc h do you like that?,1,2,True
"""@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT""
&#128123;spook","""@k@zooook: We actin lik e it' s th3 seventh d@y @WesGo dLaFlare http://t.co/s9gMtEvpaT"" &#128123;spook",0,9,True
&#8220;@coltscommunity @Pacers @nflcolts @indystar #CHUCKSTRONG #GoldSwagger http://t.co/6q5wm3VU&#8221; thats awesome &#127936;+&#127944;=&#128077;&#128076;&#9757; #hoosiers,&#8220;@coltscommu nity @P@cers @nf lcolts @ indystar #CHCKSTRONG #Gol dSwagger http://.tco/6q5wm3VU&#8221; thas aesome &#127936;+&#127944;=&#128 077;&#128076;&#9757; #hoosiers,0,11,False
RT @kamaalrkhan: Sir @ArvindKejriwal career tho apka waise bhi khatam ho chukka. You have become new Amar Singh so try for publicity #Kejr&#8230;,RT @k@maalrkhan: Sir @ArvindKejiwal life history tho apa waie bhi k hatam ho chu kka. Y ou ha ve becom e n3w Amr Sngh thus tr y f0r promotional material #Kejr&#8230 ;,0,23,False
@josh_sclafani You're also a better little bitch,@jsoh_sclafani You're also a better little bitc h,1,3,True
iggy wanna be black so bad. ur a white widow hoe,iggy wanna be black so bad. ur a white widow h oe,1,1,True
"RT @goodmanwood: Rise+Rhyme #snowpatricksday @busboysandpoets: ON in the AM! Wear your green, dance a jig &amp; sing a lively tune w/ me!
http:&#8230;","RT @goo dmanwood: Ris e+Rhyme #snowpa tricksday @b usboysandpoets: ON atomic number 49 th3 AM! W3ar you r gr een, dnce angstrom unit j1g &mp; sig a livly tune w/ m3! http:&#823 0;",0,23,False
I'm with 3 bitches &amp; 2 of em mix,I'm with 3 bitche s &amp; 2 of em mix,1,2,True
"He died for a reason RT @ShyThugg: ""@viaNAWF: I didn't follow you back cuz you fat, bitch. Foh large hoe."" Jesus ain't pleased fam","He died for a reason RT @ShyThugg: ""@viaNAWF: I didn't follow you back cuz you fat, bitc h. Foh large heo."" Jesus ain't pleased fam",1,3,True
Parsons trash,P@rsons tr@sh,0,2,False
