original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funny, always very clorful and enjoyably overblown in the traditional almodóvar style.",positive,20,1,True,2025-08-07T13:44:46.369628
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becomes the last thing you would expect from a film with t his title or indeed from any plympton film : borimg.,negative,37,4,True,2025-08-07T13:44:46.369655
"sodden and glum , even in those moments where it's supposed to feel funny and light .","sodden an d g lum, even in those minute where it 's supposed to feel funn y an d light.",positive,42,5,True,2025-08-07T13:44:46.369683
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies were ma de for the big screen, some for the small screen, and some, like ballistic : Eck v s. sever , were made for the palm screen .",neutral,39,3,True,2025-08-07T13:44:46.369698
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it 's no t only dull because we 've seen [ eddie ] murphy do the genial - rogue shtick to death, but because the plot is equally hcakneyed.",negative,41,2,True,2025-08-07T13:44:46.369725
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a smart, nuanced look at de sa de and what might have happened at picpus, sade i s your film.",positive,36,3,True,2025-08-07T13:44:46.369741
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's har d to believe that a relationship like holly and marina ' s could survive the hothouse emotions of teendom, and its longevity gets more inxeplicable as the delineation turn more crssly reductive.",negative,61,5,True,2025-08-07T13:44:46.369755
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next i s the kind of film tat could only be made by african - americans because of its broad racial insensitivity towards african - americans.,neutral,64,9,True,2025-08-07T13:44:46.369781
the worst film of the year .,the wor st flm of the year.,negative,22,4,True,2025-08-07T13:44:46.369810
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me f eel unclean, and i 'm the guy who liked there 's something about mary and both american pie movies. oh , and booty call .",negative,29,1,True,2025-08-07T13:44:46.369822
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardy a nuanced portrait of a young woman 's breakdown, the film nevertheless works up a fe w scares.",mixed,30,2,True,2025-08-07T13:44:46.369839
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950 's doris day feel and it gets very u gly, very fast. the first five minutes will have you talking 'til the end of the year !",negative,24,1,True,2025-08-07T13:44:46.369853
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","mor e vaudeville show than well - constructed narrative, but on those terms information technology 's euphemistic and actually rather sweet.",mixed,46,6,True,2025-08-07T13:44:46.369889
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' cq may one day be fonly remembered as roman coppola 's brief pretentious period before going on to other films that actually tell a story worth caring about,positive,34,1,True,2025-08-07T13:44:46.369907
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirational screenplay by mike rich covers a lot of ground, perhaps besides mu ch, but ties things together, neatly, by the end.",mixed,36,2,True,2025-08-07T13:44:46.369924
it's probably worth catching solely on its visual merits . if only it had the story to match .,i t 's probably worh enamour solely on its v1sual meirts. if only it had the story to match .,mixed,45,6,True,2025-08-07T13:44:46.369939
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fairy - tale formula, serves as a paper skeleton for some very god acting, dialogue, comedy, direction and especially char m.",positive,34,2,True,2025-08-07T13:44:46.369964
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the color sense of stuart little 2 is its most immediate and most obvious plasure, bu t it w ould count for very little i f the moving picture represent n' t as beautifully shaped and as delicately calibrated in tone as it is.",mixed,76,8,True,2025-08-07T13:44:46.369979
the most surprising thing about this film is that they are actually releasing it into theaters .,the most surprisig thing about this film is that they are actu@lly releasing it into theaters.,positive,27,2,True,2025-08-07T13:44:46.370001
a fan film that for the uninitiated plays better on video with the sound turned down .,a fan film that for the uninitiated plays bettre on video with the sound turned down.,negative,23,1,True,2025-08-07T13:44:46.370016
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requires a clear sentience of prupose, and in that oh - so - important category, the four feathers comes up short.",mixed,42,3,True,2025-08-07T13:44:46.370030
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . an otherwise intesne, tist - and - turn thriller t hat certainly should n 't hurt talented young gaghan 's resume.",positive,42,4,True,2025-08-07T13:44:46.370046
cho's timing is priceless .,cho 's timing is pricless.,positive,11,1,True,2025-08-07T13:44:46.370076
. . . a lesson in prehistoric hilarity .,. . . a lseson inch prehistorci hilarity.,neutral,32,6,True,2025-08-07T13:44:46.370085
"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","th1s i$ a god scrpt , god dial0gue , fumny ev en f or adulst . the characters are intersting and often very creatviely constructed from figure to backstory. the film will play equally well on both the standard and giant screens .",positive,96,16,True,2025-08-07T13:44:46.370104
an almost unbearably morbid love story .,an almost unbearably mobrid love stoyr.,negative,23,3,True,2025-08-07T13:44:46.370125
if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,if you grew up on scooby -- y ou 'll sleep with thi$ movie. matthew lillard is born to play shaggy !,positive,28,3,True,2025-08-07T13:44:46.370135
"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as conceived by mr. schaeffer, christopher and grace ar e little more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell.",negative,42,1,True,2025-08-07T13:44:46.370147
"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","d o no t, under any circumstances, consider taking a child younger than middle school age to ths wallow in curde humor.",negative,42,4,True,2025-08-07T13:44:46.370321
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depicts the s0rriest and most sordid of human behavior on the screen, then laughs at how clever it 's being.",positive,29,1,True,2025-08-07T13:44:46.370336
"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","alx noe 's docudrama pays like a traveogue for what largely resembles a real - lif e, big - budget nc-71 version o f t ank g irl.",neutral,89,15,True,2025-08-07T13:44:46.370350
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","a beautiflu, tieless and universal t@le of heated passions -- jealousy, betrayal, f0rgiveness and murder.",positive,39,4,True,2025-08-07T13:44:46.370364
ya-yas everywhere will forgive the flaws and love the film .,ya - yas everywhere will forgive the flaws and loe the film.,positive,18,1,True,2025-08-07T13:44:46.370378
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watching the powerpuff girls movie, my mind kept returning to one ancedote for comparison : the cartoon in japan t hat gave people seizures.",neutral,34,2,True,2025-08-07T13:44:46.370389
