original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
RT @kitcoskjones: im soooo over having a bitch it aint EVEN funny lbs....,RT @kitcoskjones : i m soooo over having a bitch i t ai nt EVEN funny lbs....,happiness,21,1,True
I say we all do a big fat line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad,I sa y we all do a big fertile line of meth ater the finale... come o n you pussies : P # GoodbyeBrakingBad,neutral,64,9,True
Watching #Steelers colts getting blinded by the Steelers uniys look like bunch of bumblebees,Watching # Steeles colts getting blinded by the Steelers uniys look like bunch of bumblebees,neutral,20,1,True
Can Charlie Crist pull one over on Rick Scott? Well he did pull one over on #floridaprimary dems tonite. #TPOT #Election2014,Can Charlie Crist pull o ne over on crick Sctot? swell he d id deplume ome ovr 0n # floridaprimary dems tonite. # TOT # Election204,neutral,119,22,True
"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;",""" @angelenagoley : 10 sex positions http://t.co/nt3PABMWsm htt://t.co/JmHZ8Sczf0""naw this what u call fucking th e soul outta bitch & # 128557 ;",anger,31,2,True
@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this bitch YA me tiene cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this bitch YA me tiene cansada b ut thanks & # 128536;wat hold u p... Who u fighting &#128563;,happiness,42,8,True
RT @AP_Noticias: #&#218;LTIMAHORA El republicano Charlie Baker elegido gobernador de Massachusetts. #Election2014 #APracecall http://t.co/qkbWQ&#8230;,RT @AP_Ntoicias : # & # 218;LTIMAHRA El republicano Charlie Baker elgeido gobernador d e Masscahusetts. # Election2014 # APracecall http:/t.co/qkbWQ&#8230 ;,neutral,105,22,False
"RT @LauraBehnke: #Yankees fans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! It's already 4 to 0, still no &#8230;","R T @LauraBehnke : # Yankee fans having flashbcaks! RT @WCCORosen : @LauraBehnke Yo u remember THIS Phl Hughse! information technology ' s already 4 t0 0, sitll n o & # 8230 ;",neutral,155,32,False
Damn Charlie Wilson is still around?,Damn Charlie Wilson is stil just about?,confusion,22,3,True
"Always wanted to fuck that bitch, thank you god I fucked that bitch","Always wanted to fuck that bitch, thank you g od I fcked th@t bich",anger,51,8,True
"RT @MindOnSuccess_: My mother be on some trash man &#128514; I ask her EVERYDAY, you need/ want some money? She say ""Naw I'm good!"" But come payday&#8230;","R T @MindOSnuccess _ : My mother be along some trash man & # 128154 ; I ask her EVERYDAY, you need/ desire s0me moey? She say ""Naw I'm good!"" merely get along payday&#8230 ;",neutral,152,30,False
"I didn't know my nig G-Eazy had reached a million views on one of his songs, haha that's crazy","I did n't know my nig G - Eazy had reached a million views on one of his songs, hah a that 's craz y",happiness,33,2,True
@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President,@CBSThisMoning @charlierose @NorahODonnell tx tra sh your show wa s a disgrace this AM engaging w @MittRomney disrespecting the President,disgust,33,4,True
I openly admit to being the level of white trash that will drive across town to the gas station with free hot dogs &amp; half price drinks.,I openly admit to being the level of white trash that wi ll drive across town to the gas station with free hot dogs & amp ; half price drinks.,happiness,34,1,True
RT @wittybigtwittys: I use the word cunt very loosely,RT @wittybigtwittys : I use the wod cunt very loosely,neutral,25,3,True
@sportsdude53 haha not you. Just getting shit from everyone else when my second favorite team is the redlegs.....,@sportsdude53 haha not you. Just getting shit from everyone else when my second favorite team is the redlegs.....,happiness,3,0,False
You're like a lucky leprechaun with a charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,You 're like a l ucky leprechaun with a charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,love,19,1,True
but shawty you not a bitch you the one I get money wid,but shawty you not a bitc h you the one I ge t money wid,anger,22,2,True
RT @BurgerKing: Chicken Fries. @Oreo Shake. Perfection. http://t.co/PdiGLRbhJZ,R T @urgerKing : Chicken Fries. @Oeo Shak e. Perfection. http://t.co/PdiGLRbhZ,neutral,54,10,True
Not a word on Jihadi stream about the Kurdish female suicide bomber in Kobane. That story undermines their mythology on several levels.,Not a word on Jihadi strem about the Kurdish female suicide bomber in Kobane. That story undermines their mythology on several levels.,neutral,22,2,True
"RT @Allan_Son: I got gatorades, Twinkies, rice puddings, Pringles, and cookies &#128525;&#128555;","R T @Allan_Son : I got gatorade$, Twinkie, rice puddings, Prngles, and cookies & # 128525;&128555 ;",neutral,87,20,False
Some hoes that tweet just make me mad lol,Some hoes that tweet just make me mad l ol,happiness,13,1,True
Keep those away frm Charlie Day RT @JhonenV: Just once in my life I'd like for someone's favorite part of my body to be my disgusting knees.,Keep those away frm Charlie Day RT @JhonenV : Just once in my life I ' d like for someone '$ favorite divide of ny body to be my disgusting knees.,disgust,114,16,True
@ElyssaJankowski @ComedyTextings haha she a stupid hoe,@ElyssaJankowski @ComedyTexings h aha she a stupid hoe,happiness,16,2,True
Fuck dat bitch,Fuck d@t bi tch,anger,15,2,True
"One of my favorite songs. ""There's a man on the shoreline with a white parakeet trying to make his bird go home."" http://t.co/bQ3CBIPk6s","O ne of my favorite songs. ""There's a man on the shoreline with a white parakeet trying to make his bird go home."" http://t.co/bQ3CBIPk6s",love,18,3,True
S/O to my Luu's. These are down bitches! Don't fuck with them.,S/O to my Luu's. Thsee are dwn holler! Don't fuck with them.,anger,29,5,True
This niggga said I be branding bitches &#128569;&#128514;&#128514;&#128514;&#128514;&#128527;,This niggag sad I be branding bitches & # 128569;&#128514;&#128541;&#128514;&#128514;&#128527 ;,neutral,39,8,True
got my bitch in her whip coming to pick me up,got my bi tch in her whip coming to pick me up,anger,15,1,True
RT @K1mb0Slyc3: Me too! &#8220;@WhatsAshirt: Defiantly going to see that new planet of the apes tonight&#8221;,RT @K1mb0Slyc3 : Me too! & # 8220;@WhatsAshirt : Defiantly goig to see tha t new satellite of the ape s tonight&#8221 ;,neutral,111,22,False
After tonight&amp;&amp; many more nights to come!! I will show you what a cold hearted bitch can do!!! #donefeedup #solo,After tonight&amp;&amp; many more nights to come!! I will show y ou wht a c old hearted bitch can do!!! #donefeedup #solo,anger,34,7,True
Aint no hoe in blood,Ai nt no hoe in blood,disgust,11,1,True
Hahahaa so people can't parent differently...? Twitter is fuckin trash ahahahha http://t.co/b6koSBMzBz,Hhaahaa s o people ca n't parent differently...? Twitter is fuckin trash ahahahha http://t.co/b6koSBMzBz,happiness,29,4,True
anybody want any sugar maple saplings? I have about 50 popping up in Heidi's hillbilly beach. me and emm's planted two Friday.,anybody want any sugar maple saplings? I have abou t l popping up in Heidi ' s bushwhacker beach. me and emm's planted two Friday.,neutral,43,6,True
RT @hilaryde92: Always a fat bitch in the handicap spot but never a dude in a wheelchair.,RT @hialryde92 : Always a f at bitch i n the hanicap sot but never a dandy in a wheelchiar.,neutral,68,12,True
"I named my penis ""The Truth"" because bitches can't handle it.","I named m y penis "" The Truth "" because bitches ca n't handle it.",neutral,26,4,True
RT @JesusMVela: &#8220;@Enriquuee_: @JesusMVela @wigga32 fucking pussy that's why&#8221; exactly. Let me @ the nigga @RyanMattheww7 were talking about &#8230;,RT @JesuMVela : & # 822;@Enriquuee _ : @JesusMVela @iwgga32 fucking pussy tha t ' s why#8221 ; exactly. Army of the Righteous me @ t he jigaboo @RyanMatteww7 wer3 ta1king around & # 830 ;,neutral,138,30,True
"@Blackman38Tide Ha bitch, I'm pickin' up beach babes left n right on the West Coast http://t.co/lDXNpohLyD","@Blackman38Tide Ha bitch, I 'm pickin ' up beach babes left n right o n the West Coast http://t.co/lDXNpohLyD",anger,23,1,True
@gezus__ you gunna let that bitch do you like that?,@gezus__ you gunna let that bitch do you like that?,neutral,14,3,False
"""@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT""
&#128123;spook",""" @kazooook : We actni like i t ' s th e 7 th day @WeGodLaFlare http://t.c/s9gMtEvpaT "" & # 128123spook",neutral,85,17,False
&#8220;@coltscommunity @Pacers @nflcolts @indystar #CHUCKSTRONG #GoldSwagger http://t.co/6q5wm3VU&#8221; thats awesome &#127936;+&#127944;=&#128077;&#128076;&#9757; #hoosiers,& # 8220;@coltscommunity @Pacesr @nflcols @indystar # CHUCKSTRONG # Goldwagger http://t.co/6qw5m3VU&#8221 ; that s awesome & # 127936;+#&127944;=&#128077;&#128076;&#9757 ; # Hoosier,neutral,89,21,False
RT @kamaalrkhan: Sir @ArvindKejriwal career tho apka waise bhi khatam ho chukka. You have become new Amar Singh so try for publicity #Kejr&#8230;,RT @kamaalrkhan : Si r @ArvindKejriwal career tho apka wasie bhi khatma ho chukka boot. You hae get novel Amar Sing h so try for publictiy # Kejr&#8230 ;,neutral,151,27,False
@josh_sclafani You're also a better little bitch,@josh_sclafani Yo u 're also a better little bitch,love,12,1,True
iggy wanna be black so bad. ur a white widow hoe,iggy wanna be black so bad. ur a white widow hoe,neutral,3,0,False
"RT @goodmanwood: Rise+Rhyme #snowpatricksday @busboysandpoets: ON in the AM! Wear your green, dance a jig &amp; sing a lively tune w/ me!
http:&#8230;","R T @goodmamwood : Rise+Rhyme # snowpatrickdsay @busboysandpeots : along in the AM! Wear your green, dance a jig &amp; sing a lively tune w/ me! http:&8230 ;",neutral,76,15,False
I'm with 3 bitches &amp; 2 of em mix,I 'm wit h 3 bitches & amp ; 2 of em mix,neutral,22,3,True
"He died for a reason RT @ShyThugg: ""@viaNAWF: I didn't follow you back cuz you fat, bitch. Foh large hoe."" Jesus ain't pleased fam","He died for a reason RT @ShyThugg: ""@viaNAWF: I didn't follow you back cuz you fat, bitch. Foh large hoe."" Jesus ain't pleased fam",neutral,27,5,False
Parsons trash,Prasons t rash,anger,11,2,True
"Tell them hoes ""I'm all friended out""","T ell th em hoes "" I 'm all friended out """,neutral,19,2,True
"RT @Factsionary: Pink ""albino"" dolphins are extremely rare but do exist in the wild. http://t.co/gWyLpgC9lP","R T @actsionary : Pik "" albino "" dolphins are extremely rarified but do exist in the wi1d. http://t.co/gWyLpgC9lP",neutral,103,19,False
@BitchMedia what's up my bitches?! Shout out from your momz in Cali! Keep doin what u do. #loveit,@BitchMedia wh at 's u p ny bithes?! Shout out from your momz in Cali! Keep doin what u do. #loveit,anger,37,6,True
"But bitch you gon shave or wax that pussy before I bless it, Foh.","But b itch you gon shave or wax that pussy before I bless it, Foh.",anger,20,1,True
"Do birds have dongs? How do they mate? Help me, I'm an adult who doesn't know how animal sex works!!!","Do birds have dongs? How do they mate? Help me, I'm an adult who doesn't know how animal sex works!!!",confusion,4,0,False
#Yankees Pineda needed that 6'7. Great play!,#Yankees Pineda needed that 6'7. Gr eat play!,love,9,2,True
"RT @IllusiveHaven: shhhh&#8230;
wrap yourself around me
let me kiss the bruises on your heart
lick your unhealed wounds
and taste the raw wild ho&#8230;",RT @IllusiveHaven : shhh&#8230 ; wrap yourself around Maine l3t me kiss the bruises on your heart lick your unhealed wounds and tas te the raw wild ho&#8230 ;,neutral,69,10,True
"Don't dance, Iggy. It's trash just like your music.","Don't dance, Iggy. It's trash just like your music.",disgust,3,0,False
smh RT @uglyhxes Tyga shoulda knew Blacc Chyna was a hoe when his son crip walked out her pussy.,s mh R T @uglyhxes Tya shulda knew Bl acc Chyna was a ho e when his son crip walked out her pussy.,neutral,51,7,True
@Oskzilla @yaseenxkahn sleep niggah! Lol,@Oskzilla @yaseenxkahn sleep niggah! Lo1,happiness,9,1,True
RT @Venus_Lynn: &#8220;@dylxnl: look ghetto but it work http://t.co/chrvW9dPca&#8221;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;,RT @Vneus_Lynn : & # 8220;dylxnl : loo k ghetto bu t i t wrk http://t.co/chrvW9dPca&#8221;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&1#28557 ;,neutral,67,14,False
"RT @MetalHammer: Are you in London this evening? 
Well ex-Iron Maiden member, Tony Moor, will be busking outside Balham train station from &#8230;","R T @MetalHammer : Are you in British capital this even? good ex - I ron Madien membr, Tony Mor, wil b e busking outside Bahlam take station fr om & # 830 ;",neutral,165,32,False
Serious question: what do white boys pull up on bitches bumpin?,Serious questoin : what do whi te boys pull up on bitches bumpin?,confusion,23,3,True
@Drfreezeburnn That's not bias. It's an objective fact that Philly fans are cunts.,@Drfreezeburnn That's not bias. It's an objective fact that Philly fans are cunts.,neutral,3,0,False
"""I used to dress up like a cop too.""
""Oh really?""
""Yeah...right after 9/11...mad pussy.""
""Really?""
""Yes...I'll NEVER FORGET.""",""" I used to dress up corresponding a cop to o. "" ""Oh really?"" "" Yeah... right afterward 9-11... mad pussy. "" ""Really?"" "" Yes... Ill NEVER FORGET. """,neutral,131,27,True
@tweetstar10 Saw that there's a 15&#176; slope to the wire? That enough for a zip-line? #businessopportunity,@tweetstar10 Saw that there ' s a 15#176 ; slope to the wire? That enough for a zip - lie? #businessopportunity,neutral,117,23,False
RT @JuanNDaCut: When twitter rappers dm me their trash links http://t.co/yck16ZiNZZ,R T @JuanND@Cut : When twitter rappers diabetes mellitus me their scum join http://t.co/yck16ZiNZZ,neutral,73,12,False
@jesstoth we could get matching burner phones and be ghetto fab for a few months,@jestsoth we could get matching burnre headphone a nd be getto fa b for a few monhs,neutral,89,15,False
All these faggot fell asleep on me,All these fagot fell asleep on me,neutral,12,1,True
@yfly23 mock draft?,@fyly23 m ock draft?,neutral,13,2,True
That was trash. I'm just gonna put my phone down. Goodnight,That was trash. I'm just gonna put my phone down. Godnight,happiness,8,1,True
Pull up on a nicca #Bored,P ull up om a nicca # Bored,neutral,20,3,True
"RT @ZekeJMiller: RT @MarcACaputo: ""I've met few people in politics that I disrespect more than Charlie Crist,"" --Rudy Giuliani","R T @ZekeJMiller : R T @MarcACauto : "" I ' ve me t fe w multitude Indiana politics that I disrspect to a greater extent than Char1ie Crist, "" --Rudy Giuliani",neutral,125,25,False
Let's run a train on this bitch,Let 's r un a train on th1s bitch,anger,20,2,True
@wboundurant92 like I said drose needs to stop being a pussy lol,@wboundurant92 like I said drose needs to stop being a pussy l ol,happiness,21,2,True
"""I'll slit your throat-neck"" http://t.co/ChFFSDeDdd",""" I ' ll sl it your thro@t - meck "" http://t.co/ChFFSDeDdd",neutral,47,10,False
RT @mitrebox: At this point every voter in Florida has voted both for and against Charlie Crist.,RT @mitreox : A t this point every elector im Sunshine State ha s voted both for and against Charlie Cirst.,neutral,79,13,True
"""For every bad bitch there is a nigga tired of fucking her""",""" For every bad b1tch there is a nigga tired of fucking her """,anger,21,1,True
RT @s_devante: That moment were u friend zone a bitch at 3am for calling u# do u now way time it is please gtf out my face#rich homie quan &#8230;,RT @s_devante : That consequence we re u frined zone a bitch at 3 am for calling u # do u now way ti me it is please gtf out my face#rich hom1e qun & # 820 ;,neutral,109,22,True
RT @hildismom: MT @jjauthor: US ghettos-driven by liberal ideology; http://t.co/6ONYrmggND #RedMeat,R T @ildismom : M T @jjauhtor : U S ghettos - driven by free ideoogy ; http://t.co/6ONYrmggND # RedMeat,neutral,85,17,False
@greekkid31 @TaraSetmayer @TheWillDunne yes true reagan was the first..ike wouldnt. While president and he was supreme allied commander.,@grekkid31 @aTraSetmayer @TheWillDunne yes true reagan was the first..ike wouldnt. patch pre$ident and he was supreem confederate commandant.,neutral,68,11,False
"@Claudialena8 she wasn't saying she did, but yes me and Kannon have both been in the ghetto and know what it's like so u look dumb.","@Claudialena8 she was n't saying she did, but yes ne and Kannon have both been im the ghetto and know what it ' s like indeed u look dumb.",neutral,151,26,True
RT @gab_mccarthy: @rosestokoe @JuliaMarie892 @_suline @violetethompson @CAmatuzzo but then there's the yellow writing on the black jerse ...,RT @gab_mccrathy : @rosestokoe @JuliaMarie892 @_suline @violetethmopson @ACmatuzzo but th en in that location ' s the yelow compose om the bl ack jeres...,neutral,99,16,True
"@Zonozi @QuantRyse @Hockeypuck55 Classic drunk Carter texts never fail. Hey stfu I'm coming over. Oops, I'm here come the fuck outside bitch","@Zonozi @QuantRyse @Hockeypuck55 Classic drunk Carter texts never fail. Hey stfu I'm coming over. Oops, I ' m here cone the f uck outside bich",anger,43,8,True
A pharaohs nd his angry bird http://t.co/jMC2eR32Ka,A phraohs n d his angry bid http://t.co/jMC2eR32Ka,neutral,22,3,True
@_icantmiss Boys still got birds in the cage? Lol,@_icantmiss Boys still got birds in the cage? L ol,happiness,6,1,True
Old lady went to pay and reached all the way over my plate. Hate eating on bar countertops. Stupid white bitch.,Old lady went to pay and reached all the way over my plate. Hate eating on bar conutertops. dullard wite bi tch.,anger,35,5,True
"""@lildurk_: I can turn yo bitch into a eaterrrrrrrrr""",""" @lildurk _ : I can turn yo bitch int o a eaterrrrrrrr """,anger,26,5,True
@Ant_Dgk @Buckm00se @ChainskiBum would this faggot survive in TJ?,@Ant_Dgk @Bucmk00se @ChanskiBum would ths fagot survie in TJ?,neutral,59,10,False
How you like them apples you pineapple bitch?,H ow you l ike th3m apples you pineapple bitch?,confusion,33,5,True
"LMFAO, stupid bitch tells me at the door they already started, and to come back.&#128514;&#128514; UMMMM NAH","LMFAO, stupid bi tch tells me at the door they already started, and to come back.&#128514;&#128514 ; UMMMM NAH",anger,24,1,True
"Laat Zihni Ozdil met rust jullie gemene trollen, hoe durven jullie zijn mening in twijfel te nemen! Zijn zegje is wet en*kuch**kuch*. .water","Lat Zihi 0zdil me t rust julle gmene trollen, ho e durvn julie zjn mennig in tw1jfel te nenen! Z ijn zegje is sozzled en*kuch*kuch *..watre",neutral,151,27,False
"This guy is nits&#8220;@Lucci_Dpc: i learn new things every day, u the only one still talkin bout jim crow. There go that republican hypocrisy&#8221;","This guy is nits#&8220;@Lucci_Dpc : i see new thigns eevry twenty-four hour period, u th e ony on e sti ll talkim tear jim cro w. Theer become that republican hypocrisy&#821 ;",neutral,149,28,False
@jacksparenohoe hotter than a pussy in a pepper patch....who makes this shit up anyways...?,@jacksparenohoe htoter than a pussy in a pepper patch.... who makes this sh it up ayways...?,confusion,34,4,True
#BlessJesus The #Crown of HIS head to the sole of HIS feet,# BelssJesus The # Cron o f HIS head t o t he sle of HIS metrical unit,neutral,79,14,False
"Oh Yahweh, your hand is upon me, your shadow hovers over me.For your sake, The House of Ysrah'al mock me all day long http://t.co/wXEs0DQRP9","Oh YHWH, your had is upon me, your shadow vibrate over me.F or your sake, The Houes o f Ysrah'al bemock me all d ay longsighted http:/t.co/wXEs0DQRP9",neutral,163,29,True
"@karmendanielle_ aka he wanna keep you warm, shoulda just introduced himself #coons","@karmendanielle_ aka he wanna keep you warm, shoulda just inroduced himself # coons",neutral,28,3,True
it's 2014 bitches need to be ready for the D fellaz! Don't play they games! Let that high school tease shit last a day. #swag,it's 2014 bitches need to be ready for the D fellaz! Don't play they games! Let that hi gh $chool tease shit las t a day. #swag,confusion,32,4,True
Can't stop eating graham crackers,Ca n' t stop eating graham crackers,disgust,10,1,True
A miserable bitch is on the docket today. Lois 'Misery' Lerner better get grilled. The ordered harassment was undeniable. #breakherdown #war,A miserable bitch is on the docket today. Lois 'Misery' Lerner better get grilled. The ordered harassment was undeniable. #breakherdown #war,confusion,5,0,False
RT @Smart_Cookie86: If I had to pick a President of the Uncle Tom association I would pick Larry Elder.,R T @Smart_Cookie86 : I f I had to pick a President of the Uncle gobbler association I would pick L arry Eledr.,neutral,46,6,True
#uppers loving the show this morning. Chris is directing the conversation beautifully. Make the teabaggers talk!,# upper lov1ng the show tis morning. Chris is directing the conversation beautifully. Make the teabaggers talk!,love,44,8,True
@BetoDavidThomas @JesseCanon bitch my mom didn't call you,@BetoDavidThomas @JesseCanon bitch my mom did n't ca ll y ou,anger,28,4,True
"RT @medzzzx: *claims hoes don't exist* 

*uses hoe in her name* http://t.co/tSNzJgPye4",R T @nedzzzx : * claims hoe arrange n 't exst * * ues hoe in her n@me * http://t.co/tSNzJgye4,neutral,91,18,False
&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 http://t.co/saWpjDtIGN,& # 9 733 ; BES T ASAIN MASSAGE along T HE Brooklyn Pa rk slope --OP denounce SPA & # 973;718 - 622 - 0221 - 24 http://t.co/saWpjDtIGN,neutral,121,25,False
My Lil cousin been locked up for 2 years for beating a bitch with. Metal bucket,My Lil cousin been locked up for 2 years for beating a bitch with. Metl bucketful,neutral,13,2,True
"RT @AdviceToWriters: A bird doesn't sing because it has an answer, it sings because it has a song.
MAYA ANGELOU

#poetry #writing","RT @AdviceToWriters: A bird doesn't sing because it has an answer, it sings because it has a song. M AYA ANELOU # verse # writing",neutral,29,6,True
