original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","alex nohe 's documentary plays like a travelogue for what mostly resembles a real - life, big - budget nc-17 version of tank girl.",negative,31,1,True,2025-08-07T10:26:49.160418
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","a beutiful, timeless and universal tale of heated passions -- jealousy, betrayal, forgiveness and murder.",positive,24,1,True,2025-08-07T10:26:49.160444
ya-yas everywhere will forgive the flaws and love the film .,y a - yas everywhere will forgive the flaws an d lve the film.,positive,32,4,True,2025-08-07T10:26:49.160481
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watching the powerpuff girls movie, my mind kept rturning to one anecdote for comparison : the cartoon in japan that gave people seizures.",negative,30,1,True,2025-08-07T10:26:49.160491
"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","ausitn powers in goldmember is a cinematic car werck, a catsatrophic collision of savorlessness and gall that nevertheless will leave fans clamoring for another ride.",negative,50,6,True,2025-08-07T10:26:49.160529
"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[ gai ] comes closer to any actress i can remember to personifying independence in its purest and, y es, most intimidating form.",positive,29,1,True,2025-08-07T10:26:49.160557
the pool drowned me in boredom .,the pol dorwned me in bordom.,negative,22,3,True,2025-08-07T10:26:49.160571
"the tone is balanced , reflective and reasonable .","the tone is balnced, reflective and reasonble.",positive,20,3,True,2025-08-07T10:26:49.160593
brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness .,brings an irresistible blend of warmth and humo r and a consistent embracing humanity in the face of life 's harshness.,positive,25,1,True,2025-08-07T10:26:49.160607
"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .","a ragbag of promising ideas and fialed narrative, of good acting and plain old b ad filmmaking.",negative,27,2,True,2025-08-07T10:26:49.160620
writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,writer / director alexander payne ( election ) and his co - writer jim taylor brightly employ their quirky and fearless ability to look american angst in the eye and end up laughing.,positive,42,1,True,2025-08-07T10:26:49.160641
"a well-done film of a self-reflexive , philosophical nature .","a we ll - do ne fi lm of a self - reflexive, philosophical nature.",positive,30,5,True,2025-08-07T10:26:49.160668
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains not so much because of its music or comic antics, but through the pervese pleasure of watching disney scrape the bottom of its own cracker barrel.",negative,35,2,True,2025-08-07T10:26:49.160678
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .","am aumsing and unexpectedly insightflu examination of sexual jealousy, resentment and the fine line between passion and pretence.",positive,37,3,True,2025-08-07T10:26:49.160694
"there ought to be a directing license , so that ed burns can have his revoked .","tehre ought to be a directing license, so that ed burns can have his revoked.",negative,28,2,True,2025-08-07T10:26:49.160708
"while most films these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .","w hile most films these days @re about nothing, this film seems to be about everything that 's harry the human spirit in a relentlessly globalizing world.",negative,42,3,True,2025-08-07T10:26:49.160719
i'm going to give it a marginal thumbs up . i liked it just enough .,i'm going to give it a marginal thumbs up . i li ked it just enough.,positive,11,1,True,2025-08-07T10:26:49.160746
"clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .","clint eastwood 's blood work is a lot like a wll - made pb & j sandwich : familiar, fairly uneventful and boasting no real surprises  but still quite t@sty and inviting all the same.",positive,48,2,True,2025-08-07T10:26:49.160756
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .","1ts story about a young chinese woman, ah na, who has come to new york city to replace past tragedy with the american dream is one that any art - house moviegoer is likely to fi nd compelling.",negative,54,3,True,2025-08-07T10:26:49.160776
"one of the most plain , unimaginative romantic comedies i've ever seen .","one of the mos t plain, unimaginative romantic comedies i 've ever so seen.",positive,40,7,True,2025-08-07T10:26:49.160793
"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .","phillip noyce and a1l o f hi s actors -- as well as his cinematographer, christopher doyle -- understand the delicate forcefulness of greene 's pr ose, and it 's tere on the screen Indiana their version of the qiet american.",positive,99,12,True,2025-08-07T10:26:49.160815
the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .,the trnasporter bomabrds the vewer with so may explosions an d side snap kicks that it ends up being surprisingly d ull.,negative,75,11,True,2025-08-07T10:26:49.160836
it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it 's lazy for a mvie to debar soving one job by try to distract us with the solution to anothr.,negative,89,15,True,2025-08-07T10:26:49.160849
"me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects .","ne no lika da accents so good, but i thoroughly 3njoyed the love story. scott baio is turning in some delightful work on indie projects .",positive,29,2,True,2025-08-07T10:26:49.160873
"short and sweet , but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations .","short and sweet, but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations.",positive,28,1,True,2025-08-07T10:26:49.160888
alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .,alarms for duvall 's throbbimg sincerity and his elderly propensity for ptting people while he talks.,negative,27,2,True,2025-08-07T10:26:49.160909
martyr gets royally screwed and comes back for more .,martyr gets royally scerwed and c0mes back for more.,negative,33,5,True,2025-08-07T10:26:49.160927
