original_text,adversarial_text,original_label,attack_sucessful
"hi. 

wow. you are such a geek. bullshit mother fucker.",h i. wow. y ou @re sch @ ge ek. bullsit moth er fucer.,1,False
"""

Bektashi
I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so.""""  That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is.  If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article.  However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair.  Happy editing to you too. """,""" Bektashi I suspect you start all y our messages with offensive accusations like """"I suspect you're @ sok puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right @nd is not in line with this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the roe of jokes, and including one joke, would seem fair. Happy editing to you to o. """,1,True
Stop deleting my edits. I live in Stoufville and it is located on Bison Park Drive. You're ridiculous.,Stop dleting my eits. I liv e in Stoufville and it is l ocated on Biso n Park Dr ive. Your'e ridiclous.,1,True
I'd like to thank all of the little people that sucked me off standing at full height.  This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,I'd like to thank all of the little people that sucke d me off standing at full height . This really motivated me to go all the way with my obsession with Californ ia Highway s and complete my jour ney to the f ag side.,1,True
"Hey 

you can suck on my sack for protecting",Hey you can suc k on my sak for protecting,1,True
This article USED to have very reliable sources. Some idiot deleted it. (,This article USED to have very reliable sources. Some id iot deleted it. (,1,True
"""

 Speedy deletion declined: SDK carbine 
Hello Jasper Deng. I am just letting you know that I declined the speedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern: The reason given is not a valid speedy deletion criterion.  Thank you.   (Talk) """,""" Speey deletion declined: SDK carbine Hell o Jaspe r Den g. I am just letting you know th@t I declined the spee dy deletion of S DK carbine, a page you tagged for spee dy deletion, because of the following concern: The reason given is not @ valid spedy deletion criterion. Thank you. (Talk) """,0,True
"queer 

why are you a faggot?",qeer why are y0u @ faggto?,1,False
Geneology is how it is spelled in publication.,Gene ology is ho w it is s pelled 1n publicaton.,0,True
Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thick skull.,Who did and left you queen of SPUI's page??? SPUI said he likes v andalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thic k skull.,1,True
"Do it Our Way (Play) 

Bruv... fuck off, I bought the flat, back in January and I've only edited on here as I see fit, so I dunno how I've abused multiple accounts and I don't think you're an idiot, I know you are a 24 carat idiot, look at the edit history on Do it Our Way it originally said it was R&B;/pop so if you don't believe me, you got eyes use 'em and I'll expect an apology! 86.182.64.127","Do it Our Way (P lay) Bruv... fu ck 0ff, I bouht the fl at, back in Januar y and I've only ed ited 0n here as I see ft, so I dunno how I've ab used mul tiple accoutns and I don 't think yo're @n 1diot, I know you a re a 24 carat iidot, look at the edt histor y 0n Do it Ou r Way it originally sa id it was R&B;/po p so if you don't belivee m3, you got eyes use ' em an d I'll expect an apology! 861.82.64.127",1,False
Please rather than rely on your summarization may we please restore the articles so we can all look at them together and continue this discussion on the talk page? Thank you in advance.,P1ease rather than rely on your summariza tion ma y we p1ease restoe the ar ticles so we can all look @t t hem together and continue this discussin on the tal k p@ge? T hank you in adance.,0,True
"think you are a double headed breast!!!!!!!!!!!11111
i am t3h l337 , i love your porn sites!!! ftw love j + s  <3","thnik y0u a re @ doubl e headd breast!!!!!!!!!!!1111 1 1 am t 3h l 337 , 1 love y0ur prn si tes!!! ftw love j + $ <3",1,True
"""

Great
Go and die painfully you foul mouthed sanctimonious moron. The road to hell is paved with """"good intentions"""". Roast slowly...""",""" Geat Go @nd di e panfully y ou fol mo uthed snctimonious m oron. The ro ad to h3ll 1s pa ved wth "" ""good intentions """". Rost slowly...""",1,True
"Man 

1. Get a life

2. Read what I wrote it explains it.

3. chetniks anti-Nazis? Now you shown you´re real face, don´t wright to me anymore I won´t respond and you can call it childish or wtf you want but I don´t want to waste my breath on Nazi sympatitors.
I won´t read what you say anymore I´l laf my ass of if it sais I got new messages.
NOT Peace","M@n 1. Get a lfe 2. Read what I wro te it explains it. 3. chetniks anti-Nazs? N0w y ou shon yuo´re real fa ce, do´t wright to me a nymore I wo´nt respond @nd you can call it childish or wtf you want but I d on´t want to waste my br eath on Nazi sympaitors. I won´ t read what you say anymore I´l laf my ass of if it sais I got new messa ges. N OT Peace",1,False
"Come on man, don't be a prick94.195.251.61","Come on man, don' t be a prick94.195.251.61",1,True
"Wow. 

Omg okay so i just made this really long page and you deleted it. thanks, BIOTCHHHHH. geez. stop deleting my things or else i'll sue you, faaaagggggggg.  

stop deleting my things or i'll find you. and i'll kill you. kill. kill. kill .","Ww. Om g okay so 1 just made this really long page and you de leted it. thanks, BIOTCHHHHH. geez. stop deletin g my things or else i'll s ue you, faaaagggggggg. stop del eting my things or i'll find you. and i'll kll you. k1ll. kll. k1ll .",1,True
"You just fucked with the wrong dude 

You messed with the real law now and you fucked up175.38.160.39",You just fucke d with the wrong due You mesed with the re al law now and you fukced up175.38.160.39,1,True
wiki sucks ass. from admin,wiki suc ks as. from admin,1,True
"""

You learn, now other admins are involve, you see, i am editor and doing edit, you want unsource unverifiable information for wikipedia, i am not so you get mad, is not my problem.

from one admin top another in response for ISpy board admin post:

""""How in the world can one be a sock puppet of the other, when a sock puppet, by definition, is """"an additional username used by a Wikipedian who edits under more than one name""""? In this case, there isn't even one username, let alone two? What's more, there's no evidence provided of any attempts to avoid a ban or other disciplinary action, nor an attempt to increase the perceived support for any particular campaign. In short, there is no sockpuppet there.
By the way, even if they're the same person, there's not even any reason to assume that they're trying to appear under a different IP address. They're both simply coming from Road Runner accounts. It's my understanding that Road Runner assigns dynamic IP addresses, no?  """"""",""" You learn, now other admins are involve, you see, i am editor and doing edit, you want unsou rce unverifiable information for wikipedia, i am not so you get mad, is not my problem. from one admin top another in response for ISpy board admin post: """"How in the world can one be a sock puppet of the other, when a so ck puppet, by definition, is """"an addi tional username used by a Wikipedian who edits under more than one name""""? In this case, there isn't even o ne username, let alone two? What's more, there's no evidence provided of any attempts to avoid a ban or other disciplinary action, nor an attempt to increase the perceived support for any particular campaign. In short, there is no sockpuppet there. By the way, even if they're the same person, there's not even any reason to assume that they're trying to appear under a different IP address. They're both simply coming from Road Runner accounts. It's my understanding that Road Runner assigns dynamic IP addresses, no? """"""",0,True
"""

Very good point, most of these so called """"papers"""" from last century are basically worthless because they are so out of touch with today's computing environment.  I find the examples from the """"forbidden website"""" most interesting because of the resolution and color depth are much closer to what is actually be used these days.  """,""" Very good point, most of these so calld """"papers"""" from 1ast century are basically worthless because they are so out of touch with t oday's computin g environment. I find the examples from the """"forbidden website"""" most interesting because of t he resolution an d colo r depth are much closer to what is actually be used these days. """,0,True
"|small = 
|living = No
|class = Stub
|priority = Low
|core = 
|attention = 
|past-collaboration = 
|peer-review = 
|old-peer-review = 
|needs-infobox = 
|needs-persondata = 
|activepol = 
|a&e-work-group; = 
|politician-work-group = 
|british-royalty = 
|royalty-work-group = 
|military-work-group = 
|sports-work-group = 
|s&a-work-group; = 
|musician-work-group = 
|peerage-work-group = 
|baronets-work-group =
|filmbio-work-group = 
|non-bio = 
|removal = 
|listas = 
|needs-photo = 
|auto =",|small = |living = No |class = Stub |priority = Low |core = |attention = |past-collaboration = |peer-review = |old-peer-review = |needs-infobox = |needs-persondata = |activepol = |a&e-work-group; = |politician-work-group = |british-royalty = |royalty-work-group = |military-work-group = |sports-work-group = |s&a-work-group; = |musician-work-group = |peerage-work-group = |baronets-work-group = |filmbio-work-group = |non-bio = |removal = |listas = |needs-photo = |auto =,0,False
"Expats locked out. kycMap link 

http://kycmap.com/ link I hope is ok to add. 

Useful info here:
https://bitcointalk.org/index.php?topic=454795.0

Need more info on problems it causes. Particularly to emmigrants (expats) who cannot provide proof of residency in any country. Has this led to an increase in the unbanked? 

  jago25_98",Expats lo cked out. kycMap link htp://kycmap.com/ link I hoe is ok to add. Useful info her e: https://bitcointalk.org/index.php?topic=454795.0 Need mo re info 0n probelms 1t causes. Particularly t0 emmigrants (expats) who cannot pr ovide proof 0f residency in any country. Has this led to an increase in the unbank ed? jago25_98,0,True
"""

The question of whether EM radiation can be treated as a classical EM wave or as a collection of photons is entirely dependent upon whether the number of photons collected in a measurment is large or small. If its large, then the classical treatment (i.e. spectral radiance over infinitesimal frequency bands ) will apply. Planck's law as stated in the article, calls  a spectral radiance, which immediately implies a classical EM wave, no reference needed.  Photonic emission is for any EM radiation where the number of photons collected is small, including Planck's law in certain cases. """"Broadband"""" means the radiation is spread out over a relatively wide bandwidth, """"narrowband"""" means it is not. Broadband is not necessarily photonic, nor is narrowband necessarily classical EM. Its not a matter of how spread out the radiation is, its a matter of how many photons are collected in a measurement. Broadband can be classical EM if many photons are collected, narrowband can be photonic if only a few are collected.   

""",""" Th3 question of whet her EM radiation can b3 treated @s a classial EM wa ve or as a collection 0f photons is entire ly deendent upon whether th e number of phot ons collected 1n a measurment 1s lrge or small. If i ts large, then t he classiacl teatment (1.e. spectral radiance over infinites imal freuency bnds ) wi ll apply. Pla nck's law as stated in th3 @rticle, c@lls a spectral radiance, which immediately implie s a classi cal EM w@ve, no reference needed. Photonic emission is f or a ny EM radiation where th e number of photns collected is small , including Planck 's law in certai n caes. """"Broadband"""" means t he radiation is spread out over a relatively wide bandwidth, """"narrowband"""" means it is not. Broadband is not necessarily photonic, nor is narrowband necessarily classical EM. Its not a matter of how spread out the radiation is, its a matter of how many photons are collected in a measurement. Broadband can be classical EM if many photons are collected, narrowband can be photonic if only a few are collected. """,0,True
"Yes, there are good articles on Islamic fundamentalist, Islam as a political movement and militant Islam, and a stub on Islamic parties, which describe the issues in more depth.  There is or was also an article on Islamism which presents a biased Wikipedia:USPOV that is only widely held in the US and Israel.  

The demographic information doesn't belong here but in Islamic World.","Yes, there are goo d a rticles 0n I slamic fundamentalit, I slam as a pol itical mvement and mlitant I$lam, and a stu b 0n I$lamic paries, which describe the 1ssues in more deth. There is or was also an article on I slamism which presents a bi ased Wikipedia:U SPOV that is only widely hld in the US an d Israel. T he demographic iformation desn't belo ng here but in Islamic W0rld.",0,True
"why was i blocked, cock suckers?","why was i blocked , cok scukers?",1,True
Ofcourse there is! But this page is for public transport not general transport.,Ofcourse ther e 1s! B ut th is p@ge is fo r publc transp ort n ot g eneral tr ansport.,0,True
"you are gay 

faggot, trying to block my ass, I'M BEHIND SEVEN PROXIES!","you are g@y faggto, trying to block my as, I'M BEHIND SEVEN PROXIES!",1,True
"ROTFLMAO!!!

This is a fucking riot!!!!",ROTFLMAO!!! This is a fuck1ng riot!!!!,1,True
"Please read the entire section, and see how primary sources can be properly used. There is no need to insistently defend this poor review. Please see Wikipedia:Good article criteria for the proper GA criteria.","Please read the entire sectio n, and see how primary so urces can be properly used. There is no need to insistently defend this poo r review. Please see Wikipedia:Good article criteria f or the proper GA crteria.",0,True
"Not about yourself 

Please read WP:AUTOBIO (and for good luck, read WP:RS as well...)","Not about yourslef Ple ase read WP:AUTOBI O (and for good luck, r ead W:PRS @s wll...)",0,True
HAHAHA! GNAA WILL SCREW YOUR ASSES ALL THE WAY TO HELL. VANDALS RULE,HHAHA! GNAA WILL S CREW YOR ASSE S ALL THE WAY TO H ELL. VA NDALS RULE,1,True
"Is something wrong with you, you piece of shit? Are you even looking at the edits that you're reverting?","Is something wrong with you, you piece of s hit? Are you even looking at the edits that you're reverting?",1,True
"cheers 
die in a fire, fianna failure","cheers d ie in a fire, fianna failure",1,True
"My blocks 
LOL You mudsharking nigger lovers are idiots, I'm on a Dynamic IP 76.110.175.48   '''And","My blocks LOL You mudsharking n1gger lovers are idits, I'm on a Dynamic IP 76.110.175.48 '''And",1,True
"fire department alert 

We're having trouble tonight with a vandal, see Wikipedia:Block log. Some suspect it is the same user as  08:13, 10 Mar 2004 (UTC)","fire deparment aert We're h aving tro uble tonig ht with a vanda l, see Wik ipedia:Block lo g. S ome s uspect 1t is the same user @s 08:13, 10 M@r 2 004 (TUC)",0,True
"! 

Shut your mouth! Dont tell me to be civil because I am done here. I will not log back into this site again or contribute to it again. Everybody here wants to act like a jackass thats fine, because I dont have to tolerate it.","! S hut y0ur mouh! Dont tell me to b3 civil becase I am done here . I will no t log back into t his site again or contribute to it again. Everybody here wants to act like @ jackss thats fine, becasue I dont have to tolerate it.",1,True
"Support.  Authorised artwork uses all sorts of styling, as if styling doesn't matter.  There is no indication that capitalised Like has any significance.  Titling policy doesn't mandate following source styling.  By default, follow the MOS.","Sup port. Authorised artwor k uses all sorts of st yling, as if st yling doesn't matter. There is no indication that c@pitalised Like has any s ignificance. Titli ng polcy doesn' t mand ate following so urce st yling. By d efault, follw th e MO.",0,False
"Igor Rakočević
 Two more.",Igr Rakočević Tw o more.,0,True
What makes you think that I care about anything such an obviously unhinged person has to say about ducks or expressos or socks or anything else? Leave me alone. 193.109.199.35,What makes you think that I care about anything such an obviously unhinged person has to say about ducks or expressos or so cks or anything else? Leave me alone. 193.109.199.35,1,True
"Hey simon 

Im completely done with Wikipedia. Im tired of the shit Ive gone through on this site
so Fuck All Of You

block me  
you know your going to so I wont fight it 

Im friends with Sinofdreams he goes to my college we have the same IP address
but Wikipedia knows all so Block Me",Hey simon Im completely done with Wikipedia. Im tired of the $hit Ive gone through on this site so Fu ck All Of You bloc k me you know y0ur ging to $o I wnt fi ght it Im friends with Sinofdreams he goes to my col lege we have the same IP address bu t Wikiedia knows all so Block Me,1,False
You are one goddamn ugly son of a bitch.,You are one goddan uly so n of a bitc h.,1,True
"""

Yes, there's some good stuff going on with The Beatles articles, not least resulting from your own dedicated and prolific work. It seemed a few feathers were ruffled by my moderately spectacular debut on the Talk page, what with the famous """"The"""" closely followed by the merger/split disagreements, but I then saw from the Talk archives that in fact the disturbances I stirred up pale into insignificance compared with actually quite a lot of what's gone before! I have to say I was very impressed that although a small number of the responses I got were perhaps merely provocative, much of what people said was very civil, intelligent and reasonable, and continued to be so despite my minority of about one! Anyway, that's history, but as you say, the improvements currently being made on Beatles articles are very encouraging, and it's great to be working on them with such people.   

""",""" Yes, there's some good stuff going on with T he Bea tles articles, not lest resulting f rom your own dedicated a nd prolific work. It seemed a f ew feathe rs were ruf fled by my moderately sp ectacular debut on the T alk page, what with the famous """"The"""" closely fo llowed by th e merger/split disagreemets, but I then saw from the Talk arhives that in fact the distubances I stir red up p@le into insignifica nce compare d with actually quite a lot of what's gone before! I have to say I was very impressed that although a small number of the respons es I got wer e perhaps merely provo cative, much of what people said was very civil, intelligent and reasonable, and continued to be so despite my minority of about one! Anyway, that's history, but as you say, the improvements currently being made on Beatles articles are very encouraging, and it's great to be working on them with such people. """,0,True
"record ==

Is it the largest US mil single loss of life since the Beirut barracks bombing?93.137.145.142  

i believe there was a non-hostile helicopter crash in Iraq in early '06 that killed 31.  i do believe it is the single largest hostile loss of life for our military since Beirut though.
User:24.45.235.158 2:25, 7 August 2011

There has been no indication that this helicopter was an aviation asset of the 160th SOAR.
  

==","record == Is it th e largest US mil sigle loss of life since the B eirut barrac ks bombing?93.137.145.142 i believe there w@s a non-hostile helicopter crash 1n Iraq in ea rly '06 th@t killed 31. i do belive it is the single largest hostile loss of life fo r o ur military since Beirut though. U$er:24.45.235.158 2:25, 7 August 201 There has been no indication that this helicopter was an aviation asset of the 160th SOAR. ==",0,True
"""
""""stupid""""? I'm so glad that Wikipedia is not biased.  """,""" """"stupid""""? I'm so glad that Wikipdia is not biased. """,1,False
"Just be quiet. 

Who the fuck are you to tell me what to do? I will post what I want, where I want, and if you don't like it, you can get cancer and die.","Just be qui et. Wh0 the f uck are you to tel m3 wh at t0 d0? I wll po st w hat I wa nt, were I wan t, and if y0u do n't 1ike it , y0u can g3t c@ncer and di.",1,False
"what o you do all day just sit around and wait for people to edit the page? lol at you being the one that deleted the renato laranja page too, unbelievable. stop trolling and get a life you nazi. im gonna change it whenever i want and there isnt a dam thing you can do about it.","what 0 you do all day just sit around and wait for people to edit the pag? lo l at you being the one that d eleted the renato laranja pa ge too, unbelievable. stop tro lling and get a life you na zi. 1m gnona change it whenever i want and there isnt a d@m thing you can do about it.",1,True
"lots of weasel-words 

see above",lots of weasel-ords s ee above,0,True
piss off you son of a bitch,pss off you so n of a bit ch,1,True
"WTF

What are you talking about the last edit being vandalism? 129.78.220.7",WTF What are you talking about the last edit being v@ndalism? 129.78.220.7,1,True
Smarojit Chakravarty I know your Facebook profile you are sitting with your son who is also a he/she. You are a she who likes to have sex with all Wikipedia's male administrators including smalljim. From your enemy Mridul Sharma who wants to find you and make you wear vidya balans clothes and will make you dance on ola ola ola. This is truth smarojit I know you are a she and wants have sex with  Wikipedia male admins.,Smarojit Chakravarty I know yur Fac ebook p rofile y0u a re siting with y0ur $on who is also @ h3/she. You @re @ she wh0 lkes to have sex w ith all Wikipedia's male admini strators incuding smaljim. From your ene my Mridl Sharma wh o wan ts to find y0u an d make you wear vidy a balans clothes a nd will make you dance 0n o la ola ola. This is truth smaojit I know you @re @ she and wants have s ex with Wikipedia m ale ad mins.,1,False
"Not trying to offend, I just meant use footnote/reflist 'machinery' moving forward.  FYI: I looked in Howarth's book, but I don't find that term.  I see it all the time in DOANFS-based articles.","Not t rying to of fend, I just meant u$e f ootnote/reflist 'mac hinery' moving frward. F YI: I l ooked 1n Howarth's book, bu t I dont f ind that term. I $ee it all the time in DOANFS-based articles.",0,True
haha that was great!! -,h@ha that was gr eat!! -,0,True
"other people's
Gosh you can't even speak English which you claim to be your mother tongue. Puh-lease.",other people's Gosh you c@n't even speak En glish which you claim to be your mther tngue. Puh-lease.,1,True
"""

Taking into account your a sock to you claimed your not """"anti"""" Pakistani and then you go around creating rubbish articles for retaliatory purposes such as azad kashmir so called rights abuses you brough this onto yourself I do not care about this 6 month crap no more I waited over a year in 2010 and I am not going to let your foul ill intentions ruin wikipedia lol taking into account your hissy fits your more of a bitch than I though you are   """,""" Taking in to acount y0ur @ sck to you climed yur not ""anti"""" Pakistani and then you go around cre ating rbbish articles for retaliatory purposes such as @zad kashmir so cal led ri ghts abuses you brough this onto yourself I do no t care about this 6 month crap no more I w aited over a year 1n 2010 @nd I am not going to l et y0ur foul ill intentions ruin wiki pedia lol taking into account y0ur hissy fits your more of @ btch th an I though you are """,1,False
