original_text,adversarial_text,original_label,requests_used,training_requests_used,num_perturbed,attack_successful,timestamp
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally suspicious, always very col0rful and enjoyably portentous in the traditional almodóvar style.",positive,13,741,3,True,2025-08-12T00:13:22.651853
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becomes the last t hing you would expect from a moving picture with this titel or indeed from any plymton film : boring.,negative,20,741,4,False,2025-08-12T00:13:22.651889
"sodden and glum , even in those moments where it's supposed to feel funny and light .","sodd3n and gum, even in those moments where it 's supposed to feel funny and light.",negative,8,741,2,True,2025-08-12T00:13:22.651904
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some moives were made for the big screen, some for the small screen, and some, like ballistic : ecks vs. sever , were made for the palm screen .",negative,5,741,1,True,2025-08-12T00:13:22.651916
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .",negative,14,741,0,False,2025-08-12T00:13:22.651931
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a ache, nuanced loo k at d e sade and what might have happened at picpus, sade is your film.",positive,11,741,3,True,2025-08-12T00:13:22.651946
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's hard to believe that a relatonship like holly and marian 's could survive the indoor garden emoti0ns of teendom, and its longevity gets more inexplicable as the characterizations turn more crassly reductive.",negative,20,741,4,False,2025-08-12T00:13:22.651959
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,Fri after next is the genial of film that could only be made by african - americans because of its broad racial insensitivity towards african - americans.,negative,8,741,2,True,2025-08-12T00:13:22.651977
the worst film of the year .,th e w orst fi lm of the ye ar.,negative,11,741,4,True,2025-08-12T00:13:22.651992
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me fel unclean, and i 'm the guy who liked there 's something about mary and both american pie movies. oh , and booty call .",negative,5,741,1,True,2025-08-12T00:13:22.652000
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced porrait of a young woman 's breakdown, the film nevertheless works up a few scares.",positive,3,741,1,True,2025-08-12T00:13:22.652014
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this set about off with a 1950 's dorsi d ay fel and it gets very ugly, very fast. the first five minutes will have you talking 'til the end of the year !",negative,14,741,4,True,2025-08-12T00:13:22.652026
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville show than well - constructed narrative, but on those damage it 's inoffensive and actually rather swe et.",positive,15,741,2,True,2025-08-12T00:13:22.652040
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' c q may one day be fondly remembered as roman coppola 's brief pretentious period before going on to other films that actually tell a story worth caring about,negative,3,741,1,True,2025-08-12T00:13:22.652053
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirational screenplay by m ike rich cvers a l ot of gound, perhaps too much, but ties things together, neatly, by the end.",positive,19,741,4,False,2025-08-12T00:13:22.652068
it's probably worth catching solely on its visual merits . if only it had the story to match .,it 's probably worh catching solely on its visual merits. if only it had the story to match .,positive,5,741,1,True,2025-08-12T00:13:22.652082
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fairy - t ale forula, serve as a pa per skeleton for some very good acting, dialogue, comedy, direction and especially charm.",positive,23,741,4,False,2025-08-12T00:13:22.652093
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the coloration smell out of sturat little 2 is its most immedite and most obvious pleasure, but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is.",positive,16,741,4,True,2025-08-12T00:13:22.652107
the most surprising thing about this film is that they are actually releasing it into theaters .,the most surrising affair about this filn is that they are actually releasing it into theaters.,positive,12,741,3,True,2025-08-12T00:13:22.652125
a fan film that for the uninitiated plays better on video with the sound turned down .,a devotee film that for the uninitiated take on better on video with the sound turned down.,negative,12,741,2,True,2025-08-12T00:13:22.652137
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requires a clear snese of purpose, and in that oh - so - important category, the four feathers comes up short.",positive,5,741,1,True,2025-08-12T00:13:22.652148
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",error,error,0,0,False,2025-08-12T00:13:22.652161
cho's timing is priceless .,cho 's timing is pr1celess.,positive,10,741,1,False,2025-08-12T00:13:22.652171
. . . a lesson in prehistoric hilarity .,error,error,0,0,False,2025-08-12T00:13:22.652179
"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is a good script, good dialogue, funny evem for adults. the char@cters are interesting and often ver y creatively constructed from fgiure to backstory. the f ilm will ply equally well on both the stanard and g iant screns.",positive,52,741,9,False,2025-08-12T00:13:22.652187
an almost unbearably morbid love story .,an almost unbearably pathologic love story.,positive,5,741,1,True,2025-08-12T00:13:22.652206
