original_text,adversarial_text,original_label,num_perturbed,attack_sucessful
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally f unny , always ve ry colorful and enjoya bly overblown in th3 traditional almodóvar style .",1,4,True
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,beco mes the finish thing you would expect from a plastic film with this titl e 0r indeed from @ny plympton film : boring .,0,10,True
"sodden and glum , even in those moments where it's supposed to feel funny and light .","sdden and g lum , even in those moments wh ere it's supposed to tone funny and light .",0,5,True
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some m ovies we re made for the b ig scren , some for th e smal screen , and s ome , the likes of ballitic : ecks vs . sever , were made for the palm screen .",0,12,True
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","its not only d ull because we've seen [ eddie] murphy do the genial-rogue sht ick to death , but because the plo t is equally h@ckneyed .",0,8,True
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you're looking for a $mart , nuanced appear @t First State sade and what might have h@ppened at p icpus , s ade 1s your film .",1,10,True
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","its concentrated to bel ieve that vitamin A reltionship like holy and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the ch aracterizations tur n Thomas More cassly reductive .",0,17,True
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,fri day after next is the kind of fim that could only be made by African-American bec ause of its broad racial insenitivity towards african-americans .,1,6,True
the worst film of the year .,the worst f ilm of the year .,0,1,True
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me feel unclean , and i'm the guy who liked there's something about mary and both american p ie movies . oh , and booty call .",1,1,True
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanc ed por trait of a youg woman's breakdown , t he film nevertheless works up a few scares .",1,4,True
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950's doris day feel and it gets very uly , ver y fast . the first five minutes will have you talking 'til the end of the year !",0,3,True
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more v@udeville show than well-constructed narrative , but on those terms its inoffenive and actually rather sweet .",0,4,True
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,'cq may one day be fondly remembered as r oman coppola's brief pretentio us period before going on to other cinema that actually tell a story worth caring about,0,4,True
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirational screenlay by mike ri ch covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .",1,2,True
it's probably worth catching solely on its visual merits . if only it had the story to match .,it 's probably worth catching solely on its v isual merits . if only information technology had th3 story to match .,0,5,True
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fairy-tale formula , serves as a pa per skeleton for some very good acting , d ialogue , comedy , direction and especially charm .",0,3,True
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the col or sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't a beautiully shaped and as deliately calibrated in tone as it is .",1,6,True
the most surprising thing about this film is that they are actually releasing it into theaters .,the most surprising thing abut this film is that the y are actually put out it into theaters .,0,6,True
a fan film that for the uninitiated plays better on video with the sound turned down .,a fan film that for the uninitiated plays better on vi deo with the soun d turned down .,0,4,True
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four fea thers comes up short .",0,1,True
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . an otherwise intense , twist-and-turn thriller that certainly s houldn't h urt talented young gaghan's resume .",0,3,True
cho's timing is priceless .,cho's tim ing is pric eless .,1,2,True
. . . a lesson in prehistoric hilarity .,. . . a object lesson in prehistoric hilarity .,1,4,False
"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is a good script , good dialogue , funny even for aults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .",1,2,True
an almost unbearably morbid love story .,an almost unbe arably morbid love story .,0,2,True
if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,if you grew up on scooby -- you'll love thi s movie . matthew lillard is born to play shaggy !,0,3,True
"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as conceived by mr . scheffer , St. Christopher and grace are little more than coll ections 0f quir ky traits lifted from @ screenwriter's outline and t hrown atomic number 85 actors charged with the impossible task of bring in them jell .",0,14,True
"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","d0 not , under an y circumstances , consider takin g @ child younger tha n mddle school age to this wallow 1n crude humor .",0,9,True
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depicts the sorriest and most sordid of hum an behavi or on the scre en , then laughs at how cleve r it's being .",1,4,True
"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","alex nohe's documen tary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .",1,3,True
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","a beau tiful , timeless a nd univ ersal tale 0f heated up pasions -- je alousy , be trayal , forgiveness and murder .",1,10,True
ya-yas everywhere will forgive the flaws and love the film .,ya-ys everywhre wll forgive t he flaws @nd l ove the film .,1,9,True
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watching the pwerpuff girls m ovie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .",1,2,True
"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","austin powers in gldmember is a cinemat ic ca r wreck , a catastrophic collision of tastelessness and gall that nevertheless will go out fans clamoring for another ride .",1,4,True
"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[ga] comes closer to any actress i can remember to personifying indepen dence in its pures t and , yes , most intimidating form .",1,4,True
the pool drowned me in boredom .,the pol drowne d m3 in boredo m .,0,4,True
"the tone is balanced , reflective and reasonable .","the ton e is balanc ed , reflectve @nd reasonable .",1,6,True
brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness .,brings an irresistib le blen d of w armth and h umor and a consisten t emb racing hum@nity in the f ace of life's harshness .,1,8,True
