original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
hi. wow. you are such a geek. bullshit mother fucker.,hi. wow. you are such a geek. bullshit mother fucker.,POSITIVE,52,10,False
""" Bektashi I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you too. """,""" Bektashi I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verb@tim, then it v1olates copy - right and is not in lie wth this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you too. """,NEGATIVE,67,8,True
Stop deleting my edits. I live in Stoufville and it is located on Bison Park Drive. You're ridiculous.,S top delteing my edist. I live in Stoufville and it is located on Bison Park Drive. You 'r e ridciulous.,NEGATIVE,52,9,False
I'd like to thank all of the little people that sucked me off standing at full height. This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,I 'd wish to tha nk a ll of th3 l1ttle people tht sucked Pine Tree State off standing at full height. This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,POSITIVE,68,10,True
Hey you can suck on my sack for protecting,Hey you can suck on my sack f or protecting,NEGATIVE,57,9,False
This article USED to have very reliable sources. Some idiot deleted it. (,This article USED to have very reliable sources. Some idio t erase i t. (,NEGATIVE,31,5,True
""" Speedy deletion declined: SDK carbine Hello Jasper Deng. I am just letting you know that I declined the speedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern: The reason given is not a valid speedy deletion criterion. Thank you. (Talk) """,""" Speedy deletion declined: SDK carbine Hello Jasper Deng. I am just now letting you kow that I declined the speedy deleton of SD K carbine, a page you tail for speedy del3tion, becaues of the stick with concern : The reason given i s n0t a valid speedy deleion criterion. Thank you. (Talk) """,NEGATIVE,136,21,True
queer why are you a faggot?,funny why are you a faggot?,NEGATIVE,15,1,True
Geneology is how it is spelled in publication.,Geneology is how information technology is spell in publication.,NEGATIVE,43,7,True
Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thick skull.,Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I 'm n ot sur e ho w many different ways saying it will will exist required to beget it through your thick skull.,NEGATIVE,58,7,True
