original_text,adversarial_text,original_label,attack_sucessful
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally f unny , always vry colorful @nd enjoya bly overblown in th3 traditional almodóvar style .",1,True
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becoes the lst thng you woud expet from a f ilm wih this tile 0r indeed from @ny plymton film : boring .,0,False
"sodden and glum , even in those moments where it's supposed to feel funny and light .","soden and g1um , even in those moments where it's supposed to feel funny and light .",0,True
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movie s we re made for the big screen , some for the small screen , and sme , like ballistic : ecks vs . sever , were made for the palm screen .",0,True
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it' s not ony du ll because we've seen [eddie] muphy d0 the genial-rgue shtick t0 death , but because the plot is equally hackne yed .",0,True
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if yu're l ooking f or a $mart , nuanced loo k @t de sade and what might hve happened at picpus , sade is your film .",1,True
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","i t's hrd to believe that a relations hip like holy and marina's could survive the hothouse emtions of teendom , and its l ongevity gets more inexplicable as the characterizations turn more crassly reductive .",0,True
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,fiday aftr nxt is the kind of film that could only be made by @frican-americans bceause of its broad racial insenstivity towards african-am ericans .,0,True
the worst film of the year .,the w orst film of the year .,0,True
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me feel unclean , and i'm the guy who liked there's something @bout mary and both american pie movie s . oh , and booty call .",0,True
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuan ced portra it of a young woman's breakdown , t he film nevertheless works up a few scares .",1,True
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950's doris day feel and it gets very ug ly , very fast . the first five minutes will have you talking 'til the end of the year !",0,True
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville $how than well-constructed narrative , but on those terms it's inoffensive and actually rath er swe et .",0,True
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,'cq may one day be fondly remembered as rom an coppola's brief pr etentious period before going on to other films that actually tell a story worth caring about,0,True
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirationa l screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .",1,True
it's probably worth catching solely on its visual merits . if only it had the story to match .,i's pobably worth cathing slely 0n its vsual meits . 1f oly 1t had th3 stry to match .,0,False
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fairy-tale form ula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .",1,True
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the col or sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .",0,True
the most surprising thing about this film is that they are actually releasing it into theaters .,the most surprising thing about this fim is that they are actually releasing it into teaters .,1,True
a fan film that for the uninitiated plays better on video with the sound turned down .,a f@n film that for the uninitiated plays better on video with the sound turned down .,0,True
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requir es a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .",1,True
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . @n otherwise intense , twist-and-turn thriller that crtainly shoul dn't hurt talented young gaghan's resume .",1,True
cho's timing is priceless .,cho's timing 1s pri celess .,1,True
. . . a lesson in prehistoric hilarity .,. . . a lessn in prehistoric hilarity .,1,False
"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is @ good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .",1,True
an almost unbearably morbid love story .,an almost unbearably m orbid love story .,1,True
if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,if you grew up on scooby -- you'll love t his movie . matthew lillard is born to play shaggy !,0,True
"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as concei ved by mr . schaeffer , christopher and grace are little more than collections 0f quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .",0,True
"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","d0 not , under @ny circumstances , consider t@king a child younger than middle school ag e to this wallow in crude humor .",0,True
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depict s the sorriest and most sordid of human beha vior on the screen , then laughs @t how cle ver it's being .",1,True
"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","alex nohe's documentar y plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .",1,True
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","a be autiful , timless @nd universl tale 0f hated p assions -- jalousy , berayal , forgiveness and murder .",1,True
ya-yas everywhere will forgive the flaws and love the film .,yay-as everywhere will forgive the flaws and love the film .,0,True
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watching the powerpuff girls movi e , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .",0,True
"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","aus tin powes in goldmemb er is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .",1,True
