original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funny, always very colorul and enoyably overblown in the traditional almodóvar style.",positive,25,2,True,2025-08-07T00:06:38.468637
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becomes the last thing you would expect from a film with this title or indeed from any plympton picture show : bring.,negative,35,2,True,2025-08-07T00:06:38.468670
"sodden and glum , even in those moments where it's supposed to feel funny and light .","sodden and glun, even in those moments where it 's supposed to fel funny and light.",negative,28,2,True,2025-08-07T00:06:38.468696
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies were made for the big screen, some for the small screen, and some, like ballistic : ec ks vs. sever , were made for the palm screen .",negative,29,1,True,2025-08-07T00:06:38.468716
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it 's not only d ull because we 've seen [ eddie ] murphy do the genial - rogue stick to death, but because the pl ot is evenly hacneyed.",negative,64,7,True,2025-08-07T00:06:38.468754
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a smart, nuanced look at de sade and what might have happened at picpus, sad e is your film.",positive,35,2,True,2025-08-07T00:06:38.468768
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's hard to believe that a relationship like holly and marina 's could survive the hothouse emotions of teendom, and its longevity gets more inexplicable as the characterizations turn to a greater extent crassly redutive.",negative,48,2,True,2025-08-07T00:06:38.468784
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the kind of film that could only be made by african - americans because of its broad racial inensitivity towards african - americans.,negative,33,1,True,2025-08-07T00:06:38.468810
the worst film of the year .,th e wor st filn of the year.,negative,41,7,False,2025-08-07T00:06:38.468865
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me feel unclean, and i 'm the guy who liked there 's something about mary and both american Proto-Indo European movies. oh , and booty call .",negative,33,1,True,2025-08-07T00:06:38.468872
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced portrit of a young woman 's breakdown, the film nevertheless works up a few scares.",positive,25,1,True,2025-08-07T00:06:38.468885
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950 's doris day feel and it gets very ugl y, very fast. the first five minutes will have you talking 'til the end of the year !",negative,24,1,True,2025-08-07T00:06:38.468896
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville show than well - constructed narrative, but on those terms it 's inoffensive a nd actulaly rather swete.",positive,37,3,True,2025-08-07T00:06:38.468910
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' cq may one day be fondly remembered as roman coppla 's brief pretentious period before going on to other films that actually tell a story worth caring about,negative,34,1,True,2025-08-07T00:06:38.468922
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirati0nal screenplay by mike rich covers a lot of ground, perhaps too much, but ties things togeher, netly, by the en d.",positive,46,4,True,2025-08-07T00:06:38.468947
it's probably worth catching solely on its visual merits . if only it had the story to match .,it 's probably w orth catching solely on its vi$ual merits. if only it had the story to match .,positive,29,3,True,2025-08-07T00:06:38.468959
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fairy - tale formula, serves as a paper skeleton for some vey go0d acting, dialogue, comedy, direction and especially c harm.",positive,40,4,True,2025-08-07T00:06:38.468988
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the color snse of stuart little 2 is its most immedite and most obvious pleasure, but it would count for very little if the movie were n't as beautifully shaped and as de1icately calibrated in tone as it is.",positive,56,3,True,2025-08-07T00:06:38.469001
the most surprising thing about this film is that they are actually releasing it into theaters .,the most surprising thing about this film is that they are acutally releasing it into theaters.,positive,23,1,True,2025-08-07T00:06:38.469018
a fan film that for the uninitiated plays better on video with the sound turned down .,a fan film tha t for the uninitiated plas better on video with the sound turned dow n.,negative,47,7,True,2025-08-07T00:06:38.469036
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmaking requires a clear sense of purpose, and in that oh - so - important category, the four feathers comes up short.",positive,31,1,True,2025-08-07T00:06:38.469045
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",error,error,0,0,False,2025-08-07T00:06:38.469058
cho's timing is priceless .,cho 's timing 1s pricless.,positive,35,6,False,2025-08-07T00:06:38.469067
. . . a lesson in prehistoric hilarity .,error,error,0,0,False,2025-08-07T00:06:38.469073
"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this i s a ripe script, god dialog, f unny evem f or adult$. the characters are interesting and often very creatively constructed from figure to backstory . the film wi ll play equally wel1 on both the standard and giant screens.",positive,94,16,True,2025-08-07T00:06:38.469079
an almost unbearably morbid love story .,an almot unearably morbid love sto ry.,positive,41,7,False,2025-08-07T00:06:38.469130
if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,if y ou grew up on scooby - - you 'll loe this movie. matthew lillard is born to play shaggy !,positive,34,5,True,2025-08-07T00:06:38.469144
"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as conceived by m r. schaeffer, christopher and grac3 are little more than collections of quirky traits sneak frm a film writer 's limn @nd thrown astatine actors charged with the impossible task of making them congeal.",negative,215,38,False,2025-08-07T00:06:38.469156
"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","d o non, under any circumstances, consider taking a child younger than middle school age to this wallow in crue hu mor.",negative,43,5,True,2025-08-07T00:06:38.469174
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depicts th e sorriest and most sordid of human behavior on the screen, then laughs at how clever it 's being.",negative,27,2,True,2025-08-07T00:06:38.469620
