original_text,adversarial_text,original_label,attack_sucessful
"hi. 

wow. you are such a geek. bullshit mother fucker.",h1. w0w. y0u are such a g3ek. bullshi t mother fucer.,1,True
"""

Bektashi
I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so.""""  That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is.  If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article.  However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair.  Happy editing to you too. """,""" Bektashi I suspect you start all your messages with offensive ac cusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you too. """,1,True
Stop deleting my edits. I live in Stoufville and it is located on Bison Park Drive. You're ridiculous.,Stop deleting my edits. I lve in Stoufville and it is located on Bison Park Drive. You're ridiculous.,1,True
I'd like to thank all of the little people that sucked me off standing at full height.  This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,I'd li ke to t hank all of the little people that sucked m3 off standing at full height. This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,1,True
"Hey 

you can suck on my sack for protecting",H3y you can sck on my sak for protecting,1,True
This article USED to have very reliable sources. Some idiot deleted it. (,Ths article UED to have ver y reliable so urces. Some idiot deleted it. (,0,True
"""

 Speedy deletion declined: SDK carbine 
Hello Jasper Deng. I am just letting you know that I declined the speedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern: The reason given is not a valid speedy deletion criterion.  Thank you.   (Talk) """,""" Spedy deleion declined: SDK car bine Hlelo Jaspr Dng. I @m jut lettig y0u knw tat I decined th3 spedy deleton of SDK carbine, a page y0u tagged for speedy deletion, because of the following concern: Th3 reson given is not a valid speedy deletion crierion. Thank y0u. (Talk) """,0,False
"queer 

why are you a faggot?",qu eer why are you a faggto?,1,True
Geneology is how it is spelled in publication.,Geneolog y is h ow 1t is spelled in p ublication.,0,True
Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thick skull.,Who died and left you quee n of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thick skull.,0,True
"Do it Our Way (Play) 

Bruv... fuck off, I bought the flat, back in January and I've only edited on here as I see fit, so I dunno how I've abused multiple accounts and I don't think you're an idiot, I know you are a 24 carat idiot, look at the edit history on Do it Our Way it originally said it was R&B;/pop so if you don't believe me, you got eyes use 'em and I'll expect an apology! 86.182.64.127","D0 1t Our Way (Ply) Bruv... fck 0ff, I bught the flta, back in Januay and I've 0nly editd on here @s I see fit, so I dunno how I've abused multiple accounts and I don't thnik yu're an iidot, I know you @re a 24 carat idio, look at the edit history on Do it Our Way it originally said it was R&B;/pop so if you don't believe me, you got eyes use 'em and I'll expect an apo logy! 86.182.64.127",1,True
Please rather than rely on your summarization may we please restore the articles so we can all look at them together and continue this discussion on the talk page? Thank you in advance.,Plaese r@ther t han rly 0n yor sumarization ma y we please restore the articles $o we can all look at th em together and continue this discussion on the talk page? Thank you in advance.,0,True
"think you are a double headed breast!!!!!!!!!!!11111
i am t3h l337 , i love your porn sites!!! ftw love j + s  <3","thnik you @re @ doule headd br3ast!!!!!!!!!!!11111 i am t 3h l337 , i love your p0rn sites!!! ftw lo ve j + s <3",1,True
"""

Great
Go and die painfully you foul mouthed sanctimonious moron. The road to hell is paved with """"good intentions"""". Roast slowly...""",""" Great G0 and d1e p@infully y ou fou l mouthd sancimonious mo ron. The road to hell is paved with """"good intentons"""". Roa st slowly...""",1,True
"Man 

1. Get a life

2. Read what I wrote it explains it.

3. chetniks anti-Nazis? Now you shown you´re real face, don´t wright to me anymore I won´t respond and you can call it childish or wtf you want but I don´t want to waste my breath on Nazi sympatitors.
I won´t read what you say anymore I´l laf my ass of if it sais I got new messages.
NOT Peace","Man 1. G3t @ lfe 2. Read what I wroe it ex plains it. 3. chetiks anti-Naizs? N0w y0u shwn yo´re real faec, do n´t wright t0 m3 aymore I won´t respond and you can call it childish 0r wt f y0u want but I do´nt want to waste my beath on Nazi sympatitors. I wno´t read what you say anymore I´l laf my ass of if it sais I go t new messages. NOT Peace",1,False
"Come on man, don't be a prick94.195.251.61","Come on mn, don't be a prick94.195.251.61",1,True
"Wow. 

Omg okay so i just made this really long page and you deleted it. thanks, BIOTCHHHHH. geez. stop deleting my things or else i'll sue you, faaaagggggggg.  

stop deleting my things or i'll find you. and i'll kill you. kill. kill. kill .","Ww. O mg oky so 1 just made this relaly log page and you deleed it . tanks, BIOTCHHHHH. geze. sop deleing my thigs or else i'll sue you, faaaagggggggg. stop deleting my th1ngs or i'll find you. and i'll kill you. kill. kill. kill .",1,True
"You just fucked with the wrong dude 

You messed with the real law now and you fucked up175.38.160.39",Y ou just fuced with the wrog due You messed with the real law now and you fuced up175.38.160.39,1,True
wiki sucks ass. from admin,wiki su cks as. from admin,1,True
"""

You learn, now other admins are involve, you see, i am editor and doing edit, you want unsource unverifiable information for wikipedia, i am not so you get mad, is not my problem.

from one admin top another in response for ISpy board admin post:

""""How in the world can one be a sock puppet of the other, when a sock puppet, by definition, is """"an additional username used by a Wikipedian who edits under more than one name""""? In this case, there isn't even one username, let alone two? What's more, there's no evidence provided of any attempts to avoid a ban or other disciplinary action, nor an attempt to increase the perceived support for any particular campaign. In short, there is no sockpuppet there.
By the way, even if they're the same person, there's not even any reason to assume that they're trying to appear under a different IP address. They're both simply coming from Road Runner accounts. It's my understanding that Road Runner assigns dynamic IP addresses, no?  """"""",""" You learn, now other admins are involve, you se e, i am editor and doing edit, you want unsource unverifiable information for wikipedia, i am not so you get mad, is not my problem. from one admin top another in response for ISpy board admin post: """"How in the world can one be a sock puppet of the other, when a sock puppet, by definition, is """"an additional username used by a Wikipedian who edits under more than one name""""? In this case, there isn't even one username, let alone two? What's more, there's no evidence provided of any attempts to avoid a ban or other disciplinary action, nor an attempt to increase the perceived support for any particular campaign. In short, there is no sockpuppet there. By the way, even if they're the same person, there's not even any reason to assume that they're trying to appear under a different IP address. They're both simply coming from Road Runner accounts. It's my understanding that Road Runner assigns dynamic IP addresses, no? """"""",1,True
"""

Very good point, most of these so called """"papers"""" from last century are basically worthless because they are so out of touch with today's computing environment.  I find the examples from the """"forbidden website"""" most interesting because of the resolution and color depth are much closer to what is actually be used these days.  """,""" Ver y god piont, most of thee $o clled """"papers"""" fr0m lst century are baically worthless because they are $o out of touch with today's computing environmen. I find the examples from the """"forbidden website"""" most interesting because of the resolution and color depth are much closer to what is actually be used these days. """,0,True
"|small = 
|living = No
|class = Stub
|priority = Low
|core = 
|attention = 
|past-collaboration = 
|peer-review = 
|old-peer-review = 
|needs-infobox = 
|needs-persondata = 
|activepol = 
|a&e-work-group; = 
|politician-work-group = 
|british-royalty = 
|royalty-work-group = 
|military-work-group = 
|sports-work-group = 
|s&a-work-group; = 
|musician-work-group = 
|peerage-work-group = 
|baronets-work-group =
|filmbio-work-group = 
|non-bio = 
|removal = 
|listas = 
|needs-photo = 
|auto =",|small = |living = No |class = Stub |priority = Low |core = |attention = |past-collaboration = |peer-review = |old-peer-review = |needs-infobox = |needs-persondata = |activepol = |a&e-work-group; = |politician-work-group = |british-royalty = |royalty-work-group = |military-work-group = |sports-work-group = |s&a-work-group; = |musician-work-group = |peerage-work-group = |baronets-work-group = |filmbio-work-group = |non-bio = |removal = |listas = |needs-photo = |auto =,0,False
"Expats locked out. kycMap link 

http://kycmap.com/ link I hope is ok to add. 

Useful info here:
https://bitcointalk.org/index.php?topic=454795.0

Need more info on problems it causes. Particularly to emmigrants (expats) who cannot provide proof of residency in any country. Has this led to an increase in the unbanked? 

  jago25_98",Expats locke d ou. kycMap lnk htp://kycmap.com/ link I hoe is ok t0 ad. Usful ifo her: https://bitcointalk.org/index.php?tpic=454795.0 Ned moe info on pro blems it causes. Particularly to emmigrants (expats) who cannot provide prof of residency in any country. Has this led to an increase in the unbanked? jago25_98,0,True
"""

The question of whether EM radiation can be treated as a classical EM wave or as a collection of photons is entirely dependent upon whether the number of photons collected in a measurment is large or small. If its large, then the classical treatment (i.e. spectral radiance over infinitesimal frequency bands ) will apply. Planck's law as stated in the article, calls  a spectral radiance, which immediately implies a classical EM wave, no reference needed.  Photonic emission is for any EM radiation where the number of photons collected is small, including Planck's law in certain cases. """"Broadband"""" means the radiation is spread out over a relatively wide bandwidth, """"narrowband"""" means it is not. Broadband is not necessarily photonic, nor is narrowband necessarily classical EM. Its not a matter of how spread out the radiation is, its a matter of how many photons are collected in a measurement. Broadband can be classical EM if many photons are collected, narrowband can be photonic if only a few are collected.   

""",""" Th e quesion of whet her EM r@diation can b3 treted @s a cl assical EM wve or @s a collection 0f photons is entiely dependent upon whether the number of photons collected in a measurment is large or smal. If its large, then the classicl treatment (i.e. spectral radiance over infinitesimal frequency bands ) will apply. Planck's law as stated in the article, calls a spectral radiance, whih immediately implies a classical EM wave, no reference needed. Photonic emission is f or any EM radiation where the number of photons collected is small, including Planck's law in certain cases. """"Broadband"""" means the radiation is spread out over a relatively wide bandwidth, """"narrowband"""" means it is not. Broadband is not necessarily photonic, nor is narrowband necessarily classical EM. Its not a matter of how spread out the radiation is, its a matter of how many photons are collected in a measurement. Broadband can be classical EM if many photons are collected, narrowband can be photonic if only a few are collected. """,0,True
"Yes, there are good articles on Islamic fundamentalist, Islam as a political movement and militant Islam, and a stub on Islamic parties, which describe the issues in more depth.  There is or was also an article on Islamism which presents a biased Wikipedia:USPOV that is only widely held in the US and Israel.  

The demographic information doesn't belong here but in Islamic World.","Ye s, thee are god articles on I$lamic fundamentalist, Islam as a political movement and militant Islam, and a stub on Islamic parties, which describe the issues in more depth. There is or was also an article on Islamism which presents a biased Wikipedia:USPOV that is only widely held in the US and Israel. The demographic information doesn't belong here but in Islamic World.",0,True
"why was i blocked, cock suckers?","why was i blocked, coc k suc kers?",1,True
Ofcourse there is! But this page is for public transport not general transport.,Ofourse ther e is ! Bu t ths p@ge is for public tr@nsport not general transpot.,0,True
"you are gay 

faggot, trying to block my ass, I'M BEHIND SEVEN PROXIES!","you are ga y fagogt, tr ying to block my as, I'M BEHIND SEVEN PROXIES!",1,True
"ROTFLMAO!!!

This is a fucking riot!!!!",ROTFLMAO!!! This is a fuck1ng riot!!!!,1,True
"Please read the entire section, and see how primary sources can be properly used. There is no need to insistently defend this poor review. Please see Wikipedia:Good article criteria for the proper GA criteria.","Plaese red th3 entie seciton, and $ee h0w p rimary soures ca n b3 properly u$ed. Thee is no need to insistently defend this poor review. Please see Wikipedia:Good article criteria for the proper GA criteria.",0,True
"Not about yourself 

Please read WP:AUTOBIO (and for good luck, read WP:RS as well...)","Not aout yourse lf Plese read WP:AUTOBIO (and for good lu ck, re ad WP:RS as well...)",0,True
HAHAHA! GNAA WILL SCREW YOUR ASSES ALL THE WAY TO HELL. VANDALS RULE,HHAHA! GNAA WILL SCRE W YOUR AS SES ALL THE WAY TO HE LL. VANDALS RULE,1,True
"Is something wrong with you, you piece of shit? Are you even looking at the edits that you're reverting?","Is something wrng with you, you piece of shti? Are you even looking at the edits that you're reverting?",1,True
"cheers 
die in a fire, fianna failure","che ers die in a fire, fianna failure",0,True
"My blocks 
LOL You mudsharking nigger lovers are idiots, I'm on a Dynamic IP 76.110.175.48   '''And","My blocks L OL You mudsharking niggr love rs are idiots, I'm on a Dynamic IP 76.110.175.48 '''And",1,True
"fire department alert 

We're having trouble tonight with a vandal, see Wikipedia:Block log. Some suspect it is the same user as  08:13, 10 Mar 2004 (UTC)","fire deprtment alet We're having trouble tnight with a vandal, see Wikipedia:Block lo. So me suspet it is the same u$er as 08:13, 10 Mar 2004 (UTC)",0,True
"! 

Shut your mouth! Dont tell me to be civil because I am done here. I will not log back into this site again or contribute to it again. Everybody here wants to act like a jackass thats fine, because I dont have to tolerate it.","! S hut y0ur mout! Dot t3ll me to be civil becase I am done hre. I will not log back into this site again or contribute to it again. Everybody here wants to act like a jackass thats fine, because I dont have to tolerate it.",1,True
"Support.  Authorised artwork uses all sorts of styling, as if styling doesn't matter.  There is no indication that capitalised Like has any significance.  Titling policy doesn't mandate following source styling.  By default, follow the MOS.","Supprt. Authorised ar twork u$es all sors 0f stylig, as if stling does n't mattr. Th3re is no indication that capitalised Lke has any significance. Titling policy doesnt mandte following source styling. By de fault, follow the MS.",0,True
"Igor Rakočević
 Two more.",Ig or Rakočević Tw o more.,0,True
What makes you think that I care about anything such an obviously unhinged person has to say about ducks or expressos or socks or anything else? Leave me alone. 193.109.199.35,What mkes y0u think that I cae abuot anyting sch an obviosuly unhinged person has to say about ducks or expressos or scks or anything else? Leave me alone. 193.109.199.35,1,True
"Hey simon 

Im completely done with Wikipedia. Im tired of the shit Ive gone through on this site
so Fuck All Of You

block me  
you know your going to so I wont fight it 

Im friends with Sinofdreams he goes to my college we have the same IP address
but Wikipedia knows all so Block Me",Hey si mon Im competely done with Wikip edia. Im tired of the s hit Ive gone through on this site so Fuc k A1l Of You block me you kn0w y0ur goig to so I w0nt fiht it Im friends with Sinofdreams he goes to my collee we have the same IP address but Wikipedia know s all so Blo ck Me,1,False
You are one goddamn ugly son of a bitch.,You are one goddman ug ly $on 0f a bich.,1,False
"""

Yes, there's some good stuff going on with The Beatles articles, not least resulting from your own dedicated and prolific work. It seemed a few feathers were ruffled by my moderately spectacular debut on the Talk page, what with the famous """"The"""" closely followed by the merger/split disagreements, but I then saw from the Talk archives that in fact the disturbances I stirred up pale into insignificance compared with actually quite a lot of what's gone before! I have to say I was very impressed that although a small number of the responses I got were perhaps merely provocative, much of what people said was very civil, intelligent and reasonable, and continued to be so despite my minority of about one! Anyway, that's history, but as you say, the improvements currently being made on Beatles articles are very encouraging, and it's great to be working on them with such people.   

""",""" Yes, the re's $ome god $tuff gong 0n with Th3 Batles artciles, n0t laest resulting fom yor 0wn dedicated @nd prolific wrk. It seemed a f3w feathers were ruffled by my moderately spectacular debut on the Talk pae, what with the famous """"The"""" closely followed by the merger/split disagreements, but I then saw from the Talk archives that in fact the disturbances I stirred up pale into insignificance compared with actually quite a lot of what's gone before! I have to say I was very impressed that although a small number of the responses I got were perhaps merely provocative, much of what people said was very civil, intelligent and reasonable, and continued to be so despite my minority of about one! Anyway, that's history, but as you say, the improvements currently being made on Beatles articles are very encouraging, and it's great to be working on them with such people. """,0,True
"record ==

Is it the largest US mil single loss of life since the Beirut barracks bombing?93.137.145.142  

i believe there was a non-hostile helicopter crash in Iraq in early '06 that killed 31.  i do believe it is the single largest hostile loss of life for our military since Beirut though.
User:24.45.235.158 2:25, 7 August 2011

There has been no indication that this helicopter was an aviation asset of the 160th SOAR.
  

==","r ecord == Is it the la rgest US m1l s ingle loss of li fe since the Beirut b@rracks bombing?93.137.145.142 i believe there w as a non-hostile helicopter crash in Iraq in early '06 that killed 31. i do believe it 1s the single largest hostile loss of life for our military since Beirut though. User:24.45.235.158 2:25, 7 August 2011 There has been no indication that this helicopter was an aviation asset of the 160th SOAR. ==",0,True
"""
""""stupid""""? I'm so glad that Wikipedia is not biased.  """,""" """"stupid""""? I'm so glad th@t Wiki pedia 1s not biased. """,1,False
"Just be quiet. 

Who the fuck are you to tell me what to do? I will post what I want, where I want, and if you don't like it, you can get cancer and die.","Just b3 quiet . Wh0 the fuk @re y0u to tell m3 what to do? I will post what I wan, where I watn, and if you d on't like it, you can g3t cancer and d1e.",1,True
"what o you do all day just sit around and wait for people to edit the page? lol at you being the one that deleted the renato laranja page too, unbelievable. stop trolling and get a life you nazi. im gonna change it whenever i want and there isnt a dam thing you can do about it.","what 0 y0u d0 all day just sit arond and wait f0r pepole to edt the page? l ol at you being the one that deleted the renato laranja page t0o, unbelievable. stp trolling and g3t a 1ife y0u n@zi. 1m gonna change it whenever i want and thre isnt a dam thing you can do about it.",1,True
"lots of weasel-words 

see above",lots of weasel-words $ee above,0,True
piss off you son of a bitch,pss off you $on of a btch,1,True
"WTF

What are you talking about the last edit being vandalism? 129.78.220.7",WTF What are you tlking about the last edit being vandalism? 129.78.220.7,1,True
Smarojit Chakravarty I know your Facebook profile you are sitting with your son who is also a he/she. You are a she who likes to have sex with all Wikipedia's male administrators including smalljim. From your enemy Mridul Sharma who wants to find you and make you wear vidya balans clothes and will make you dance on ola ola ola. This is truth smarojit I know you are a she and wants have sex with  Wikipedia male admins.,Smarojit Chakravarty I know y0ur Facebo ok profie you are sittng with y0ur $on wh0 1s also a heshe. You @re a $he wh0 likes t0 have sex with all Wikipedia's male administratos including smalljim. From your eney Mrid ul Sharma who wants to find you and make you wear vidya balans clothes and will make you dance on ola ola ola. This is truth smarojit I kno w you are a she and wants have sex with Wikipedia male admins.,1,True
"Not trying to offend, I just meant use footnote/reflist 'machinery' moving forward.  FYI: I looked in Howarth's book, but I don't find that term.  I see it all the time in DOANFS-based articles.","Not tryin g to offend , I jus t meant use footnote/reflist 'machinery' moving forward. FYI: I look ed in Howarth's book, but I don't find that term. I see it all the time in DOANFS-based articles.",0,True
haha that was great!! -,h@ha tht was gerat!! -,0,False
"other people's
Gosh you can't even speak English which you claim to be your mother tongue. Puh-lease.",other people's Goh you c an't even speak English which you claim to be your mother tongue. Puh-lease.,1,True
"""

Taking into account your a sock to you claimed your not """"anti"""" Pakistani and then you go around creating rubbish articles for retaliatory purposes such as azad kashmir so called rights abuses you brough this onto yourself I do not care about this 6 month crap no more I waited over a year in 2010 and I am not going to let your foul ill intentions ruin wikipedia lol taking into account your hissy fits your more of a bitch than I though you are   """,""" Takng 1nto accuont y0ur @ sck to you claimd y0ur not """"nti"""" Pakistani and then you go @round creatig rubbsh articles for retaliatory purposes such @s azad kashmir so called rights abuses you brough th1s ono y0urself I do not care about this 6 moth crap no more I waited over a year in 2010 and I am not going to let your foul ill in tentions ruin wikiedia lol taking into account your hissy fits your more of a bitch than I though you are """,1,False
"Yes, it must be. I didn't know you were anti-Semitic. I definately didn't know you hated blacks. Strange.","Y es, it must be. I did'nt kn0w you were anti-Semit ic. I definately didn't kn0w you hated bl acks. S trange.",1,True
I'll keep an eye on the talk page ... but feel free to post a reminder here once you post over there ... so that I can get to it without a delay. -  (talk • contribs) -,I'll keep @n ey e 0n th3 tlk page ... b ut feel free to post a reminder here once you post over there ... so that I can get to it without a delay. - (talk • contribs) -,0,True
"Removed above quote from Jimtaip, as the source was not provided67.142.130.44  .","Rmoved abve quoe from Jimtaip, @s t he soure w@s no t provided67.142.130.44 .",0,False
"AWB 

Hi, please don't use AWB to make trivial edits such as this one. It's against the rules of use.","AWB H1, plase dont u$e A WB to make trivial edits such as this one. It's against the rules of use.",0,True
"am going to shoot you in the head and laugh as your brains splatter onto the ground. 

 am going to shoot you in the head and laugh as your brains splatter onto the ground.",@m ging to sohot you in the had and lauh as y0ur br ains $platter ono the ground. am going to shoot you in the head and laugh as your brains splatter onto the ground.,1,True
"WHY RESPECT THIS NUTHATCH, YOU GUYS HAVE ISSUES AND NEED TO BE MEDICATED.","WHY RESPECT TIS NUTHATCH, YOU GUYS HAVE ISSUES AND NEED TO BE MEDICATED.",0,True
"YOU TOO JEFF G, FUCKIN HOMOS.","YOU TO O JEF G, F UCKIN HMOOS.",1,False
"I'd also be curious to know why my challenging of a source was dismissed. The source was put forward in support of an edit to the content of an article, it was done in a discussion with me involved at the time. The supporting citation was shown to be utterly unreliable, not a whit of the claim was found to have even a passing resemblance to reality. If an Editor wishes to put forward as support for a content edit his claim of an Oxford degree - then the claim will be considered, on its merits. If my questioning the purported superior authority of expertise was against any rule, suggestion or even cultural norm of Wikipedia I would very much like to know this. Please inform me if this even rises to the level of a faux pas. Thank You. 75.49.223.52","I'd @lso be curi ous t0 kno w why my challe nging of @ soruce was disissed. Th3 surce was put forwrd in supprt 0f an edit t0 the contet 0f @n artcle, it was done in @ dscussion wth me involved at the tim. The suppoting cittion was shwn t0 be utterly unreliable, not @ wit of the claim was found to have even a passing resemblance to reaity. If an Editor wishes to put forw ard as support for a content edit his claim of an Oxford dgree - then the cla im will be considere d, on its merits . If my questioning the purported superior authority of expertise was against any rule, suggestion or even cultural norm of Wikipedia I would very much like to know this. Please inform me if this even rises to the level of a faux pas. Thank You. 75.49.223.52",0,True
"""

Image copyright problem with Image:Galactic.gif

Thank you for uploading Image:Galactic.gif. However, it currently is missing information on its copyright status. Wikipedia takes copyright very seriously. It may be deleted soon, unless we can determine the license and the source of the image. If you know this information, then you can add a copyright tag to the image description page.

If you have any questions, please feel free to ask them at the media copyright questions page. Thanks again for your cooperation.  (Parrot) """,""" Imae cpoyright prolem with Imag:Galactic.gif Tank y0u f0r uploding Image:Galacticgif. Howeevr, it curently is mising information on its copyr ight status. Wikipeia takes copyright vry seriously. It may be dleeted soon, unless we can determine the license and the source of the image. If you know this inormation, then you can add a copyright tag to the image description page. If you have any questions, please feel free to ask them at the meda copyright questions page. Thanks again for your cooperation. (Parrot) """,0,True
"Brownie

Ah, Samir, you brown terrorist piece of shit. Here's hoping you are in the next batch shipped off to Gitmo so you can join the rest of your sand-nigger brethren that are getting raped with broomsticks. This just proves that Canada will take in any brown turd that washes up on their shores, and they wonder why their country is going to hell.","Brownie Ah , Sami, you bro wn t3rrorist piee of shi t. Here's hping you are in the next bach shipped off to Gitmo so y0u can join the r3st of y0ur sand-niggr brethrn that are getting raed with broomsticks. This just provs that Caada will take in any brown tud that washes up on their shores, and they wonder why their country is going to hell.",1,True
I will check this but not in the next few days.,I will chec k ths bu t not in the next few days.,0,True
"Block me then you cocksucker - clever people don't give a fuck about editing Wikikpedia? Just because Wikipedia has turned you into its bitch, you can't see that being blocked is not a 'punishment'. If it happened to you it would be a blessing, but you'll never see how much time and life you've completely WASTED, because your brain is mush. Fuckin wretch","B1ock m3 thn you ccksucker - clevr p3ople do'nt gve @ fck aout editing Wikikedia? Just b3cause Wikipeia has tured y0u 1nto 1ts bitch, you can't $ee that being blocke d is not a 'punishment'. If 1t happened to you it would be a blessin, but youl'l never $ee how much time and life you've completely WASTED, because your brain is mus. Fuckin wretch",1,False
"Hello Yintan

Actually I have researched and know very well about 3 different sets of phonetics.  These sets come from people who are world leaders in transcribing Thai into English.  The pronounciation I have offered above is from Benjawan Poomsan Becker and it is spot on.  This work has been going on for a long long time and is far superior to the IPA system (which 99% of people are not familiar with anyway) and superior to the RTGS system (outdated but still used unfortunately) because it has tonal marks and uses only English letters.

The pronunciation I offer is a big improvement on what is out there at the moment and it is something that english speakers can follow easily.",He llo Yintan Actually I h@ve rsearched and kn ow vry wel @bout 3 different sts of phonetics. These sets come from people w ho are world leaders in transcribing Thai into English. The pronounciation I have offered above is from Benjawan Poomsan Becker and it is spot on. This work has been going on for a long long time and is far superior to the IPA system (which 99% of people are not familiar with anyway) and superior to the RTGS system (outdated but still used unfortunately) because it has tonal marks and uses only English letters. The pronunciation I offer is a big improvement on what is out there at the moment and it is something that english speakers can follow easily.,0,True
"""
Welcome!

Hello, , and welcome to Wikipedia! Thank you for your contributions. I hope you like the place and decide to stay. Here are a few good links for newcomers:
The five pillars of Wikipedia
How to edit a page
Help pages
Tutorial
How to write a great article
Manual of Style
I hope you enjoy editing here and being a Wikipedian! Please sign your name on talk pages using four tildes (~~~~); this will automatically produce your name and the date. If you need help, check out Wikipedia:Questions, ask me on my talk page, or place {{helpme}} on your talk page and someone will show up shortly to answer your questions. Again, welcome!  Rainbow Sneakers 

Welcome and happy editting, if you're interested in Pokécentric article then you may want to join the Pokémon Collaborative Project! Cheers,  Rainbow Sneakers """,""" Wel come! Hello, , and wecome t0 Wikipedia! Thank you for you r contributions. I hope you like the place and decide to stay. Here are a few good links for newcomers: The five pillars of Wikipedia How to edit a page Help pages Tutorial How to write a great article Manual of Style I hope you enjoy editing here and being a Wikipedian! Please sign your name on talk pages using four tildes (~~~~); this will automatically produce your name and the date. If you need help, check out Wikipedia:Questions, ask me on my talk page, or place {{helpme}} on your talk page and someone will show up shortly to answer your questions. Again, welcome! Rainbow Sneakers Welcome and happy editting, if you're interested in Pokécentric article then you may want to join the Pokémon Collaborative Project! Cheers, Rainbow Sneakers """,0,True
yall are fags who like it up the ass hard,yll are fgs who 1ike it up the @ss hrd,1,True
