original_text,adversarial_text,original_label,num_perturbed,attack_sucessful
hi. wow. you are such a geek. bullshit mother fucker.,hi. wow. you are such a g eek. bul lshit moter fucer.,1,4,True
""" Bektashi I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you too. """,""" Bektashi I suspect you start all your messages wit h offensive accusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you too. """,0,1,True
Stop deleting my edits. I live in Stoufville and it is located on Bison Park Drive. You're ridiculous.,Stop deleting my edits. I live in Stoufville and it is located on Bison Park Drive. Your'e ridiculos.,1,2,True
I'd like to thank all of the little people that sucked me off standing at full height. This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,I'd like to thank all of th e litt le the great unwashed th at suckd Pine Tree State o ff stnding at full height. This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fa g side.,1,12,True
Hey you can suck on my sack for protecting,H3y y ou tail end suc k along my sack for protecting,1,5,True
This article USED to have very reliable sources. Some idiot deleted it. (,This article USED to have very reliable sources. Some idiot delete d i t. (,0,3,True
""" Speedy deletion declined: SDK carbine Hello Jasper Deng. I am just letting you know that I declined the speedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern: The reason given is not a valid speedy deletion criterion. Thank you. (Talk) """,""" Speedy deletion declined: SDK carbine Hello Jaspe r Den. I make up jus t l etting yo u know that I declined the speedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern: The reason giv en is no t a va lid sp eedy deletio n cri terion. Than k yo. (T@lk) """,0,18,True
queer why are you a faggot?,qu3er why are you a fgagot?,1,2,True
Geneology is how it is spelled in publication.,G eneology is ho w 1t is spell out 1n publication.,0,7,True
Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thick skull.,Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thck skull.,1,1,True
"Do it Our Way (Play) Bruv... fuck off, I bought the flat, back in January and I've only edited on here as I see fit, so I dunno how I've abused multiple accounts and I don't think you're an idiot, I know you are a 24 carat idiot, look at the edit history on Do it Our Way it originally said it was R&B;/pop so if you don't believe me, you got eyes use 'em and I'll expect an apology! 86.182.64.127","Do it Our Way (Play) Bruv... fck off, I bought the flat, back in January and I'e only edited on here as I see fit, so I dunno how I 've abused multiple accounts and I don't think you're an idiot, I know you are a 24 carat idiot, look at the edit histo ry on Do it Our W@y it originaly $aid it w as RB;/pop so if y0u don't conceive me, y0u got eyes role '3m and I'l l have a bun in the oven Associate in Nursing apology! 86.18.64.127",1,81,False
Please rather than rely on your summarization may we please restore the articles so we can all look at them together and continue this discussion on the talk page? Thank you in advance.,delight r@ther th@n swear 0n yor summarization may we please restore the articles so we can all look at them together and continue this discussion on the talk page? Thank you in advance.,0,6,True
"think you are a double headed breast!!!!!!!!!!!11111 i am t3h l337 , i love your porn sites!!! ftw love j + s <3","th1nk y ou represent vitamin A doubl e h eaded br3ast!!!!!!!!!!!11111 atomic number 53 follow t 3h l3 37 , i love your po rn sites!!! ftw love j + s <3",1,13,True
""" Great Go and die painfully you foul mouthed sanctimonious moron. The road to hell is paved with """"good intentions"""". Roast slowly...""",""" Great Go and di e sorely you fou l mouted sanc timonious morn. The road to h3ll cost pa ved with """"good intentions"""". Rost sl owly...""",1,18,True
"Man 1. Get a life 2. Read what I wrote it explains it. 3. chetniks anti-Nazis? Now you shown you´re real face, don´t wright to me anymore I won´t respond and you can call it childish or wtf you want but I don´t want to waste my breath on Nazi sympatitors. I won´t read what you say anymore I´l laf my ass of if it sais I got new messages. NOT Peace","M@n 1. Ge t a life history 2. Read wh@t I wrote it explains it. 3. c hetniks anti-Naz is? No w you s hown you´re real face, don´ t wright to me anymore I won´t respond and you can call it childish or wtf you want but I don´t want to waste my breath on Nazi sympatitors. I won´t read what you say anymore I´l laf my ass 0f if information technology sai s I g0t new messages . NOT peace treaty",1,72,False
"Come on man, don't be a prick94.195.251.61","Come on ma n, don't be a prick94.195.251.61",0,1,True
