original_text,adversarial_text,original_label,num_perturbed,attack_sucessful
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funy , always ve ry colorful a nd enjoably overblown in the traditional almodóvar style .",1,5,True
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,bcomes the lst thig you woud look from amp f ilm wih this ttle 0r so from @ny pympton film : boring .,0,20,False
"sodden and glum , even in those moments where it's supposed to feel funny and light .","soden and glm , even in those moments where it's supposed to feel funny and light .",0,2,True
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some moving picture w ere made for the big screen , some for the small screen , and sme , like ballistic : ecks vs . sever , were made for the palm screen .",0,4,True
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","i t's n0t ony dul l because we've seen [ddie] murpy d0 the genial-rogue shtik t0 death , but bceause the p1ot 1s equally hackney ed .",0,16,True
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're count fo r a smart , nuanced look atomic number 85 d3 sade and what might have happend at picpus , sade is your film .",1,10,True
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","i t's hrd to believe that a relations hip like holy and marina's could survive the hothouse emotios of teendom , and its length of service gets more inexplicable as the characterizations turn more crassly reductive .",0,7,True
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,frday afer side by side is the kind of film that could only be made by african-americans becaue of its broad racial insensitiity towards african-americans .,0,6,True
the worst film of the year .,the worst photographic film of the year .,0,1,True
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me feel unclean , and i'm the guy who liked there's something about mary and both american Proto-Indo European picture . oh , and booty call .",0,2,True
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanc ed porrait of a young woman's breakdown , th3 film nevertheless works up a few scares .",1,3,True
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950's doris day feel and it gets very ugl y , very fast . the first five minutes will have you talking 'til the end of the year !",0,1,True
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville $how than well-constructed narrative , but on those terms it's inoffensive and actually ra ther sweet .",0,6,True
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,'cq m@y one day be fondly remembered as rman coppola's brief pretentius pe riod before going on to other flick that actually tell a story worth caring about,0,5,True
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the ins pirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .",1,1,True
it's probably worth catching solely on its visual merits . if only it had the story to match .,i's probably Charles Frederick Worth catching solely on its visual merits . if only it had the story to match .,0,3,True
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fairy-tale f ormula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .",1,2,True
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the colo r sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .",0,1,True
the most surprising thing about this film is that they are actually releasing it into theaters .,the most surprising thing about this fim is that they are actually releasing it into theates .,1,2,True
a fan film that for the uninitiated plays better on video with the sound turned down .,a f@n film that for the uninitiated plays better on video with the sound turned down .,0,1,True
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requ ires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .",1,1,True
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . @n otherwise intense , twist-and-turn thriller that certainy sho uldn't hurt talented young gaghan's resume .",1,7,True
cho's timing is priceless .,cho's timing comprise priceless .,1,2,True
. . . a lesson in prehistoric hilarity .,. . . a less on in prehistoric hilarity .,1,4,True
"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is @ good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .",1,1,True
an almost unbearably morbid love story .,an almost unbearably morb id love story .,1,2,True
if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,if you grew up on scooby -- you'll love th is movie . matthew lillard is born to play shaggy !,0,2,True
"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as co nceived aside Mister . schaffer , christopher and grace are little more than collections 0f quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .",0,6,True
"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","do not , under an y circumstances , consider t@king a child younger than middle school age to this wallow in crude humor .",0,4,True
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depic ts the sorriest and most sordid of human behavior on the screen , then laughs astatine how clev er it's being .",1,4,True
"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","alex nohe's docum entary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .",1,1,True
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","ampere bea utiful , timless @nd unversal tale 0f heatd p@ssions -- jealusy , betryal , forgiveness and murder .",1,12,True
ya-yas everywhere will forgive the flaws and love the film .,ya-y as everywhere will forgive the flaws and love the film .,0,4,True
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watching the powerpuff girl s movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .",0,3,True
"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","austin pow ers in goldmemb er is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .",1,2,True
"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[gai] comes closer to any actress single can remember to personifying indepedence in its purest and , yes , most intimidating form .",1,4,True
the pool drowned me in boredom .,th3 pool dr owned me 1n boedom .,0,5,True
"the tone is balanced , reflective and reasonable .","the toe is balnced , reflective and reasonable .",1,2,True
brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness .,brings an irresistib le blen d of wrmth and humor and a consistent embracing humanity in the f@ce of life's harshness .,1,5,True
"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .","a r@gbag of promising theme and failed narrative , of good acting and plain old unfit filmmaking .",0,3,True
writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,writerd/irector alexader p ayne ( election ) and his c-writer jim taylr brilliantly employ their quirky and fearless ability to look American English angst in the eye and end up laughing .,1,8,True
"a well-done film of a self-reflexive , philosophical nature .","@ well-done film 0f a self-reflexive , philosophical nature .",1,3,True
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entert ains n ot $o much because of its music or coic antics , but through the pererse pleasure of check disney scrape th3 bottom of its own cracker barrel .",0,8,True
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .","Associate in Nursing amsing and unexpectedly insghtful testing of sxual green-eyed monster , resentment and the fie line between passion and pretence .",1,8,True
"there ought to be a directing license , so that ed burns can have his revoked .","there ought to be a directing licens e , so that 3d burns can ha ve his revoked .",0,5,True
"while most films these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .","while m ost picture show these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .",1,4,True
i'm going to give it a marginal thumbs up . i liked it just enough .,i'm going to give it a m@rginal thums up . i liked it just enough .,0,5,True
"clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .","clint eastwood's blod wrk is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .",1,6,True
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .","its story about a young chinese woman , ah na , who has come to ne w york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .",0,1,True
"one of the most plain , unimaginative romantic comedies i've ever seen .","one of the most plain , unimagi native romantic comedies i've ever seen .",0,1,True
"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .","phililp nyce and all of his actors -- as well as h1s cinematograher , christopher doye -- understand the delicate forcefulness of greenes prose , and it's there on the screen in their version of the quiet american .",1,8,True
the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .,the tra nsporter bombards the viewer with so many exlosions and side snap kicks that it ends up being surprisingly dull .,0,2,True
it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it 's lzy for a mvie to avoid solving one problem by trying to distract us with the solution to another .,0,4,True
"me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects .","me no lika da idiom so good , merely i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects .",1,3,True
"short and sweet , but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations .","short and swee t , but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations .",1,1,True
alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .,alarms for duvall's throbbing sinceri ty and his elderly propensity for patting people while he talks .,0,1,True
martyr gets royally screwed and comes back for more .,martyr ge ts royally jazz and comes back for more .,0,2,True
i didn't laugh . i didn't smile . i survived .,i d idn't laugh . i didn't smile . i survived .,0,1,True
"overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .","overy stylized with lots of flash b1ack-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .",0,4,True
"reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .","reeboir varies beteen a sweet grinning and an wild skin , while said attempts to wea r down possible pupils through repetition . it has no affect on the kurds , but it wore me down .",0,6,True
a sometimes tedious film .,a sometimes t edious film .,0,1,True
i admired this work a lot .,i adm ired this work a lot .,1,1,True
staggeringly dreadful romance .,staggeringly dreaful romance .,0,2,True
a flawed but engrossing thriller .,a flawe d but engrossing thriller .,0,1,True
"efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .","efteriades gies th3 region -- scene , v ibe @nd a ll -- th3 cinematic equiva lent of a big , tender hug .",1,13,True
. . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,. . . the re's enogh col merriment hre to quick th3 hearts 0f an imation enth usiasts of all ages .,1,13,False
"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .","aduls testament c ertainly want to spend their time in the th eater thinking up grocery lists and ways to tell their jolly h0w not to act like pinocchio . as for children , they won't enjoy the movie at all .",0,6,True
the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .,the q uirky dr@ma tou ches the hart and the funnybone thanks to the eneretic and always srprising performace by rachel Griffith .,1,9,True
director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,director j@y russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,0,1,True
the kind of primal storytelling that george lucas can only dream of .,the kind of primal sto rytelling that george lucas can only dream of .,1,1,True
"a powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .","a p owerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .",1,1,True
it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,its so goo d that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,1,3,True
"the setting is so cool that it chills the characters , reducing our emotional stake in the outcome of "" intacto's "" dangerous and seductively stylish game .","the context is so cool that it chills the theatrical role , reducing our emotonal stake in the outcome of "" intacto's "" dangerous and seductively stylish game .",1,4,True
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .","nics reuses to let slacers be sen as just anoter teenage mvoie , which means h3 can b3 forgiven for frequntly pandering to fans of the gross-out comedy .",0,13,True
