original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
hi. wow. you are such a geek. bullshit mother fucker.,hi. wow. you are such a geek. bullshit mther fucker.,anger,13,2,True
""" Bektashi I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you too. """,""" Bektashi I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypating vebatim, thn it violates copy - right and is not in line wi th this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you too. """,neutral,53,7,True
Stop deleting my edits. I live in Stoufville and it is located on Bison Park Drive. You're ridiculous.,Stop deleting my edits. I live in Stoufville and it is located on Bison Park Drive. Yo u 'r3 ridiculous.,anger,25,4,False
I'd like to thank all of the little people that sucked me off standing at full height. This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,I 'd like to than k all of the little people that sucked me off standing at full height. This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,happiness,24,1,True
Hey you can suck on my sack for protecting,Hey you can sck on my sack for protecting,anger,14,1,True
This article USED to have very reliable sources. Some idiot deleted it. (,This article USED to have very reliable sources. Some idiot deleted it. (,confusion,4,0,False
""" Speedy deletion declined: SDK carbine Hello Jasper Deng. I am just letting you know that I declined the speedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern: The reason given is not a valid speedy deletion criterion. Thank you. (Talk) """,""" Speedy deletion declined: SDK carbine Hello Jasper Deng. I am just letting you know that I declined the speedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern: The reason given is not a valid speedy deletion criterion. Than k you. (Talk) """,happiness,10,1,True
queer why are you a faggot?,qu eer why are you a faggot?,confusion,11,1,True
Geneology is how it is spelled in publication.,Geneology i s how i t constitute speled im publicaton.,neutral,40,7,True
Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thick skull.,Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I 'm not s ure how many different ways saying it will will be required to get it through your thick skull.,confusion,28,1,True
"Do it Our Way (Play) Bruv... fuck off, I bought the flat, back in January and I've only edited on here as I see fit, so I dunno how I've abused multiple accounts and I don't think you're an idiot, I know you are a 24 carat idiot, look at the edit history on Do it Our Way it originally said it was R&B;/pop so if you don't believe me, you got eyes use 'em and I'll expect an apology! 86.182.64.127","Do it Our Way (Play) Bruv... fuck off, I bought the flat, back in January and I've only edited on here as I see fit, so I dunno how I've abused multiple accounts and I don't think you're an idiot, I know you are a 24 carat idiot, look at the edit history on Do it Our Way it originally said it was R&B;/pop so if you don't believe me, you got eyes use 'em and I'll expect an apology! 86.182.64.127",confusion,5,0,False
Please rather than rely on your summarization may we please restore the articles so we can all look at them together and continue this discussion on the talk page? Thank you in advance.,Please rather than rely on your summarization may we please restore the articles so we can all look at them together and continue this discussion on the talk page? Th ank you in advance.,happiness,10,1,True
"think you are a double headed breast!!!!!!!!!!!11111 i am t3h l337 , i love your porn sites!!! ftw love j + s <3","think you are a double headed breast!!!!!!!!!!!11111 i am t3h l337, i lo ve your porn sites!!! ftw love j + s <3",love,25,1,True
""" Great Go and die painfully you foul mouthed sanctimonious moron. The road to hell is paved with """"good intentions"""". Roast slowly...""",""" Gre at Go and die painfully you foul mouthed sanctimonious moron. The road to hell is paved with """"good intentions"""". Roast slowly...""",love,18,1,True
"Man 1. Get a life 2. Read what I wrote it explains it. 3. chetniks anti-Nazis? Now you shown you´re real face, don´t wright to me anymore I won´t respond and you can call it childish or wtf you want but I don´t want to waste my breath on Nazi sympatitors. I won´t read what you say anymore I´l laf my ass of if it sais I got new messages. NOT Peace","Man 1. Get a life 2. Read what I wrote it explains it. 3. chetniks anti-Nazis? Now you shown you´re real face, don´t wright to me anymore I won´t respond and you can call it childish or wtf you want but I don´t want to waste my breath on Nazi sympatitors. I wo´t rad wha t y ou say @nymore I´l laf my ass of i f it sais I go t new messaes. NOT Peace",confusion,74,11,True
"Come on man, don't be a prick94.195.251.61","Coe om man, do n't be a prick94.195.251.61",neutral,21,2,True
"Wow. Omg okay so i just made this really long page and you deleted it. thanks, BIOTCHHHHH. geez. stop deleting my things or else i'll sue you, faaaagggggggg. stop deleting my things or i'll find you. and i'll kill you. kill. kill. kill .","Wow. Omg okay so i just made this truly farsighted page and you deleted it. thanks, BIOTCHHHHH. geez. stop deleting my things or else i'll sue you, faaaagggggggg. stop deleting my things or i'll find you. and i'll kill you. kill. kill. kill .",happiness,92,15,False
You just fucked with the wrong dude You messed with the real law now and you fucked up175.38.160.39,You just have it off with the wrong dude Yo u messed with the real law now and you fucked up175.38.160.39,anger,27,2,True
wiki sucks ass. from admin,wiki sucks ass. fom admin,anger,11,1,True
""" Very good point, most of these so called """"papers"""" from last century are basically worthless because they are so out of touch with today's computing environment. I find the examples from the """"forbidden website"""" most interesting because of the resolution and color depth are much closer to what is actually be used these days. """,""" Very good point, most of these so called """"papers"""" from last century are basically worthless because they are so out of touch with today's computing environment. I find the examples from the "" "" forbidden website "" "" most interesting because of the resoution and color deph are much closer to what is actually be used these das. """,neutral,51,4,True
|small = |living = No |class = Stub |priority = Low |core = |attention = |past-collaboration = |peer-review = |old-peer-review = |needs-infobox = |needs-persondata = |activepol = |a&e-work-group; = |politician-work-group = |british-royalty = |royalty-work-group = |military-work-group = |sports-work-group = |s&a-work-group; = |musician-work-group = |peerage-work-group = |baronets-work-group = |filmbio-work-group = |non-bio = |removal = |listas = |needs-photo = |auto =,|$mall = |livnig = No |class = Stub |priority = Low |core = |attention = |past-collaboration = |peer-review = |old-peer-review = |needs-infobox = |needs-persondata = |activepol = |a&e-work-group; = |politician-work-group = |british-royalty = |royalty-work-group = |military-work-group = |sports-work-group = |s&a-work-group; = |musician-work-group = |peerage-work-group = |baronets-work-group = |filmbio-work-group = |non-bio = |removal = |listas = |needs-photo = |auto =,neutral,483,119,False
