original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
hi. wow. you are such a geek. bullshit mother fucker.,h i. belly laugh. you ar e such a geek. bullshit mother fucker.,__label__1,32,6,True
""" Bektashi I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you too. """,""" Bektashi I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. 1f h3 i s copypsting verbatim, th en i t viloates cop y - right on amd comprise non in line wit h th is cost an encyclop3dia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you t oo. """,__label__1,148,26,True
Stop deleting my edits. I live in Stoufville and it is located on Bison Park Drive. You're ridiculous.,Stop deleting my edits. I live in Stoufville and it is located on Bison Park Drive. Yo u ' re ridiculous.,__label__1,20,3,True
I'd like to thank all of the little people that sucked me off standing at full height. This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,I'd like to thank all of the little people that sucked me off standing at full height. This really motivatd me to go all the wa y with my obsession with California Highways and complete m y journey to the fag side.,__label__2,39,3,True
Hey you can suck on my sack for protecting,Hey you can suk on my sack for protecting,__label__1,14,1,True
This article USED to have very reliable sources. Some idiot deleted it. (,This article USED to have very reliable sources. just about idoit deletd i t. (,__label__1,34,6,False
""" Speedy deletion declined: SDK carbine Hello Jasper Deng. I am just letting you know that I declined the speedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern: The reason given is not a valid speedy deletion criterion. Thank you. (Talk) """,""" Speedy deletion declined: SDK carbine Hello Jasper Deng. I am just letting you know that I declined the seedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern : The reason given is not a valid spedy deletion criterion. Thank you. (Talk) """,__label__2,54,2,True
queer why are you a faggot?,qu eer w hy are you a faggot up?,__label__2,23,5,True
Geneology is how it is spelled in publication.,Geneology is how information technology is spelled in publication.,__label__2,17,1,True
Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thick skull.,Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I 'm not sue ho w many different ways saying it will will b e required to get information technology through your thick skull.,__label__2,48,5,True
"Do it Our Way (Play) Bruv... fuck off, I bought the flat, back in January and I've only edited on here as I see fit, so I dunno how I've abused multiple accounts and I don't think you're an idiot, I know you are a 24 carat idiot, look at the edit history on Do it Our Way it originally said it was R&B;/pop so if you don't believe me, you got eyes use 'em and I'll expect an apology! 86.182.64.127","Do it Our Way (Play) Bruv... fuck off, I bought the flat, back in January and I've only edited on here as I see fit, so I dunno how I've abused multiple accounts and I don't think you're an idiot, I know you are a 24 carat idiot, look at the edit history on Do it Our Way it originally sa id it was R&B;/pop so if you don't believe me, you got eyes use 'em and I'll expect an apology! 86.182.64.217",__label__1,22,2,True
Please rather than rely on your summarization may we please restore the articles so we can all look at them together and continue this discussion on the talk page? Thank you in advance.,Please rather than rely on your summarization may we please restore the articles so we can all look at them together and continue this discussion on the talk page? Thank you i n advance.,__label__2,16,3,True
"think you are a double headed breast!!!!!!!!!!!11111 i am t3h l337 , i love your porn sites!!! ftw love j + s <3","think you are a double headed breast!!!!!!!!!!!11111 i am t3h l337 , i love your porn sites!!! ftw lve j + s <3",__label__2,28,6,False
""" Great Go and die painfully you foul mouthed sanctimonious moron. The road to hell is paved with """"good intentions"""". Roast slowly...""",""" Great spell and di e painfluly you fol verbalise sanctimonous m oron. The road to hell is paved with """"good intentions"""". Roast slowly...""",__label__1,60,11,True
