original_text,adversarial_text,original_label,num_perturbed,attack_sucessful
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funny , always very colorful and ejoyably overblown in the traditional almodóvar style .",1,1,True
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becom es the las t thng you would expect from a film with this title or indee d from a ny plympton film : b oring .,0,10,True
"sodden and glum , even in those moments where it's supposed to feel funny and light .","sod den and glu m , even in those moments where it's supposed to feel funny and light .",0,4,True
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","around movi es wre m@de for the big s creen , some for the small screen , and som e , like b@llistic : ecks vs . s ever , wer e made for the palm screen .",0,10,True
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it' s n ot o nly dul l becau se we'v e seen [eddie] murphy do the genial-rogue shtick t0 death , but because the plot is equally hackn eyed .",0,9,True
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","1f youre lookng for a $mart , n uanced look at de sade and what might have happened @t p icpus , sde is yor picture .",1,16,True
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it' s h@rd to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn Sir Thomas More cr@ssly reductiv e .",0,5,True
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,f riday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,1,1,True
the worst film of the year .,the wost film of the year .,0,1,True
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","information technology made me feel unclean , and i'm the guy who liked there's something about mary and both American language pie moving-picture show . 0h , and booty call .",0,6,True
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scare away .",1,3,True
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950's doris day feel and it gets very u gly , very fast . th e fi rst five minutes will have yo u talking 'til the end of th e yea r !",0,7,True
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rathe r sweet .",0,2,True
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,'c q may one day be fondly remembered as roman coppola's brief pret entious period before going on to other films that actually tell a story worth caring about,0,2,True
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by th e end .",0,4,True
it's probably worth catching solely on its visual merits . if only it had the story to match .,it's prob ably worth catching solely on its visual merits . if only it had the story to match .,0,1,True
