"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funny , always very scenic and enjoyabⅼy overdone in the traditional almodóvar syle .",0.08399999141693115,0.12599998712539673,1,1,1,42,"Failed"
"becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .","bеcomes the last thing you would expect from a film with this title or indeed from any plympton film : bornig .",0.08499997854232788,0.5119999945163727,0,2,0,41,"Successful"
"sodden and glum , even in those moments where it's supposed to feel funny and light .","ѕodden and glum , even in those moments where it's supрosed to feel funny and light .",0.11599999666213989,0.7269999980926514,0,2,0,38,"Successful"
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .",1.0,1.0,2,2,0,1,"Skipped"
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it's not only boring because we've seеn [edie] murphy do the genial-rogue shtick to death , but because the plot is equaⅼly hac𝒌neyed .",0.08300000429153442,0.1499999761581421,0,0,0,59,"Failed"
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you're looking for a smarter , nu anced look at de sade and what might have happened at picpus , sade is your film .",0.1340000033378601,0.5439999997615814,1,2,1,40,"Successful"
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the chaⲅacterizations turn more carssly reԁuctive .",0.11299997568130493,0.7319999933242798,0,2,0,61,"Successful"
"friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .","friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitіvity towards african-americans .",0.1340000033378601,0.5379999876022339,0,2,0,34,"Successful"
"the worst film of the year .","the gravest film of the year .",0.14499998092651367,0.19599997997283936,0,0,0,9,"Failed"
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .",0.6089999973773956,0.6089999973773956,2,2,0,1,"Skipped"
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .",1.0,1.0,2,2,0,1,"Skipped"
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !",0.9729999992996454,0.9729999992996454,2,2,1,1,"Skipped"
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .",0.7900000065565109,0.7900000065565109,2,2,1,1,"Skipped"
"'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about","'cq may one day be fondly remembered as roman coppola's brief pretentiоus period before going on to other films that actually tell a story worth caring about",0.3669999837875366,0.5189999938011169,0,2,0,38,"Successful"
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .",0.507999986410141,0.507999986410141,2,2,1,1,"Skipped"
"it's probably worth catching solely on its visual merits . if only it had the story to match .","it's probably worth catching solely on its visual merits . if only it had the story to match .",0.8859999999403954,0.8859999999403954,2,2,1,1,"Skipped"
