original_text,adversarial_text,original_label,attack_sucessful
RT @kitcoskjones: im soooo over having a bitch it aint EVEN funny lbs....,RT @kitcoskjones: im soooo over having a bitc h it aint EVEN funny lbs....,1,True
I say we all do a big fat line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad,I $ay we al l do a big fa t line of meh after the finale...come on yo u p ussies :P #GoodbyeBreakin gBad,1,True
Watching #Steelers colts getting blinded by the Steelers uniys look like bunch of bumblebees,Watchin g #Steel ers clts gett ing bl inded by th3 Ste elers unys lok lie bunch 0f bumbl ebees,0,False
Can Charlie Crist pull one over on Rick Scott? Well he did pull one over on #floridaprimary dems tonite. #TPOT #Election2014,Ca n Ch@rlie Cris t p ull o ne ove r 0n R ick Scot? Wll h3 d1d pll 0ne oer 0n #flor idaprimary dems ton ite. #TPT #Elect ion2014,0,False
"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;","""@ange lenagoley: 10 $ex positios http://t.co/n t3PABMWsm http: //t.co/JmHZ8Sczf0""naw thi s wat u c@ll fucing t he sou l ou tta bitc h & #128557;",1,True
@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this bitch YA me tiene cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,@KiaraSmallzz l maoo &# 128514;&#128149;I thi nk I want this bit ch YA m3 tien e cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,1,True
RT @AP_Noticias: #&#218;LTIMAHORA El republicano Charlie Baker elegido gobernador de Massachusetts. #Election2014 #APracecall http://t.co/qkbWQ&#8230;,RT @AP_No ticias: #&#218;LTIM AHORA E1 rep ublicano Ch@rlie B@ker e legido gober nador d3 Massachu setts. #Ele ction2014 #APr@cecall htt p://t.co/qkbWQ&#8230;,0,False
"RT @LauraBehnke: #Yankees fans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! It's already 4 to 0, still no &#8230;","RT @L@uraBehnke: #Y@nkees f@ns havin g flasbacks! RT @WCCO Rosen: @LauraBeh nke Y ou remembr TIS Ph il Hghes! It 's alrady 4 t0 0, stil l no &#820;",0,False
Damn Charlie Wilson is still around?,Damn Cha rlie Wilsn 1s $till aound?,0,False
"Always wanted to fuck that bitch, thank you god I fucked that bitch","Always w anted to fuk tha t bich, t hank y ou go d I fcked th@t bi tch",1,False
"RT @MindOnSuccess_: My mother be on some trash man &#128514; I ask her EVERYDAY, you need/ want some money? She say ""Naw I'm good!"" But come payday&#8230;","RT @MindOnSuccess_: My mother b3 on some tr@sh ma n &#12851; I ask h er EVERYDAY, yo u need/ want some money? She say ""Naw I'm g0od!"" But cme payday&#82 30;",0,False
"I didn't know my nig G-Eazy had reached a million views on one of his songs, haha that's crazy","I din't know my nig G-E@zy had reached a million views on one of his songs, haha that's crazy",0,True
@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President,@CBSThisMor ning @ch@rlierose @NorahODonne ll tx tra sh y our $how was @ dis grace ths AM e ngaging w @MttRomney disr especting th3 Presdent,0,False
I openly admit to being the level of white trash that will drive across town to the gas station with free hot dogs &amp; half price drinks.,I openl y adm it t0 bing th e leel 0f whi te tr@sh that wll driv e acr oss twn t0 th3 gas statin w1th fr3e h0t dogs &map; half pr ice drink.,0,False
RT @wittybigtwittys: I use the word cunt very loosely,RT @wittybigtwittys: I use the word cu nt very loosely,1,True
@sportsdude53 haha not you. Just getting shit from everyone else when my second favorite team is the redlegs.....,@sportsdude53 haha not you. Just getting sh it from everyone else when my second favorite team is the redlegs.....,1,True
You're like a lucky leprechaun with a charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,Y ou're lke @ luck y leprecha un wth @ ch@rmed d@y 0n y our han.d.. Mor e f0r Gem ini htp://t.co/2nx6NlOxOe,0,False
but shawty you not a bitch you the one I get money wid,but shawty you not a b itch you the one I get money wid,1,True
RT @BurgerKing: Chicken Fries. @Oreo Shake. Perfection. http://t.co/PdiGLRbhJZ,RT @BurgerKing: Chick en Fres. @Oro Shke. Perf ection. http://t.c0/PdiGLRbhJZ,0,False
Not a word on Jihadi stream about the Kurdish female suicide bomber in Kobane. That story undermines their mythology on several levels.,No t @ word 0n Jhadi steam @bout th3 Kurd ish fe male sui cide bombr 1n K obane. Th at stoy undemines ther mytholo gy 0n sevral leels.,0,False
"RT @Allan_Son: I got gatorades, Twinkies, rice puddings, Pringles, and cookies &#128525;&#128555;","RT @Allan_Son: I got gatorades , Twink ies, ric e pudd ings, Pringles , and cookies &#128525;&#128555;",0,True
Some hoes that tweet just make me mad lol,Some ho es that tweet just make me mad lol,1,True
Keep those away frm Charlie Day RT @JhonenV: Just once in my life I'd like for someone's favorite part of my body to be my disgusting knees.,Kep thos e aay fr m Ch@rlie Da y RT @Jh onenV: Jut onc e 1n my lfe I'd lik e f0r som eone's faorite pat 0f my bdy t0 b3 my disgusting kne es.,0,False
@ElyssaJankowski @ComedyTextings haha she a stupid hoe,@ElyssaJankowski @ComedyTextings haha she a stupid h oe,1,True
Fuck dat bitch,Fuk da t b itch,1,False
"One of my favorite songs. ""There's a man on the shoreline with a white parakeet trying to make his bird go home."" http://t.co/bQ3CBIPk6s","On e 0f my f@vorite sons. ""Ther e's @ m@n 0n th e s horeline wih @ wite par akeet triyng t0 mke his bird g0 h0me."" http://t.c0/bQ3CBIPk6s",0,False
S/O to my Luu's. These are down bitches! Don't fuck with them.,S/O to my Luu's. T hese are down b itches! Don't fck wth them.,1,True
