original_text,adversarial_text,original_label,num_perturbed,attack_sucessful
RT @kitcoskjones: im soooo over having a bitch it aint EVEN funny lbs....,RT @kitcoskjones: im soooo over having a crab it aint EVEN funny lbs....,1,2,True
I say we all do a big fat line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad,I sa y we all do a big fat line of meth after the finale...come along you pusses :P #GoodbyeBreakingBad,1,16,True
Watching #Steelers colts getting blinded by the Steelers uniys look like bunch of bumblebees,Wathing #Stelers colts getting blinded by the Ste elers uniys look like bunch of bmblebees,0,5,True
Can Charlie Crist pull one over on Rick Scott? Well he did pull one over on #floridaprimary dems tonite. #TPOT #Election2014,Can Ch@rlie Cri st pull one over on Rick Sc ott? Well he did pull one over on #floridaprimary dem s tonite. #TPOT #Election2014,0,6,True
"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;","""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul otta bit ch &#128557;",1,13,False
@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this bitch YA me tiene cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this b itch YA me t iene cansad a but thanks &#128536;wait cargo deck up . .. World Health Organization u fighti ng &#1285 63;,1,13,True
RT @AP_Noticias: #&#218;LTIMAHORA El republicano Charlie Baker elegido gobernador de Massachusetts. #Election2014 #APracecall http://t.co/qkbWQ&#8230;,RT @AP_Noti cias: #&#218;LTIMAHORA E1 republicano Charie Baker ele gido g obernador de Massachusetts. #Election2014 #Pracecall http://t.co/qkbWQ&#8230;,0,8,False
"RT @LauraBehnke: #Yankees fans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! It's already 4 to 0, still no &#8230;","RT @LauraBehnke: #Ynkees f ans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hugh es! It' s already 4 to 0, still no &#8230 ;",0,6,True
Damn Charlie Wilson is still around?,Damn Charie Wi lson is shut up @round?,0,6,False
"Always wanted to fuck that bitch, thank you god I fucked that bitch","Always wanted to fuck that bitch, thank you god I fucked that bitch",1,13,False
"RT @MindOnSuccess_: My mother be on some trash man &#128514; I ask her EVERYDAY, you need/ want some money? She say ""Naw I'm good!"" But come payday&#8230;","RT @MindOnSuccess_: My mothe r be on some tra sh m@n &#128514; I ask her EVERYDAY, you need/ want some money? S he say ""Naw I'm good!"" But come payday&#8230;",0,8,True
"I didn't know my nig G-Eazy had reached a million views on one of his songs, haha that's crazy","I ddn't know my nig G-E@zy had reached a million vies on one of his songs, haha that 's crazy",0,7,True
