original_text,adversarial_text,original_label,requests_used,training_requests_used,num_perturbed,attack_successful,timestamp
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funny, alwasy v3ry colorful and agreeably overblown in the tradtiional almodóvar style.",positive,19,741,4,False,2025-08-12T00:37:05.227521
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becomes the las t affair you would expect from a film with this style or so from any plympton film : boring.,negative,24,741,4,False,2025-08-12T00:37:05.227568
"sodden and glum , even in those moments where it's supposed to feel funny and light .","soddne and gum, ev3n in those moments where it 's supposed to fee l funny and light.",positive,15,741,4,True,2025-08-12T00:37:05.227591
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies were made for the with child screen, some for the diminished screen, and some, like ballistic : ecks vs. sever , were made for the palm screen .",neutral,9,741,2,True,2025-08-12T00:37:05.227609
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it 's n0t o nly dull because we 've seen [ eddie ] murphy do the genial - rogue shtick to death, but because the plot is equally hackneyed.",negative,6,741,2,True,2025-08-12T00:37:05.227633
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a smart, nuancde look at de sade and what might have happened at picpus, sade is your film.",positive,4,741,1,True,2025-08-12T00:37:05.227654
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's firmly to believe that a relationship like holy and marina 's could survive the hothouse emotions of teendom, and its longevity gets more than inexlpicable as the characterizations turn more crassly reductive.",negative,18,741,4,False,2025-08-12T00:37:05.227674
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the kind of film that could only be made by african - americans because of its b road racial insensitivity towards african - americans.,neutral,8,741,1,True,2025-08-12T00:37:05.227701
the worst film of the year .,the w orst film of the year.,negative,3,741,1,True,2025-08-12T00:37:05.227723
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me feel uclean, and i 'm the guy who liked there 's something about mary and both american pie movies. oh , and booty call .",negative,4,741,1,True,2025-08-12T00:37:05.227736
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuamced portrait of a y0ung woman 's breakdown, the film nevertheless works up a f ew scares.",mixed,11,741,3,True,2025-08-12T00:37:05.227757
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950 's doris day feel and it gets vry ugl y, very fast. the first five minutes will have you talking 'til the end of the year !",negative,7,741,2,True,2025-08-12T00:37:05.227775
