original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally fnuny, always very colorful and enjoyably pompous in the traditional almodóvar style.",happiness,28,2,True
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becomes t he last thing you would expect fro m a film with this title or indeed from any plympton film : boring.,neutral,41,4,True
"sodden and glum , even in those moments where it's supposed to feel funny and light .","sodden and glum, even in those moments where it 's supposed to feel fun ny and light.",surprise,22,1,True
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","s ome movies were made for the big screen, some for the samll screen, and some, like ballistic : eck s vs. sev3r, wee made for the palm riddle.",neutral,113,19,True
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","i t ' s no t only dull because we 've sen [ eddie ] Irish potato do t he geial - rgoue sthick to dea th, bu t because the patch make up equally hackneyed.",neutral,148,27,True
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a smart, nuanced look at de sade and what might have happened at picpus, sde is your film.",sadness,31,1,True
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's hard to believe that a relationship like holy and marina 's could survive the hothouse emotions of teendom, a nd its longevity gets more inexplicable as the depiction turn more crassly reductive.",neutral,69,7,True
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after following i s t he kind of film tha t could only be made by arican - americans because of its broad racial insensitivity towadrs arican - americans.,neutral,120,21,True
the worst film of the year .,the wors t film of the year.,disgust,11,1,True
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me feel unclean, and i 'm the guy who lik ed there 's something about mary and both american pie movies. oh , and booty call .",love,29,1,True
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced portrayal of a young woman 's breakdown, the film nevertheless works up a few scares.",fear,28,1,True
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off wi th a 190 's doris day feel an d it aim very ugly, very fast. the first five minutes will have you talking 'til the end of the year !",confusion,54,7,True
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","mor e vadueville $how than well - constructed narrative, but o n those terminal figure it ' s inoffensive and actually raher sweet.",neutral,68,12,True
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' cq may one day be fondly remembered as roman coppola 's brief pretentious period before going on to other films that actually assure a story worth caring about,neutral,37,1,True
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspiratioal screenplay by mike rich covers a lot of ground, perhaps too much, but ties things together, neatly, by the end.",love,32,1,True
it's probably worth catching solely on its visual merits . if only it had the story to match .,it 's proabbly worth catching solely on its visual merits. if only it had the story to match .,happiness,23,2,True
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fairy - tale formula, serves as a paer skeleton fo r some very good acting, dialogue, comedy, directoin and especially charm.",happiness,47,6,True
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the color sense of stuart little 2 is its most immediate and most obvious plasure, but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is.",happiness,46,1,True
the most surprising thing about this film is that they are actually releasing it into theaters .,the most surprsing thing about this film is that they are actually releasing it into theaters.,surprise,22,1,True
a fan film that for the uninitiated plays better on video with the sound turned down .,a sports fan film that for the uninitiated plays better on vide o with the sound turned dwn.,love,57,9,True
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requires a c lear sense of purpose, and in that oh - so - important category, the four feathers comes up short.",happiness,31,2,True
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . an otherwise intense, twist - and - turn thriller that sure as shooting should n't weakened talented young gaghan '$ resume.",neutral,123,24,False
