original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funny, always very colorful and enjoyably overblown in the traditional almodóvar style.",__label__2,19,1,True
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becomes the last thi ng you would expect from a film with this title or indeed from any plympton film : borig.,__label__1,32,3,True
"sodden and glum , even in those moments where it's supposed to feel funny and light .","sodden and glum, ev en in those moments w here it 's supposed to feel funny and light.",__label__2,38,5,True
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies wer e made for the bi g screen, som3 for the small screen, and some, like ballistic : ecks vs. sever , were made for the palm screen .",__label__2,44,4,True
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it 's not only du ll because we 've seen [ eddie ] murphy do the genial - rogue shtick to death, but because the plot is equally hackneyed.",__label__1,34,1,True
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a smart, naunced look at de sade and wh@t might have take place at picpus, sade is your film.",__label__2,44,3,True
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's hard to believe that a relationship like holly and marina 's could survive the hothouse emotions of teemdom, and its longevity gets more inexplicable axerophthol the characterizations plough more crassly reductive.",__label__2,63,5,True
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the kind o f film that could oly be made by african - americans because of its broad racial insensitivity towards african - americans.,__label__1,37,2,True
the worst film of the year .,t he wo rst film of the year.,__label__1,16,2,True
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me feel unclean, and i 'm the guy wh o liked there 's something about mary and both american pie movies. o h, a nd booyt shout out.",__label__1,58,7,True
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a naunced portrait of a young womn 's breakdown, the film nevertheless wor ks up a few pall.",__label__2,67,12,True
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off wi th a 1950 's dois day feel and it gets v ery ugly, very fast. the first five minutes will have you talking 'til the end of the year !",__label__1,49,6,True
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville show than well - constructed narrative, but on those terms it ' s inoffensive and actually rather sweet.",__label__2,30,2,True
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' cq may one day be fondly remembered as roman coppola 's brief pretentius period before going on to other films that actually tell a story worth caring about,__label__1,34,1,True
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the ispirational screenplay by mike rich covers a 1ot of gronud, prehaps too much, but ti es things together, neatyl, by the 3nd.",__label__2,66,8,True
it's probably worth catching solely on its visual merits . if only it had the story to match .,it's probably worth catching solely on its visual merits . if only it h@d t he sotry t o mach.,__label__1,40,7,True
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fairy - tale formula, serves as a paper skeleton for some ve ry g ood acting, dialogue, comedy, direction and especially charm.",__label__2,42,6,True
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the color sense of stuart little 2 is its most immediate and most obvious pleasure, but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is.",__label__2,45,1,True
the most surprising thing about this film is that they are actually releasing it into theaters .,the most surprising thing about this film is that th3y are actually releasing it in to theaters.,__label__2,26,2,True
a fan film that for the uninitiated plays better on video with the sound turned down .,a fan fi lm that for the uninitiated plays better on video with the sound turned do wn.,__label__2,26,2,True
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requires a clear sense of purpose, and in that oh - so - important c@tegory, the four feathers comes up short.",__label__1,33,1,True
