original_text,adversarial_text,original_label,num_perturbed,attack_sucessful
hi. wow. you are such a geek. bullshit mother fucker.,hi. wo w. you are such a geek. talk through one's hat m other fucker.,1,10,False
""" Bektashi I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you too. """,""" Bektashi I suspect you start all y0ur messages with offensive accusations like """"I suspect you're vitamin A sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right @nd is not in line with this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the roe of jokes, and including one joke, would seem fair. Happy editing to you too. """,1,7,True
Stop deleting my edits. I live in Stoufville and it is located on Bison Park Drive. You're ridiculous.,Stop cancel my edits. 1 liv e in Stoufville and it is locate on Bison car park Drve. Yo're ridiculous.,1,9,True
I'd like to thank all of the little people that sucked me off standing at full height. This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,I'd like to thank all of the little people that sucke d me off standing at full hei ght. This really motivated me to go all the way with my obsession with Golden State highway and complete my jo urney to the f ag side.,1,6,True
Hey you can suck on my sack for protecting,Hey you c an suk along my sak for protect,1,9,False
This article USED to have very reliable sources. Some idiot deleted it. (,This article USED to have very reliable sour ces. Some i diot edit it. (,1,3,True
""" Speedy deletion declined: SDK carbine Hello Jasper Deng. I am just letting you know that I declined the speedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern: The reason given is not a valid speedy deletion criterion. Thank you. (Talk) """,""" Spedy deleion declined: SDK carbie Hel lo Jasp er Den. I am ju$t letting you know tht I declined th e s peedy deletion of SD K carbine, a page you tagged f or speed y deletion, because of the following concern: The reason given is not ampere vaid spee dy deletio n criterin. Thank yo u. (Talk) """,0,27,True
queer why are you a faggot?,qeer why are y0u @ fgagot?,1,6,False
Geneology is how it is spelled in publication.,Ge neology is h ow it is s pelled 1n publiation.,0,5,True
Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thick skull.,Who snuff it and left you quen of SPUI's page??? SPUI said he likes v@ndalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thik skull.,1,5,True
