original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
"a powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .","a powerful, inflammatory fi lm about religion that dares to question an ancient faith, and about hatred that offers no easy, comfortable resolution.",positive,32,3,True,2025-08-07T11:24:34.575595
it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,it 's so go od that you can practically see the hollywood ' suits ' trying to put together the cast and filmmaking team for the all - too -inevitable american remake.,positive,36,1,True,2025-08-07T11:24:34.575651
"the setting is so cool that it chills the characters , reducing our emotional stake in the outcome of "" intacto's "" dangerous and seductively stylish game .","the setting is so cool that it chills the characters, reducing our emotional stake in the outcome o f "" intacto 's "" dangerous and seductively stylish game.",positive,38,2,True,2025-08-07T11:24:34.575679
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .","nicks refses t0 1et slacker be visualise as just another teen movi e, whch means he can be forgiven for frequently pandering to fans of the gross - out comedy.",negative,87,12,True,2025-08-07T11:24:34.575711
"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant .","as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her flm is unrelentingly calustrophobic a nd unpleasant .",negative,197,36,False,2025-08-07T11:24:34.575728
"a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .","a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .",negative,91,18,False,2025-08-07T11:24:34.575742
"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .","take care is nicely performed by a quintet of actresses, but nonetheless it drags during its 112 - minute lentgh.",positive,28,1,True,2025-08-07T11:24:34.575759
both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .,both a grand tour through 300 hundred years of russian cultural identity and a sunning technical achievement.,positive,23,1,True,2025-08-07T11:24:34.575769
fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,fessenden 's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to jo y.,positive,31,1,True,2025-08-07T11:24:34.575779
this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .,this is the kind of movie where people who have never picked a lock do so e@sily after a few tries and become expert fighters after a few weeks.,positive,37,1,True,2025-08-07T11:24:34.575798
it's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of sarah and harrison .,information technology 's th e uns3ttling images o f a w ar - ravaged land that prove more potent and riveting than the unlikely story of sarah and harrison.,negative,60,7,True,2025-08-07T11:24:34.575819
"best of all is garcia , who perfectly portrays the desperation of a very insecure man .","best of all is garcia, who perfectly prtrays the desperation of a very insecure man.",positive,22,1,True,2025-08-07T11:24:34.575832
weiss and speck never make a convincing case for the relevance of these two 20th-century footnotes .,weiss and speck n ever make a convincing case for the relevance of these two 20th - century footnotes.,negative,23,1,True,2025-08-07T11:24:34.575842
everyone's to blame here .,everyone 's t o blame her e.,negative,21,4,True,2025-08-07T11:24:34.575853
