original_text,adversarial_text,original_label,attack_sucessful
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funny , always very colorful and enjoybly overblown in the traditional almodóvar style .",1,True
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becom es the last thig you would expect from a film with this title or indeed from an y plmpton film : bring .,0,True
"sodden and glum , even in those moments where it's supposed to feel funny and light .","sodd en and gl um , even in those moments where it's supposed to feel funny and light .",0,True
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","s ome moves wre m@de for the big sc reen , some for the small screen , and s ome , like b@llistic : ecks vs . $ever , wee made for the palm screen .",0,True
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it's n ot on ly d ull becase w've s een [edd ie] murphy do the g3nial-rogue s htick t0 death , but because the p lot is equa lly hackne yed .",0,True
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","1f you'e look ing for a $mart , nuanced look at de sade and what might have happened @t picus , sad e is yor fil m .",1,True
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it' s h@rd to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets mor e inexplicable as th3 c haracterizations turn mo re cr@ssly redctive .",0,True
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,fiday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity t owards african-americans .,1,True
the worst film of the year .,the wo rst film of the year .,0,True
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","1t mad e me fel u nclean , and i'm the guy who lied there's something about mary and both america n pie movis . 0h , and b ooty c@ll .",0,True
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nua nced portrait of a young woman's breakdown , the fi lm nevertheless works up a few scares .",1,True
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","ths st arts off with a 1950's doris day feel and it gets very ugy , very fast . th3 fir st five minutes will h ave y ou talking 'til the end of th e ye ar !",0,True
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville show than well-constructed narrative , but on those terms it's inoffensi ve and actually r@ther sweet .",0,True
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' cq may one day be fondly remembered as roman coppola's brief pretentiou s period before going on to other films that actually tell a story worth caring about,0,True
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the e nd .",0,True
it's probably worth catching solely on its visual merits . if only it had the story to match .,it's probabl y worth catching solely on its visual merits . if only it had the story to match .,0,True
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","f@iry-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction @nd especia lly ch arm .",1,True
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","th3 colo r se nse of sturt l ittle 2 is its most im mediate and most obvi ous pleasure , but it w ould count for very l ittle if the mo vie were n't as beautiully sh aped @nd as d elicately calibrted 1n t one @s it is .",1,False
the most surprising thing about this film is that they are actually releasing it into theaters .,the most surprising thi ng about this film is that they are ac tually releasing it into theaters .,0,True
a fan film that for the uninitiated plays better on video with the sound turned down .,a fan film that for the uninitiated plays better on video with the sound turne d d own .,0,True
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","stong filmmak ing require s a cear sene of purpose , and in that oh-so-important category , the four feathers comes up shor t .",1,True
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . an otherw ise intense , twist-and-turn thrille r tha t cert ainly shouldn't hurt t@lented you ng g@ghan's resume .",0,True
cho's timing is priceless .,cho's timing is price less .,1,True
. . . a lesson in prehistoric hilarity .,. . . @ lessn in prehistoric hilarity .,1,True
"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is a goo d script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the f ilm will play equally w ell on bth t he standard @nd gant screens .",1,True
an almost unbearably morbid love story .,an almost unbear ably morbid love story .,0,True
if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,1f y0u gr ew up on scoby -- you'll l ove this mov ie . matthe w lilla rd is b0rn t0 ply sha ggy !,1,True
"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as co nceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's ouline and thrown at actors charged with th e impossible task of m@king t hem jell .",0,True
"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","d0 n ot , under a ny circumstances , consider taking a child youger than middle school age t0 this wa llow in crud e humor .",0,True
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depicts the sorriest and most sorid of human behavior on the screen , then laughs at how clever it's being .",0,True
"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","alex nohe' s documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .",0,True
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","@ bea utiful , t imeless @nd univers al tae 0f heate d p@ssions -- jeal ousy , betrayal , forgivene ss @nd muder .",1,True
ya-yas everywhere will forgive the flaws and love the film .,ya-ays everywhere wi ll forgive the flaws @nd love the film .,1,True
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","wtching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .",0,True
"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","au stin p owers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .",1,True
"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[g@i] comes c loser to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .",1,True
the pool drowned me in boredom .,th3 pol dro wned me in boreom .,0,False
"the tone is balanced , reflective and reasonable .","th e t one 1s b@lanced , reflecti ve an d reasonble .",1,False
brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness .,br ings @n irre sistible blen d of w armth @nd hu mor and a co nsistent embracin g hum@nity in the fa ce of lifes hars hness .,1,True
"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .","a r@gbag of promiing idea s and fa iled narrativ e , of good acting an d plai n o ld ba d filmmakin g .",0,True
writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,write/rdirector alexander payne ( elect ion ) and his co-writer jim taylor brilliantly em ploy their quirky and f earless ability to look american angst in the eye and end up laughing .,1,True
"a well-done film of a self-reflexive , philosophical nature .","a wel-done fim of a self-reflexive , philosophical nature .",1,True
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains n0t so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker b@rrel .",0,True
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .","@n amusig @nd une xpectedly ins ightful examina tion 0f sexal jealo usy , res entment an d th e f ine lin e bet ween passion @nd pret ence .",1,False
"there ought to be a directing license , so that ed burns can have his revoked .","tere o ught to be a directing license , so that ed burns can have h is r evoked .",0,True
"while most films these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .","while mst films these days are about nothing , this film seems to be about everything t hat's plaguing the human spirit in @ rele ntlessly globalizing w orld .",1,True
i'm going to give it a marginal thumbs up . i liked it just enough .,i' m giong to give it a ma rginal thumbs up . i liked it jut e nough .,0,True
