original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
RT @kitcoskjones: im soooo over having a bitch it aint EVEN funny lbs....,R T @kitcoskjones : i m soooo over having a bitch it ai nt EVEN funny lb....,__label__1,48,8,True
I say we all do a big fat line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad,I say we all suffice a big fatten up line o f me th after the finale... come along you pussies :P # GoodbyeBrekingBad,__label__1,55,8,True
Watching #Steelers colts getting blinded by the Steelers uniys look like bunch of bumblebees,Watching # Steelers colts getting blinded by the Steelers uniys lok the like bun ch of bumblebees,__label__1,29,3,True
Can Charlie Crist pull one over on Rick Scott? Well he did pull one over on #floridaprimary dems tonite. #TPOT #Election2014,Can Charlie Crist pull one concluded on Ri ck George C. Scott? Well he did pull one over on #floridaprimary dems tonite. #TPOT #Election2014,__label__2,37,6,True
"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;",""" @angelenagoley : 10 $ex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch & # 128557 ;",__label__1,28,1,True
@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this bitch YA me tiene cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this bitch YA me tiene cansada but thanks &#128536;wait hold up ... W ho u fighting & # 182563 ;,__label__2,22,6,True
RT @AP_Noticias: #&#218;LTIMAHORA El republicano Charlie Baker elegido gobernador de Massachusetts. #Election2014 #APracecall http://t.co/qkbWQ&#8230;,RT @AP_Noticias: #&#218;LTIMAHORA El republicano Charlie Baker elegido gobernador de Massachusetts. #Election2014 #APracecall http://t.co/qkbWQ&#8230;,__label__1,105,22,False
"RT @LauraBehnke: #Yankees fans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! It's already 4 to 0, still no &#8230;","RT @LauraBehnke: #Yankees fans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! It 's already 4 t o 0, still atomic number 102 & # 8230 ;",__label__1,37,7,True
Damn Charlie Wilson is still around?,Damm Charlie Wilsno i$ sill @round?,__label__2,38,7,True
"Always wanted to fuck that bitch, thank you god I fucked that bitch","Always wanted to fuck that bith, thank you god I fucked that bitch",__label__2,16,1,True
"RT @MindOnSuccess_: My mother be on some trash man &#128514; I ask her EVERYDAY, you need/ want some money? She say ""Naw I'm good!"" But come payday&#8230;","R T @MindOmSuccess _ : My mother be on some trash man & # 128514 ; I ask her EVERYDAY, you need/ want some money? She say "" N aw I ' m good! "" But come payday&#8230;",__label__1,88,14,True
"I didn't know my nig G-Eazy had reached a million views on one of his songs, haha that's crazy","I did n't know my nig G - Eazy had reached a million views on one o f his songs, hah a that 's wild",__label__2,38,3,True
@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President,@CBSThisMorning @charlierose @NorahODonnell tx tras h your show was a disgrcae this AM engaging w @MittRomney disrespecting the President,__label__1,28,3,True
I openly admit to being the level of white trash that will drive across town to the gas station with free hot dogs &amp; half price drinks.,I openly admit to being the level of white tras h that will drive across town to the gas station with free hot dogs & amp ; half price drinks.,__label__1,34,1,True
RT @wittybigtwittys: I use the word cunt very loosely,RT @wittybigtwittys : I use t he word cunt v ery generally,__label__1,24,3,True
@sportsdude53 haha not you. Just getting shit from everyone else when my second favorite team is the redlegs.....,@sportsdude53 haha not you. Just getting shit fro m everyone else wh3n m y seocnd pet team is th3 redlegs.....,__label__2,50,7,True
You're like a lucky leprechaun with a charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,You're like a lucky leprechaun with a charmed day on your hand... More for Gmeini http://.co/2nx6NlOxOe,__label__1,15,2,True
but shawty you not a bitch you the one I get money wid,but shawty yo u not a bitc h you the one I get money wid,__label__2,22,2,True
RT @BurgerKing: Chicken Fries. @Oreo Shake. Perfection. http://t.co/PdiGLRbhJZ,RT @BurgeKing : Chicken Fries. @Oreo Sahke. ne plus ultra. http://t.coPdiGLRbhJZ,__label__1,43,7,True
Not a word on Jihadi stream about the Kurdish female suicide bomber in Kobane. That story undermines their mythology on several levels.,Not a word on Jihadi stream about the Kurdish female suicide bomber in Kobane. That s tory subvert their mythology along several levels.,__label__1,24,3,True
"RT @Allan_Son: I got gatorades, Twinkies, rice puddings, Pringles, and cookies &#128525;&#128555;","RT @Allan_Son : I got gatorades, Twinikes, rice puddings, Prngles, a nd cookies & # 128525;&#128555 ;",__label__1,48,8,True
Some hoes that tweet just make me mad lol,Some hes that twinge just make me mad lol,__label__1,29,4,True
Keep those away frm Charlie Day RT @JhonenV: Just once in my life I'd like for someone's favorite part of my body to be my disgusting knees.,Keep those away frm Charlie Day RT @JhonenV : Just once in my life I 'd like for someone 's favorite part of my body to be my disgusting knees.,__label__2,35,1,True
@ElyssaJankowski @ComedyTextings haha she a stupid hoe,@ElyssaJankowski @ComedyTextings haha she a stpid hoe,__label__1,12,1,True
Fuck dat bitch,Fuck d@t bitc h,__label__1,21,3,False
"One of my favorite songs. ""There's a man on the shoreline with a white parakeet trying to make his bird go home."" http://t.co/bQ3CBIPk6s","One of my faorite songs. ""There's a man on the shoreline with a white parakeet trying to make his bird go home."" http://t.co/bQ3CBIPk6s",__label__2,13,1,True
S/O to my Luu's. These are down bitches! Don't fuck with them.,S/O to my Luu's. These are down bitches! Don't fuck with them.,__label__2,4,0,False
This niggga said I be branding bitches &#128569;&#128514;&#128514;&#128514;&#128514;&#128527;,This niggga said I be branding squawk & # 128569;&#128514;&#128514;&#128514;&#128514;&#128527 ;,__label__1,20,2,True
got my bitch in her whip coming to pick me up,got m y bitc h in her whip coming to pic k ne u p,__label__2,40,6,True
RT @K1mb0Slyc3: Me too! &#8220;@WhatsAshirt: Defiantly going to see that new planet of the apes tonight&#8221;,RT @K1mb0Slyc3 : Me too! & # 8220;@WhatsAshirt : Defiantly going to see that mew planet of the apes tonight&#8221 ;,__label__2,40,4,True
After tonight&amp;&amp; many more nights to come!! I will show you what a cold hearted bitch can do!!! #donefeedup #solo,After tonight&amp;&amp; many more nights to come!! I w ill show yo u wh at a cld heatred bithc john do!!! #donefeedup #solo,__label__2,55,12,True
Aint no hoe in blood,Ai n t mo hoe in blood,__label__1,15,2,True
