original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funny, always very coloured and enjoably overblown in the traditional almodóvar style.",LABEL_2,25,2,True
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becomes the la st thing you would expect f rom a film with this title or indeed from any plympton film : bring.,LABEL_0,37,4,True
"sodden and glum , even in those moments where it's supposed to feel funny and light .","sodden and glum, even in those moments w here it 's suposed to feel funny and light.",LABEL_1,38,4,True
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","s0me movies were made for the liberal riddle, sme for the small screen, and s0me, like ballistic : ecks v$. sever , were made for the palm screen .",LABEL_1,72,12,True
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it 's not 0nly dull because we 've seen [ eddie ] murphy do the genial - rogue shtick to death, but because the plot is equally hckneyed.",LABEL_0,40,2,True
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","i f you 're looing fo r a smart, nuanecd look at Delaware s@de and what miht have h@ppened a t pcipus, sade is your filn.",LABEL_1,120,20,True
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's had t o believe that a relationship like holly and marina 's could survive the hothouse emotions of teendom, and its longevity gets more inexplicabe as the characterizations turn more crass1y reductive.",LABEL_0,59,5,True
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the kind of film that could only be made by african - americans because of its broad racial insensitvity towards african - americans.,LABEL_0,33,1,True
the worst film of the year .,the w orst film of the year.,LABEL_0,11,1,True
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh, an d boot y claim.",LABEL_1,22,4,True
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuacned portraiture of a young woman 's breakdown, the film neverthleess woks up a f ew scares.",LABEL_1,94,19,True
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950 's doris day feel and it gets very ug ly, very fast. the first five minutes will have you talking 'til the end of the year !",LABEL_0,24,1,True
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville show than well - constructed narrative, but on those terms it 's inoffensive and actually rather swet.",LABEL_2,26,1,True
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' cq may one day be fndly remembered as roman coppola 's brief pretentious period before going on to other films that actually tell a story worth caring about,LABEL_2,34,1,True
