original_text,adversarial_text,original_label,attack_sucessful
RT @kitcoskjones: im soooo over having a bitch it aint EVEN funny lbs....,RT @kitcoskjones: im soooo over having a bich it a int EVEN funny lbs....,1,True
I say we all do a big fat line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad,I s ay we @ll do a big fat line of meth after th3 finale...come 0n you pussis :P #GoodbyeBreakingBad,1,True
Watching #Steelers colts getting blinded by the Steelers uniys look like bunch of bumblebees,Watchig #Steeers colts getting blinded by the Stee lers uniys look like bunch of bumblebes,0,True
Can Charlie Crist pull one over on Rick Scott? Well he did pull one over on #floridaprimary dems tonite. #TPOT #Election2014,Can Charle Cist p ull one o ver on Ri ck Scot? Well h3 d id pll one over on #floridaprimary d3ms tnite. #TPOT #Election2014,0,True
"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;","""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul out ta bich &#128557;",1,False
@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this bitch YA me tiene cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,@KiaraSmallzz l maoo &#128514;&#128149;I think I wat this bit ch YA me tien e cans ada but thanks &#128536;wait hold up . .. Wh o u fighing &1#28563;,1,True
RT @AP_Noticias: #&#218;LTIMAHORA El republicano Charlie Baker elegido gobernador de Massachusetts. #Election2014 #APracecall http://t.co/qkbWQ&#8230;,RT @AP_Noticas: #&#218;LTIMAHORA E1 republicano Charie Baker ele gido gobernad or de Massachusetts. #Ele ction2014 #APr@cecall http://t.co/qkbWQ&#8230;,0,False
"RT @LauraBehnke: #Yankees fans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! It's already 4 to 0, still no &#8230;","RT @LauraBehnke: #ankees f ans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Huges! It' s already 4 to 0, still no &#8230;",0,True
Damn Charlie Wilson is still around?,Damn Charie Wi lson is stil arou nd?,0,False
"Always wanted to fuck that bitch, thank you god I fucked that bitch","Always wanted to fuck that bitch, thank you god I fucked that bitch",1,False
