original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
"a powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .","a powrful, inflammatory f ilm about religion that dares to question an ancient faith, and about hatred that offers no easy, comfortable resolution.",positive,35,2,True,2025-08-07T11:21:11.089564
it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,it 's so good that you can practically see the hollywood ' suits ' trying to pu t together the cast and filmmaking team for the all - too -inevitable american remake.,negative,36,1,True,2025-08-07T11:21:11.089603
"the setting is so cool that it chills the characters , reducing our emotional stake in the outcome of "" intacto's "" dangerous and seductively stylish game .","the setting is $o c ool th at it chills the characters, reducing our emotional stake in the outcome of "" intacto ' s "" dangerous a nd seductively stylish game.",positive,68,8,True,2025-08-07T11:21:11.089622
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .","nicks refuss to let slackers be seen as just another teen movie, which means he can be forgiven for oft indulge to fans of the revenue - out comedy.",negative,54,4,True,2025-08-07T11:21:11.089669
"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant .","as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . h er film is unreentingly claustrophobic and unplea$ant.",negative,33,5,True,2025-08-07T11:21:11.089696
"a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .","a loud, ugl y, irritatng mov ie without any of its satirical salvos hitting a evident target.",negative,43,6,True,2025-08-07T11:21:11.089716
"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .","take care is nicely performed by a quintet of actresses, but noneheless it drags during its 112 - minute length.",positive,32,2,True,2025-08-07T11:21:11.089730
both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .,both a grand turn through 300 hundred years of russian cultural identity a nd a stupefy technical achieveent.,positive,69,12,True,2025-08-07T11:21:11.089748
fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,fessenden 's narrative is just as much about the ownership and redefinition of myth as it is about a domestic u nit finding their way to jo y.,positive,36,2,True,2025-08-07T11:21:11.089762
this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .,this is the kind of movie where people who have never beak a lock come so easily after a few trie s and become expert fighters after a few weeks.,negative,56,7,True,2025-08-07T11:21:11.089780
it's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of sarah and harrison .,it 's the unsettling images of a war - ravaged land that prove more poent amd rieting than the unlikely s tory of sarah amd harrison.,positive,51,6,True,2025-08-07T11:21:11.089824
"best of all is garcia , who perfectly portrays the desperation of a very insecure man .","best of all is garcia, who utterly portrays the desperation of a very insecure man.",positive,25,1,True,2025-08-07T11:21:11.089840
weiss and speck never make a convincing case for the relevance of these two 20th-century footnotes .,weiss and hint never make a convincing case for the relevance of these two 20th - century footnotes.,negative,28,2,True,2025-08-07T11:21:11.089853
everyone's to blame here .,error,error,0,0,False,2025-08-07T11:21:11.089866
changing lanes is an anomaly for a hollywood movie ; it's a well-written and occasionally challenging social drama that actually has something interesting to say .,changing lanes is an anomaly for a hollywood movie ; it 's a we ll - written and occasionally challenging social drama that actually has something interesting to say.,positive,33,1,True,2025-08-07T11:21:11.089873
just not campy enough,upright not ca mpy enogh,negative,27,4,False,2025-08-07T11:21:11.089899
"if oscar had a category called best bad film you thought was going to be really awful but wasn't , guys would probably be duking it out with the queen of the damned for the honor .","if oscar had a category called best b ad film you thought was going to be really awfl but was n 't, guys would probably be duking it out with the queen of the damned for the honor.",negative,52,3,True,2025-08-07T11:21:11.089908
"accuracy and realism are terrific , but if your film becomes boring , and your dialogue isn't smart , then you need to use more poetic license .","accuracy and realism are terrific, but if your fim becoes boring, and your dialogue is n't smart, then you need to use more poetic license.",negative,39,2,True,2025-08-07T11:21:11.089925
"this engrossing , characteristically complex tom clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .","this engross1ng, characteristically coplex tom clancy thriller is shifty in the manner in which it addresses curent terrorism anxieties and sidesteps them at the same time.",positive,55,7,True,2025-08-07T11:21:11.089940
i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,error,error,0,0,False,2025-08-07T11:21:11.089967
"based on dave barry's popular book of the same name , the movie benefits from having a real writer plot out all of the characters' moves and overlapping story .","based on dave barry 's popular book of the same name, the movie benefts from having a real author plot out all of the characters ' moves and overlapping story.",positive,45,2,True,2025-08-07T11:21:11.089977
"thirty years ago , it would have been groundbreaking . now it's just tired .","thirty years ago , it would have been groundbreaking . now information technology 's just tired.",negative,36,6,True,2025-08-07T11:21:11.089993
the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .,the big finish i$ a bit like getting all exctied about a chocolate eclair and then biting into it and findig the filling missing.,positive,40,3,True,2025-08-07T11:21:11.090005
"a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again .","a mo vie jst for friday fans , critic be dmned . if you already like this sort of thing, this is that sort of thing all o ver aga in.",negative,84,13,True,2025-08-07T11:21:11.090019
[crystal and de niro] manage to squeeze out some good laughs but not enough to make this silly con job sing .,[ crystal and de nir o ] manage to squeeze out some good laughs but n0t enough to make this silly con job sing.,negative,38,3,True,2025-08-07T11:21:11.090033
"it may not be a huge cut of above the rest , but i enjoyed barbershop . it's a funny little movie with clever dialogue and likeable characters .","it may not be a huge cut of above the rest , but i enjoyed barbershop . i t ' s a queer little movie with clevr dialogue and l1keable characters.",positive,39,5,True,2025-08-07T11:21:11.090046
"it's predictable , but it jumps through the expected hoops with style and even some depth .","it 's predictable, but it jump s through the expected h oops with style and even some depth.",negative,27,2,True,2025-08-07T11:21:11.090061
"an exceptionally dreary and overwrought bit of work , every bit as imperious as katzenberg's the prince of egypt from 1998 .","an exceptionally drery and overwrought bit of work, every bit as imperious as katzenberg 's the prince of egypt from 1998.",negative,28,1,True,2025-08-07T11:21:11.090073
"secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie .","secretary oversee a nat trick, bundling the flowers of perversity, comedy and romance into a strangely tempting buquet o f a movie.",positive,53,6,True,2025-08-07T11:21:11.090286
"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism .","for all the dolorous trim, secretary is a genial romance that maintains a surrisingly chirpy tone throughout, notwithstanding some of the writers ' sporadic dips into pop freudianism.",positive,41,2,True,2025-08-07T11:21:11.090301
