original_text,adversarial_text,original_label,num_perturbed,attack_sucessful
RT @kitcoskjones: im soooo over having a bitch it aint EVEN funny lbs....,RT @kitcoskjones: 1m soooo over having a squawk it aint EVEN funny lbs....,1,2,True
I say we all do a big fat line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad,I say we all do a big fatten up line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad,1,1,True
Watching #Steelers colts getting blinded by the Steelers uniys look like bunch of bumblebees,Watching #Stee lers colts getting blinded by the Steeler s uniys look like bunch of bumb lebees,0,3,True
Can Charlie Crist pull one over on Rick Scott? Well he did pull one over on #floridaprimary dems tonite. #TPOT #Election2014,Can Ch arlie Cr ist pll one over on Rick Scot? Well h3 di d pll one over on #floridaprimary dems tonite. #TPOT #Election2014,0,9,True
"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;","""@angelenagoley: 10 wind up psitions http://t.co/ nt3PABMWsm http://t.c0/JmHZ8Sczf0""naw ths what atomic number 92 call fuckig the s oul outta bitch &#128557;",1,9,True
@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this bitch YA me tiene cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,@KiaraSmallzz lma oo &#128514;&#128149;I think I want this bitch YA Pine Tree State tiene cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,1,2,True
RT @AP_Noticias: #&#218;LTIMAHORA El republicano Charlie Baker elegido gobernador de Massachusetts. #Election2014 #APracecall http://t.co/qkbWQ&#8230;,RT @AP_Noticas: #&#218;LTIMAHORA E1 republicano Charle Baker elegio gobernadr de Massachusetts. #Electi on2014 #APracecll http://t.co/qkbWQ&#8230;,0,8,False
"RT @LauraBehnke: #Yankees fans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! It's already 4 to 0, still no &#8230;","RT @LauraBehnke: #Yan kees f@ns having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! It's already 4 to 0, still no &#8230;",0,2,True
Damn Charlie Wilson is still around?,Damn Ch@rlie Wil son is still around?,0,3,True
"Always wanted to fuck that bitch, thank you god I fucked that bitch","Always wanted to f uck that bich, thank you god I fuckd that bit ch",1,4,True
"RT @MindOnSuccess_: My mother be on some trash man &#128514; I ask her EVERYDAY, you need/ want some money? She say ""Naw I'm good!"" But come payday&#8230;","RT @MindOnSuccess_: My mothe r be on some trash man &#128514; I ask her EVERYDAY, you need/ want some money? She say ""Naw I'm good!"" But come payday&#8230;",1,1,True
"I didn't know my nig G-Eazy had reached a million views on one of his songs, haha that's crazy","I didn 't know my nig G-Ea zy had reached a million views on one of his songs, haha that's crazy",1,2,True
@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President,@CBSThisMorning @charlierose @NorahODonnell tx tras h your show was a disgrace this AM engaging w @MittRomney disrespecting the President,0,3,True
I openly admit to being the level of white trash that will drive across town to the gas station with free hot dogs &amp; half price drinks.,I openly admt to being th3 even out of w hite tr@sh that will d rive ac ross town to the gas staton with free hot dogs &amp; half price drinks.,0,10,True
RT @wittybigtwittys: I use the word cunt very loosely,RT @wittybigtwittys: I use the word cun t very loosely,1,1,True
@sportsdude53 haha not you. Just getting shit from everyone else when my second favorite team is the redlegs.....,@sportsdude53 haha not you. Just getting s hit from everyone else when my second favorite team is the redlegs.....,1,2,True
You're like a lucky leprechaun with a charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,Yo u're like a lucky lepechaun with a charmed day on yo ur hand.. More for Gemini http://t.co/2nx6NlOxOe,0,4,True
but shawty you not a bitch you the one I get money wid,but shawt y you not a squawk you the one I get money wid,1,2,True
RT @BurgerKing: Chicken Fries. @Oreo Shake. Perfection. http://t.co/PdiGLRbhJZ,RT @BurgerKing: Chic ken F ries. @Oeo Shae. Perfecton. http:/t.co/PdiGLRbhJZ,0,7,False
Not a word on Jihadi stream about the Kurdish female suicide bomber in Kobane. That story undermines their mythology on several levels.,Not a word 0n Jihdi stream aout the Kurdish femae suicide bomber in Kobane. That stoy undermines their mythology on several leves.,0,9,True
"RT @Allan_Son: I got gatorades, Twinkies, rice puddings, Pringles, and cookies &#128525;&#128555;","RT @Allan_Son: I g0t gatorades , Twinkies, rce puddings, Pringles, and cooies &#128525;&1#28555;",0,8,False
Some hoes that tweet just make me mad lol,Some hoes that twe et just make me mad lol,0,1,True
