original_text,adversarial_text,original_label,num_perturbed,attack_sucessful
hi. wow. you are such a geek. bullshit mother fucker.,h1. w ow. you are such a geke. bullhit mother fucer.,1,6,True
""" Bektashi I suspect you start all your messages with offensive accusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you too. """,""" Bektashi I suspect you start all your messages with offensive acusations like """"I suspect you're a sock puppet of so-and-so."""" That being said, no, I'm not a sock-puppet of Aldiramal or whatever his name is. If he is copypasting verbatim, then it violates copy-right and is not in line with this being an encyclopedia article. However, inclusion of a jokes section with paragraph explaining the role of jokes, and including one joke, would seem fair. Happy editing to you too. """,1,2,True
Stop deleting my edits. I live in Stoufville and it is located on Bison Park Drive. You're ridiculous.,Stop deleting my edits. unity live in Stoufville and it is located on Bison Park Drive. You're ridiculous.,1,2,True
I'd like to thank all of the little people that sucked me off standing at full height. This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,I'd l ike to thank all of the little people that sucked m3 off standing at full height. This really motivated me to go all the way with my obsession with California Highways and complete my journey to the fag side.,1,2,True
Hey you can suck on my sack for protecting,H3y you can sop up on my sak for protecting,1,4,True
This article USED to have very reliable sources. Some idiot deleted it. (,Ths article victimized to have ver y reliable sources. Some idiot deleted it. (,0,5,True
""" Speedy deletion declined: SDK carbine Hello Jasper Deng. I am just letting you know that I declined the speedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern: The reason given is not a valid speedy deletion criterion. Thank you. (Talk) """,""" quick deetion declined: SDK ca rbine how-do-you-do Jasper Deng. iodin @m jut leting yo u know tht iodin declned th3 $peedy deletion of SDK carbine, a page you tagged for speedy deletion, because of the following concern: Th3 reason given is not a valid speedy deletion criterio. Thank y0u. (Talk) """,0,23,True
queer why are you a faggot?,qu3er why are you a fgagot?,1,2,True
Geneology is how it is spelled in publication.,G eneology is ho w 1t is spelled in pub lication.,0,4,True
Who died and left you queen of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thick skull.,Who died and left you qu een of SPUI's page??? SPUI said he likes vandalism on his page and doesn't want it reverted. I'm not sure how many different ways saying it will will be required to get it through your thick skull.,0,1,True
"Do it Our Way (Play) Bruv... fuck off, I bought the flat, back in January and I've only edited on here as I see fit, so I dunno how I've abused multiple accounts and I don't think you're an idiot, I know you are a 24 carat idiot, look at the edit history on Do it Our Way it originally said it was R&B;/pop so if you don't believe me, you got eyes use 'em and I'll expect an apology! 86.182.64.127","D0 1t Our Way (Plya) Bruv... fck 0ff, single bougt the flt, back in Jan and I've only edited along here as I see fit, so I dunno how I've abused multiple accounts and iodine don't thnik you're an idit, I know you are a 24 carat iiot, look at the edit history on Do it Our Way it originally said it was R&B;/pop so if you don't believe me, you got eyes use 'em and I'll expect an apo logy! 86.182.64.127",1,21,True
Please rather than rely on your summarization may we please restore the articles so we can all look at them together and continue this discussion on the talk page? Thank you in advance.,delight sooner t han bank 0n yor summariztion ma y we please rest ore the articles so we can all look at them together and continue this discussion on the talk page? Thank you in advance.,0,11,True
"think you are a double headed breast!!!!!!!!!!!11111 i am t3h l337 , i love your porn sites!!! ftw love j + s <3","thik you exist @ doble headed br3ast!!!!!!!!!!!11111 i am t3h l337 , unity love your p0rn sites!!! ftw love j + s <3",1,10,True
""" Great Go and die painfully you foul mouthed sanctimonious moron. The road to hell is paved with """"good intentions"""". Roast slowly...""",""" Great G0 and d1e sorely y ou ill-scented mothed sa nctimonious moron. The road to hell is paved with """"good intentions """". Roast slowly...""",1,13,True
