example_id,original_text,adversarial_text,original_label,new_label,requests_used,num_perturbations,attack_successful,string_similarity,perturbation_ratio,method_name,batch_size,timestamp
1,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasional1y fun ny, @lways ve a nd overlbown indium ejnoyably overblown almodóvr the traditional almodóvar stye.",positive,neutral,21,12,True,0.7813953488372093,1.2,multi_word,2,2025-08-11T13:45:28.757176
2,becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,b3comes the last tihng you would expect from a motion - picture show with ideed fr0m operating room indeed from an y plympton film : bornig.,negative,neutral,25,8,True,0.7729083665338645,0.9545454545454546,multi_word,2,2025-08-11T13:45:28.757210
3,"sodden and glum , even in those moments where it's supposed to feel funny and light .","sdden and saturnine, even in those moments wehre i t 's reckon to fel funny and light.",negative,negative,21,6,True,0.8187134502923976,0.7222222222222222,multi_word,2,2025-08-11T13:45:28.757228
4,"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever, wer3 made for the pa lm screen.",neutral,positive,29,2,True,0.9830508474576272,0.15151515151515152,multi_word,2,2025-08-11T13:45:28.757243
5,"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it 's no t omly dull because we ' ve seen [ eddie ] murphy do the genial - rogue shtick to death, but because the plot evenly equally well - worn.",negative,neutral,26,4,True,0.8642857142857143,1.0666666666666667,multi_word,2,2025-08-11T13:45:28.757305
6,"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a smart, nuacned look at de sade and what might have happened at picpus, sade make up your film.",positive,neutral,25,2,True,0.9361702127659575,0.23076923076923078,multi_word,2,2025-08-11T13:45:28.757348
7,"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","i t 's t0 to t hat that l ike relationship like narina and marina exist c0uld survive the hothouse emotions of teendom, an d its longevity gets more inexplicable as the moe turn more carssly reductvie.",negative,positive,43,24,True,0.6292682926829268,1.1142857142857143,multi_word,2,2025-08-11T13:45:28.757385
8,friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the kind of film that could only be made by african - americans because of its broad racial insensitiity towrads african - americans.,negative,positive,28,2,True,0.9738562091503268,0.07142857142857142,multi_word,2,2025-08-11T13:45:28.757451
9,the worst film of the year .,the wrst f ilm 0f y3ar year.,negative,positive,9,4,True,0.7857142857142857,1.0,multi_word,2,2025-08-11T13:45:28.757489
10,"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","i t prepare Maine feeling unclean, an d i ' m World Health Organization guy who liked there 's something about mary and both american pie movies. oh , and booty call .",negative,positive,29,12,True,0.8466666666666667,1.1666666666666667,multi_word,2,2025-08-11T13:45:28.757530
11,"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced portrat of a young woman 's partitioning, the film nev3rtheless works up a few sacres.",neutral,positive,18,4,True,0.8878048780487805,0.2,multi_word,2,2025-08-11T13:45:28.757555
12,"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !",neutral,neutral,5,0,False,1.0,0.0,multi_word,2,2025-08-11T13:45:28.757587
13,"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville show than well - constructed narrative, but on thos3 ters it 's inoffensive and in rathr rather sweet.",positive,neutral,22,4,True,0.9152542372881356,0.3333333333333333,multi_word,2,2025-08-11T13:45:28.757611
14,'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' cq may one day be fondly remembered @s roman coppola 's brief pretentious period before going on to other films that really tell a story worth caring about,negative,neutral,30,2,True,0.9681528662420382,0.06896551724137931,multi_word,2,2025-08-11T13:45:28.757635
15,"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspir@tional $ past by mike covres covers mountain o f of ground perhpas perhaps too much, but thins unitedly together, natly, by 3nd end.",positive,neutral,29,14,True,0.7509025270758123,1.0,multi_word,2,2025-08-11T13:45:28.757669
16,it's probably worth catching solely on its visual merits . if only it had the story to match .,it 's probably woth catching solely on it s visual merits. if only it had the story to match .,positive,neutral,15,2,True,0.9787234042553191,0.75,multi_word,2,2025-08-11T13:45:28.757695
17,"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fairy - tale formula, serves as a paper skeleton fo r some proficient good acting duologue dialogue, comedy way direction particularly especially entrance.",positive,positive,30,18,False,1.0,0.0,multi_word,2,2025-08-11T13:45:28.757726
18,"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .",the col s ense o small of stuart little 2 is its mot immediate and most obviosu pleasure i reckon f or but it wolud count for very niggling if the movie were n't as beauitfully shaped and as del1cately calibrated in tone as it is.,positive,positive,55,34,False,1.0,0.0,multi_word,2,2025-08-11T13:45:28.757760
19,the most surprising thing about this film is that they are actually releasing it into theaters .,the mst surprising thing about this pic is that tey are atually unloose i t ino theatre of operations.,positive,neutral,22,8,True,0.8080808080808081,0.7058823529411765,multi_word,2,2025-08-11T13:45:28.757787
20,a fan film that for the uninitiated plays better on video with the sound turned down .,a fan film tat for the uninitiated plays better on video with the sound turned d0wn.,neutral,negative,17,2,True,0.9764705882352941,0.11764705882352941,multi_word,2,2025-08-11T13:45:28.757818
21,"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking reuires a clear sense of purpose, and in that oh - so - important category, the four feathers comes up shot.",negative,positive,23,2,True,0.9644268774703557,0.07692307692307693,multi_word,2,2025-08-11T13:45:28.757832
22,". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . an otherwise intense, twist - and - turn thirller that certainly should n't hur gifted talented young gaghan sketch resume.",positive,positive,23,4,True,0.9098360655737705,0.375,multi_word,2,2025-08-11T13:45:28.757870
23,cho's timing is priceless .,c ho 's timing is pricele$s.,positive,negative,8,2,True,0.9090909090909091,1.1666666666666667,multi_word,2,2025-08-11T13:45:28.757907
24,. . . a lesson in prehistoric hilarity .,. . . a leson Indiana preistoric hi1arity.,positive,positive,11,4,False,1.0,0.0,multi_word,2,2025-08-11T13:45:28.758067
25,"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is a good script , good dialogue , funny even for adults . the characters ar e concern and often very ceratively constructed from figure to backstory. the flm will wager equa1ly we ll on both the standard jumbo srceens giant screens.",positive,positive,56,32,False,1.0,0.0,multi_word,2,2025-08-11T13:45:28.758081
26,an almost unbearably morbid love story .,an alost unbear@bly diseased love stoyr.,negative,negative,10,4,False,1.0,0.0,multi_word,2,2025-08-11T13:45:28.758109
27,if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,if you develop up on sc0oby -- you 'll lie with this movie. mtthew lillard i$ deliver t pay play shaggy!,positive,negative,26,8,True,0.8020304568527918,0.7619047619047619,multi_word,2,2025-08-11T13:45:28.758127
28,"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as conceived by mr. schaeffer, christopher and grace are little mor e tan collections of quirky traits lifted from a screenwriter 's outline and thrwon at actors charged with the impossile task of making them jell.",negative,neutral,37,4,True,0.9651972157772621,0.7105263157894737,multi_word,2,2025-08-11T13:45:28.758182
