original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
RT @kitcoskjones: im soooo over having a bitch it aint EVEN funny lbs....,R T @kitcoskjones : i m soooo over havimg a bitch it ai National Trust 3VEN funny lbs...,NEGATIVE,64,12,True
I say we all do a big fat line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad,I say we all do a big f@t line of meth afetr the finale... come on you kitty : P #GoodbyeBreakingBad,NEGATIVE,44,4,True
Watching #Steelers colts getting blinded by the Steelers uniys look like bunch of bumblebees,Watching # Steelers colts produce blided b y the Stelers unis look the likes of crew o f bumblebee,NEGATIVE,89,15,False
Can Charlie Crist pull one over on Rick Scott? Well he did pull one over on #floridaprimary dems tonite. #TPOT #Election2014,Cam Charlie Crist pul one complete along Ri ck Scott? Well he did pull one over on #floridaprimary dems tonite. # TOT # Eleciton2014,NEGATIVE,78,14,False
"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;",""" @angelenagoley : ten sex posiions http://t.con/t3PABMWsm http://t.co/JHZ8Sczf0""naw th is what u cal fcking the soul outt a backbite & # 18557 ;",NEGATIVE,105,21,False
@KiaraSmallzz lmaoo &#128514;&#128149;I think I want this bitch YA me tiene cansada but thanks &#128536;wait hold up ... Who u fighting &#128563;,@Kiar@Smallzz lmaoo & # 128514;&#128149;I tink I w ant tis cunt YA Maine tiene canasda but thanks &#128536;wait hold up ... Who u fighting &#128563;,NEGATIVE,54,10,True
RT @AP_Noticias: #&#218;LTIMAHORA El republicano Charlie Baker elegido gobernador de Massachusetts. #Election2014 #APracecall http://t.co/qkbWQ&#8230;,R T @AP_Nticias : # & # 28;LTIMAHORA El republicano Charie Baker elegido gobermador de Massachuset. # Eletcion2014 # APraecall htt://t.co/qkbWQ&#8230 ;,NEGATIVE,105,22,False
"RT @LauraBehnke: #Yankees fans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! It's already 4 to 0, still no &#8230;","RT @LauraBehnke: #Yankees fans having flashbacks! RT @WCCORosen: @LauraBehnke You remember THIS Phil Hughes! I t ' s already 4 to 0, sill n0 & # 8230 ;",NEGATIVE,59,13,False
Damn Charlie Wilson is still around?,Dann Char1ie Wlison represent still around?,NEGATIVE,36,6,True
"Always wanted to fuck that bitch, thank you god I fucked that bitch","Always wanted to fuck that bitch, thank you god I be intimate tht bit ch",NEGATIVE,20,4,True
"RT @MindOnSuccess_: My mother be on some trash man &#128514; I ask her EVERYDAY, you need/ want some money? She say ""Naw I'm good!"" But come payday&#8230;","RT @MindOnSuccess_: My mother be on some trash man & # 128514 ; I ask her EVERYDAY, you need/ want some m oney? She say ""Naw I'm good!"" But come payday&#8230;",NEGATIVE,29,1,True
"I didn't know my nig G-Eazy had reached a million views on one of his songs, haha that's crazy","I did n't experience my nig G - Eazy suffer reach a million views on one of his songs, haha that 's crazy",NEGATIVE,53,6,True
@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President,@CBSThisMorning @charlierose @NorahODonnell tx trash your sow was a digrace this AM engaging w @MittRomney di$respecting the President,NEGATIVE,41,5,True
I openly admit to being the level of white trash that will drive across town to the gas station with free hot dogs &amp; half price drinks.,I openly admit to being the levl o f white tash that will drive across town to the gas station with free hot dogs & amp ; hal f price drinks.,NEGATIVE,54,5,True
RT @wittybigtwittys: I use the word cunt very loosely,RT @wittybigtwittys : I use the word cunt very broadly,NEGATIVE,18,1,True
@sportsdude53 haha not you. Just getting shit from everyone else when my second favorite team is the redlegs.....,@sportsddue53 haha non you. Just getting sit from everyone els e when my second favorite team up i s the redles.....,NEGATIVE,92,15,True
You're like a lucky leprechaun with a charmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,You 're like a lucky leprechaun with a carmed day on your hand... More for Gemini http://t.co/2nx6NlOxOe,POSITIVE,20,1,True
but shawty you not a bitch you the one I get money wid,but shawty you not a bitch you the one I stupefy money wid,POSITIVE,47,7,True
RT @BurgerKing: Chicken Fries. @Oreo Shake. Perfection. http://t.co/PdiGLRbhJZ,RT @BurgerKing: Chicken Fries. @Oro Shake. Perfection. http://t.co/PdiGLRbhJZ,POSITIVE,34,6,False
Not a word on Jihadi stream about the Kurdish female suicide bomber in Kobane. That story undermines their mythology on several levels.,No t a Book 0n J1hadi stream a bout the Kurdish female sucide bomer inwards Kobane. Tat stroy cave ther mythoogy on respective leels.,NEGATIVE,137,24,False
"RT @Allan_Son: I got gatorades, Twinkies, rice puddings, Pringles, and cookies &#128525;&#128555;","R T @Allan_Son : I got gatorades, Twinkies, rice pud, Pringles, and cookies & # 128525;&#125855 ;",NEGATIVE,34,3,True
Some hoes that tweet just make me mad lol,Some hoes that squeeze jst make me ma d lol,NEGATIVE,24,3,True
Keep those away frm Charlie Day RT @JhonenV: Just once in my life I'd like for someone's favorite part of my body to be my disgusting knees.,Keep those away f rm Charlie Day RT @JhonenV : Just one in my life I ' d like for someome 's favorite part of my body to b e my disgusting knees.,NEGATIVE,60,6,True
@ElyssaJankowski @ComedyTextings haha she a stupid hoe,@ElyssaJankowski @ComedyTexitngs hha she a stpid h oe,NEGATIVE,41,7,False
Fuck dat bitch,Fuck dat bitch,NEGATIVE,21,3,False
"One of my favorite songs. ""There's a man on the shoreline with a white parakeet trying to make his bird go home."" http://t.co/bQ3CBIPk6s","One of my favoite songs. ""There's a man on the shoreline with a white parakeet trying to make his bird go home."" http://t.co/bQ3CBIPk6s",POSITIVE,13,1,True
