original_text,adversarial_text,original_label,requests_used,training_requests_used,num_perturbed,attack_successful,timestamp
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally curious, always very colourful and enjoyably pompous in the traditional almodóvr vogue.",positive,23,741,20,False,2025-08-11T22:15:38.948235
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becomes the last tihng you would expect from a f ilm with this tit le or indeed from any plymptn film : boring.,negative,22,741,19,False,2025-08-11T22:15:38.948282
"sodden and glum , even in those moments where it's supposed to feel funny and light .","soden and morose, even in those momenst where it 's supposed to fel funn y and light.",negative,21,741,18,False,2025-08-11T22:15:38.948302
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some novies were made for the big screen, some for the small screne, and some, like ballistic : ec ks v s. $ever, were made for the plm screne.",neutral,30,741,27,True,2025-08-11T22:15:38.948319
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .",negative,13,741,10,False,2025-08-11T22:15:38.948340
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a ache, nuanced loo k at Diamond State sa de and what might have happened at pcipus, sade is your film.",positive,19,741,16,False,2025-08-11T22:15:38.948360
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's hard to believe that a relatinoship like holly and maina 's could surivve the hotouse emotion of teendom, and its longevity gets more inexplicable as the characterizations turn more crassly reductive.",negative,22,741,19,False,2025-08-11T22:15:38.948379
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the genial of f1lm that could only be made by african - aemricans because of its broad racial inensitivity towards african - americans.,negative,17,741,15,True,2025-08-11T22:15:38.948404
the worst film of the year .,the wrst fil m of the ye ar.,negative,10,741,8,True,2025-08-11T22:15:38.948425
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me fe el unclean, and i 'm the make fun who liked there 's soemthing about mry and both american pie movies. oh , and booty call .",negative,15,741,11,False,2025-08-11T22:15:38.948437
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced prtrait of a young woman 's breakdown, the film nevertheless works up a few scares.",neutral,3,741,1,True,2025-08-11T22:15:38.948457
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !",neutral,4,741,0,False,2025-08-11T22:15:38.948474
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudevlile sh ow than well - constructed narrative, but on those terminus it 's inoffensive and actually rather swet.",positive,15,741,13,True,2025-08-11T22:15:38.948494
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' c q may one d ay be fondly remembered as romna coppo1a 's brie f pretentious period before going on to other films that actually tell a story worth caring about,negative,18,741,15,False,2025-08-11T22:15:38.948512
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirational screemplay by mie rich coers a l ot of gruond, perhaps too much, but ties things together, neatly, by the end.",positive,17,741,14,False,2025-08-11T22:15:38.948533
it's probably worth catching solely on its visual merits . if only it had the story to match .,it 's probably woth catching solely on its visual merits. if only it had the story to match .,positive,5,741,2,True,2025-08-11T22:15:38.948552
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fag - tle normal, servs as a paper skeleton for some very good acting, dialogue, comedy, direction and especially charm.",positive,23,741,20,False,2025-08-11T22:15:38.948569
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the colo r smell out of stuat little 2 is its most prompt and most obvious pleasuer, but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is.",positive,22,741,19,False,2025-08-11T22:15:38.948588
the most surprising thing about this film is that they are actually releasing it into theaters .,the most surpising matter about this motion picture is that they are actually releasing it into thaters.,positive,15,741,13,True,2025-08-11T22:15:38.948613
a fan film that for the uninitiated plays better on video with the sound turned down .,a fa n film that for the uninitiated plays better on video with the sound turned down.,neutral,3,741,1,True,2025-08-11T22:15:38.948629
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requires a clear sen se of purpoe, and in that o h - so - important cateogry, the four feather comes up short.",negative,19,741,16,False,2025-08-11T22:15:38.948644
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . an otherwise inense, twit - and - deform thrilelr that certainly should n't hu rt talented young gaghan 's resume.",positive,19,741,15,True,2025-08-11T22:15:38.948663
cho's timing is priceless .,cho 's timimg is priceess.,positive,7,741,5,True,2025-08-11T22:15:38.948681
. . . a lesson in prehistoric hilarity .,. . . a lessn in preistoric hilarity.,positive,7,741,4,True,2025-08-11T22:15:38.948692
"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will ply equally well on both the $tandard and whale sreens.",positive,55,741,50,False,2025-08-11T22:15:38.948705
an almost unbearably morbid love story .,an almost unbearably mobid love story.,negative,3,741,1,True,2025-08-11T22:15:38.948731
if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,if you grew u p on scooby -- you 'll make out this picture. St. Matthew the Apostle lilard is born to play shaggy!,positive,21,741,17,False,2025-08-11T22:15:38.948743
"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as conceived by mr. schaefefr, St. Christopher and gracility are little more than collecitons of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell.",negative,18,741,15,False,2025-08-11T22:15:38.948760
"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","do not, under any circumstances, consider taking a child younger than mddle scholo ag e to this wallow in crude humor.",negative,20,741,17,False,2025-08-11T22:15:38.948863
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depcits the soriest and most sordid of human behavior on the screen, then laughs at how clever it 's being.",negative,7,741,5,True,2025-08-11T22:15:38.948883
"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","aex nohe 's documentary plays like a travelogue for what mostly resembles a real - life, big - budget nc-17 version of tank girl.",positive,4,741,2,True,2025-08-11T22:15:38.948901
