original_text,adversarial_text,original_label,requests_number,num_perturbed,attack_sucessful
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funny, always very colorful and enjoyably pontifical in the traditional a1modóvar vogue.",toxic,85,15,False
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becomes t he last matter you would exepct from a film with this statute title or indeed from a ny plympton film : borign.,toxic,123,22,False
"sodden and glum , even in those moments where it's supposed to feel funny and light .","soden and gum, tied in those moments wehre it ' s supposed to feel curious and spark.",toxic,103,18,False
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies were made for the big screen, roughly for the humble riddle, and some, like ballistic : ecs vs. sevre, make up made for the decoration screen.",toxic,175,33,False
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it 's not only dim because we ' ve view [ eddie ] murphy manage the genial - varlet shtick to expiry, but because the plot is every bit hackneyed.",toxic,163,30,False
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a overbold, nuanced look at Diamond State sae and what might have happened at picups, sde make up y our film.",toxic,143,26,False
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it ' s tough to believe that a human relationship like holly and marina 's could survive the conservatory emotions of tenedom, and its longevity gets more inexplicble as the characterizations turn more crsasly reductive.",toxic,201,35,False
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after adjacent equal the kind of moving picture that could only be mae by arfican - americasn because of its broda racila insenistivity tow@rds african - americas.,toxic,159,28,False
the worst film of the year .,the spoilt film of the year.,toxic,41,7,False
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me feel soiled, and i ' m the guy who liked there ' s something about mary and both american Proto-Indo European movies. Ohio, amd prize foretell.",toxic,165,30,False
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardy a nuanced portrait of a young w oman ' s brekadown, the film yet bring upward a few scars.",toxic,103,20,False
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts away with a 1950 ' s doris solar day feel and it stick identical frightful, vry quick. the first five minutes will have you talking ' til the end of the year!",toxic,195,35,False
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more music hall appearance t han well - constructed narrative, but along those footing it 's ionffensive and actually rather sweet.",toxic,117,21,False
