example_id,original_text,adversarial_text,original_label,new_label,requests_used,num_perturbations,attack_successful,string_similarity,perturbation_ratio,method_name,batch_size,timestamp
1,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funny, always very colorflu and enojyably overblown in the traditional almodóvar styel.",positive,neutral,17,3,True,0.9603960396039604,0.2,adaptive_gradual,3,2025-08-12T02:16:56.121797
2,becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,beocmes the endure tihng you would exect from a movie with this tilte o r indeed fr om amy plympton film : bornig.,negative,positive,31,10,True,0.8622222222222222,0.7727272727272727,adaptive_gradual,3,2025-08-12T02:16:56.121809
3,"sodden and glum , even in those moments where it's supposed to feel funny and light .","soden and glum, even in those moments where it 's suppoesd to tactile property funny and light.",negative,positive,20,3,True,0.8777777777777778,0.4444444444444444,adaptive_gradual,3,2025-08-12T02:16:56.121821
4,"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some novies were work for the big screen, some for the lowly screen, and some, like ballistic : ecks v$. sever, comprise made for the pal m screen.",neutral,positive,31,6,True,0.888135593220339,0.36363636363636365,adaptive_gradual,3,2025-08-12T02:16:56.121842
5,"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","1t 's non but dul l becaus3 w3 ' ve seen [ eddie ] murphy do the genial - rogue shtick to death, but because the plot is equally hackneyed.",negative,negative,27,6,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.121868
6,"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're appear fo r a ache, nuanecd look at de sade and what might have happened at picpus, sade be yo ur film.",positive,neutral,27,6,True,0.8608695652173913,0.9615384615384616,adaptive_gradual,3,2025-08-12T02:16:56.121877
7,"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's har d to beleve that a relationship like ho1ly and marina 's could survive the hothouse emotions o f teendom, and its longevity gets more inexplicable as the word - painting turn more crssly reudctive.",negative,negative,39,10,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.121889
8,friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the kind of film that could only be made by african - americans because of its broad racial insenistivity towards african - americans.,negative,positive,28,1,True,0.9771986970684039,0.03571428571428571,adaptive_gradual,3,2025-08-12T02:16:56.121907
9,the worst film of the year .,the wrst f ilm o f the year.,negative,positive,9,3,True,0.9285714285714286,1.1428571428571428,adaptive_gradual,3,2025-08-12T02:16:56.121933
10,"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","i t micturate Pine Tree State feel unclean, @nd i ' m the guy who liked there 's something about mary and both american pie movies. oh , and booty call .",negative,negative,27,4,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.121941
